,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.852705126994618,2023-08-24 13:36:54.454220,2023-08-24 13:36:54.602212,0 days 00:00:00.147992,0.6000000000000001,3,0.9,3.088815039403968e-05,0.9090071926444421,100,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8227272727272728,2023-08-24 13:36:54.456653,2023-08-24 13:36:54.742531,0 days 00:00:00.285878,0.8,1,0.5,2.929109595568555e-07,4.311813869017968e-08,90,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.852705126994618,2023-08-24 13:36:54.457501,2023-08-24 13:36:54.657050,0 days 00:00:00.199549,0.5,3,0.7000000000000001,0.0078098086772657935,0.00023881211786961503,90,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8202764976958525,2023-08-24 13:36:54.463293,2023-08-24 13:36:56.301281,0 days 00:00:01.837988,0.9,1,0.9,0.5843290892319313,5.5601058030802196e-08,10,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8414029736942432,2023-08-24 13:36:54.464251,2023-08-24 13:36:54.817193,0 days 00:00:00.352942,0.8,1,0.6000000000000001,2.194283537787013e-06,0.0010028597293516867,100,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8496385542168674,2023-08-24 13:36:54.467316,2023-08-24 13:36:56.189032,0 days 00:00:01.721716,1.0,2,0.7000000000000001,2.2712292859957997e-07,1.0034049522119964e-07,20,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.828132594536794,2023-08-24 13:36:54.469733,2023-08-24 13:36:55.956848,0 days 00:00:01.487115,1.0,2,0.4,0.0003984148780687966,5.21328024016733e-07,20,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8095421686746989,2023-08-24 13:36:54.473311,2023-08-24 13:36:56.607050,0 days 00:00:02.133739,0.7000000000000001,1,0.4,3.0527982644387686e-07,9.632020881138887e-08,10,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8602150537634409,2023-08-24 13:36:54.645055,2023-08-24 13:36:55.672056,0 days 00:00:01.027001,0.9,2,0.5,4.1537924721317365e-07,0.07572177770431446,30,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8518096323738957,2023-08-24 13:36:54.702929,2023-08-24 13:36:54.972105,0 days 00:00:00.269176,0.5,2,0.5,4.5558805066659866e-07,0.9263006881284851,70,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8629001883239171,2023-08-24 13:36:54.799939,2023-08-24 13:36:55.031540,0 days 00:00:00.231601,0.6000000000000001,3,1.0,0.00586472956696929,0.6281903521417713,100,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8518096323738957,2023-08-24 13:36:54.859287,2023-08-24 13:36:55.201728,0 days 00:00:00.342441,0.9,3,1.0,1.1981608461891505e-05,3.5271933005674986e-05,100,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8507890961262554,2023-08-24 13:36:55.013258,2023-08-24 13:36:55.430558,0 days 00:00:00.417300,0.7000000000000001,3,0.5,0.3123044349213626,1.2646742761469192e-08,50,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8602150537634409,2023-08-24 13:36:55.073641,2023-08-24 13:36:55.758195,0 days 00:00:00.684554,0.9,1,0.9,0.001123687969261652,0.1878758873355292,50,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.8215783454060236,2023-08-24 13:36:55.243776,2023-08-24 13:36:55.567912,0 days 00:00:00.324136,0.6000000000000001,3,0.5,9.467100787728284e-05,0.000818142782200508,50,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8414029736942432,2023-08-24 13:36:55.482194,2023-08-24 13:36:56.037391,0 days 00:00:00.555197,0.7000000000000001,3,0.9,0.008253549405321843,2.1872404107723978e-07,50,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8402457757296466,2023-08-24 13:36:55.611376,2023-08-24 13:36:56.502445,0 days 00:00:00.891069,0.9,1,0.7000000000000001,0.025358459236294633,0.005130153474710147,40,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8602150537634409,2023-08-24 13:36:55.714871,2023-08-24 13:36:57.211172,0 days 00:00:01.496301,0.4,2,0.8,0.004228181865115485,0.03543181939826903,10,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.818815331010453,2023-08-24 13:36:55.808840,2023-08-24 13:36:57.324084,0 days 00:00:01.515244,1.0,2,0.7000000000000001,1.2525517469617054e-07,0.030342609654335658,20,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8424242424242425,2023-08-24 13:36:55.997521,2023-08-24 13:36:57.456595,0 days 00:00:01.459074,0.4,2,0.7000000000000001,1.0485543730560233e-08,0.025582329243993843,10,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8295903614457831,2023-08-24 13:36:56.084055,2023-08-24 13:36:57.067601,0 days 00:00:00.983546,0.4,2,0.7000000000000001,4.059511057051e-08,0.03176514345981311,20,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
