,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6554865424430643,2023-08-24 13:35:10.924597,2023-08-24 13:35:12.681091,0 days 00:00:01.756494,0.7000000000000001,1,0.4,0.0008422175242093992,2.5861824637210555e-08,10,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6428220979295456,2023-08-24 13:35:10.927015,2023-08-24 13:35:12.240957,0 days 00:00:01.313942,0.5,2,0.4,4.454122242434885e-08,4.932587101972296e-06,10,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6176470588235294,2023-08-24 13:35:10.928801,2023-08-24 13:35:11.314707,0 days 00:00:00.385906,0.9,2,1.0,1.9041940994571873e-07,2.9648963737850277e-06,40,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6124223602484473,2023-08-24 13:35:10.929483,2023-08-24 13:35:11.393587,0 days 00:00:00.464104,0.6000000000000001,1,0.9,0.00163112769840996,0.0001670060974613041,40,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6176470588235294,2023-08-24 13:35:10.931298,2023-08-24 13:35:11.673646,0 days 00:00:00.742348,0.7000000000000001,3,0.4,0.04610760574678708,7.334660314167852e-06,20,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6124223602484473,2023-08-24 13:35:10.935994,2023-08-24 13:35:11.160026,0 days 00:00:00.224032,0.9,3,0.8,1.624240955534457e-05,1.8761864907002083e-05,70,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6554865424430643,2023-08-24 13:35:10.938005,2023-08-24 13:35:11.909717,0 days 00:00:00.971712,0.6000000000000001,2,0.8,0.033121287594096965,3.2975507859957966e-06,20,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6124223602484473,2023-08-24 13:35:10.939415,2023-08-24 13:35:11.267653,0 days 00:00:00.328238,0.7000000000000001,2,0.9,6.09432070386856e-08,0.2742176765079166,40,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5964052287581698,2023-08-24 13:35:11.200589,2023-08-24 13:35:11.481849,0 days 00:00:00.281260,0.4,3,0.5,0.0003587911785460689,0.33994807193065724,70,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6663750364537766,2023-08-24 13:35:11.311759,2023-08-24 13:35:11.740660,0 days 00:00:00.428901,0.5,3,0.7000000000000001,0.2908986104228485,2.821291972431699e-07,60,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6306443429731101,2023-08-24 13:35:11.371743,2023-08-24 13:35:11.822250,0 days 00:00:00.450507,1.0,3,0.7000000000000001,0.0004341134731978059,0.019033041464933755,90,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5771035345636535,2023-08-24 13:35:11.435402,2023-08-24 13:35:11.605203,0 days 00:00:00.169801,0.6000000000000001,1,0.8,0.49664783186654227,1.4319018512848265e-07,100,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6517503805175038,2023-08-24 13:35:11.520521,2023-08-24 13:35:12.127308,0 days 00:00:00.606787,1.0,3,0.5,1.1118881206971826e-06,1.1626978236534368e-07,60,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6306443429731101,2023-08-24 13:35:11.661701,2023-08-24 13:35:12.772070,0 days 00:00:01.110369,0.7000000000000001,3,0.7000000000000001,1.5067327796008137e-07,0.19497224876390726,20,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6339544513457558,2023-08-24 13:35:11.713129,2023-08-24 13:35:13.579528,0 days 00:00:01.866399,0.8,3,0.8,6.015767520524384e-07,0.4488261592501323,10,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6185188856944581,2023-08-24 13:35:11.782874,2023-08-24 13:35:12.042727,0 days 00:00:00.259853,0.4,3,0.5,0.3446897339996712,1.6492946621103736e-06,60,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6224283985478015,2023-08-24 13:35:11.863873,2023-08-24 13:35:12.590382,0 days 00:00:00.726509,1.0,2,0.9,7.082993476879565e-05,3.751624318173704e-05,40,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5693581780538302,2023-08-24 13:35:11.948101,2023-08-24 13:35:12.323164,0 days 00:00:00.375063,0.4,3,0.6000000000000001,0.9188746133077826,1.9566524963917707e-08,70,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6306443429731101,2023-08-24 13:35:12.083468,2023-08-24 13:35:13.526591,0 days 00:00:01.443123,0.5,2,0.6000000000000001,0.055489054228012515,1.9637762924156628e-08,10,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6257839004831911,2023-08-24 13:35:12.169030,2023-08-24 13:35:13.640169,0 days 00:00:01.471139,0.5,2,0.7000000000000001,0.018210061484184713,1.1765567477377962e-08,10,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6434045986284792,2023-08-24 13:35:12.280222,2023-08-24 13:35:13.309405,0 days 00:00:01.029183,0.6000000000000001,2,0.7000000000000001,0.018913798512725555,1.2412781847811532e-08,20,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6204775310186633,2023-08-24 13:35:12.365194,2023-08-24 13:35:12.962502,0 days 00:00:00.597308,0.6000000000000001,2,0.7000000000000001,0.014612667684073358,0.0001900137293036219,20,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6044001233679449,2023-08-24 13:35:12.629567,2023-08-24 13:35:13.769462,0 days 00:00:01.139895,0.6000000000000001,1,0.7000000000000001,0.014369769130761134,0.00031921368877903554,20,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6388888888888888,2023-08-24 13:35:12.723366,2023-08-24 13:35:13.101987,0 days 00:00:00.378621,0.8,1,0.6000000000000001,0.003970107672217902,1.4157980996536241e-08,80,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6176470588235294,2023-08-24 13:35:12.812702,2023-08-24 13:35:13.195427,0 days 00:00:00.382725,0.8,1,0.6000000000000001,0.012124582974742929,1.1282953710466286e-08,80,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6388888888888888,2023-08-24 13:35:13.001861,2023-08-24 13:35:13.433400,0 days 00:00:00.431539,0.8,1,0.6000000000000001,0.003872293836320664,1.150189783687755e-08,80,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6367100666878375,2023-08-24 13:35:13.143409,2023-08-24 13:35:13.866952,0 days 00:00:00.723543,0.5,1,0.6000000000000001,0.1128146478540273,2.831539624210622e-07,50,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6504201680672269,2023-08-24 13:35:13.236393,2023-08-24 13:35:13.908974,0 days 00:00:00.672581,0.5,1,0.4,0.08289900226699345,2.2539487815853518e-07,50,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6224283985478015,2023-08-24 13:35:13.351065,2023-08-24 13:35:14.556125,0 days 00:00:01.205060,0.5,1,0.8,0.10558832703192987,3.0074668794825295e-07,10,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6350877192982456,2023-08-24 13:35:13.475722,2023-08-24 13:35:14.669687,0 days 00:00:01.193965,0.5,2,0.8,0.07191862741119188,3.877836260016838e-07,10,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6601307189542484,2023-08-24 13:35:13.571290,2023-08-24 13:35:14.382454,0 days 00:00:00.811164,0.5,1,0.8,0.16617574475201252,4.80346471215442e-07,30,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6285714285714286,2023-08-24 13:35:13.628282,2023-08-24 13:35:14.323053,0 days 00:00:00.694771,0.5,1,0.8,0.12936587735817073,4.410711351014385e-07,30,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6471676775984373,2023-08-24 13:35:13.687358,2023-08-24 13:35:14.252100,0 days 00:00:00.564742,0.5,1,0.8,0.1050201305704601,6.164361166225149e-07,30,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5964052287581698,2023-08-24 13:35:13.817239,2023-08-24 13:35:14.440365,0 days 00:00:00.623126,0.5,1,0.8,0.13312680286298592,5.82617142644979e-07,50,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6517503805175038,2023-08-24 13:35:13.948258,2023-08-24 13:35:14.773045,0 days 00:00:00.824787,0.7000000000000001,2,0.8,0.177478274059972,7.586259483214366e-07,30,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6388888888888888,2023-08-24 13:35:13.957666,2023-08-24 13:35:14.845647,0 days 00:00:00.887981,0.7000000000000001,2,0.8,0.29071823025976684,3.341906338211448e-07,30,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6176470588235294,2023-08-24 13:35:14.293637,2023-08-24 13:35:15.298635,0 days 00:00:01.004998,0.7000000000000001,2,1.0,0.2703788907208297,8.112273050910891e-07,30,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.6285714285714286,2023-08-24 13:35:14.370877,2023-08-24 13:35:15.389715,0 days 00:00:01.018838,0.7000000000000001,2,1.0,0.9098514428899178,7.712085453515533e-08,30,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6339544513457558,2023-08-24 13:35:14.422935,2023-08-24 13:35:15.442727,0 days 00:00:01.019792,0.6000000000000001,2,0.9,0.34539050085644707,6.21261847025949e-08,30,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6339544513457558,2023-08-24 13:35:14.498449,2023-08-24 13:35:15.189438,0 days 00:00:00.690989,0.6000000000000001,2,1.0,0.4156041705697323,6.77227129055664e-08,30,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.6475279106858054,2023-08-24 13:35:14.602172,2023-08-24 13:35:15.671315,0 days 00:00:01.069143,0.6000000000000001,2,1.0,0.9117777783512773,2.1456872493950713e-06,30,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.6770186335403726,2023-08-24 13:35:14.720065,2023-08-24 13:35:15.446150,0 days 00:00:00.726085,0.6000000000000001,2,0.9,0.38229028269120285,6.229549526464901e-08,30,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.6504201680672269,2023-08-24 13:35:14.816857,2023-08-24 13:35:15.601316,0 days 00:00:00.784459,0.6000000000000001,1,1.0,0.7512493488807657,5.906947444842836e-08,30,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5908902691511387,2023-08-24 13:35:14.893938,2023-08-24 13:35:15.256014,0 days 00:00:00.362076,0.6000000000000001,1,0.9,0.8316656332207606,5.883506472234042e-08,40,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.664380798709157,2023-08-24 13:35:15.232098,2023-08-24 13:35:16.160085,0 days 00:00:00.927987,0.4,1,0.9,0.900978159281067,2.71937992579395e-06,40,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5908902691511387,2023-08-24 13:35:15.297601,2023-08-24 13:35:16.056737,0 days 00:00:00.759136,0.4,1,1.0,0.001048621380693565,4.221436067089556e-06,40,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
