,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.533223864258347,2023-08-24 13:36:27.031371,2023-08-24 13:36:27.418134,0 days 00:00:00.386763,1.0,1,0.9,4.3724276839770224e-06,0.0011451041236490596,80,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5708709713393554,2023-08-24 13:36:27.034062,2023-08-24 13:36:27.315872,0 days 00:00:00.281810,0.5,1,0.5,0.004087108319886273,0.07430675207587276,50,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5047619047619047,2023-08-24 13:36:27.036820,2023-08-24 13:36:27.556037,0 days 00:00:00.519217,0.6000000000000001,3,1.0,0.006214087373557824,2.695588401138799e-08,40,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4756302521008403,2023-08-24 13:36:27.038834,2023-08-24 13:36:28.375336,0 days 00:00:01.336502,0.4,3,0.5,1.3266328030916931e-07,1.615047074992948e-06,10,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5559934318555009,2023-08-24 13:36:27.041301,2023-08-24 13:36:27.360478,0 days 00:00:00.319177,1.0,3,0.8,0.00023383251415991037,4.015877199939639e-06,80,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5711805555555556,2023-08-24 13:36:27.043591,2023-08-24 13:36:27.257822,0 days 00:00:00.214231,0.8,3,0.6000000000000001,5.759431406315112e-07,0.04155238327984081,80,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6015325670498085,2023-08-24 13:36:27.046177,2023-08-24 13:36:27.204160,0 days 00:00:00.157983,0.8,3,0.9,0.00030412717625665837,0.0014146268978056202,90,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5411764705882353,2023-08-24 13:36:27.049690,2023-08-24 13:36:28.975878,0 days 00:00:01.926188,0.6000000000000001,1,1.0,0.12366374202354365,1.7059634797957784e-06,10,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.586013986013986,2023-08-24 13:36:27.246823,2023-08-24 13:36:27.853677,0 days 00:00:00.606854,0.6000000000000001,2,0.5,1.0583224660501847e-05,0.20213724758713209,60,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5218390804597701,2023-08-24 13:36:27.302625,2023-08-24 13:36:27.610921,0 days 00:00:00.308296,0.4,3,0.8,1.797282682897044e-08,6.224120309444166e-08,90,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5034722222222223,2023-08-24 13:36:27.405282,2023-08-24 13:36:27.695913,0 days 00:00:00.290631,0.4,2,0.7000000000000001,0.03765476400615276,0.6240835632339388,30,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.517454706142289,2023-08-24 13:36:27.409340,2023-08-24 13:36:27.788370,0 days 00:00:00.379030,0.6000000000000001,3,0.7000000000000001,1.1329062858807725e-07,5.5571138654695344e-05,80,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5188811188811189,2023-08-24 13:36:27.460378,2023-08-24 13:36:28.203668,0 days 00:00:00.743290,0.7000000000000001,3,1.0,4.3918177844810045e-08,0.005377483552852669,40,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5188811188811189,2023-08-24 13:36:27.598980,2023-08-24 13:36:29.443787,0 days 00:00:01.844807,1.0,3,0.7000000000000001,0.3997228453179603,7.150646700605894e-06,10,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5708709713393554,2023-08-24 13:36:27.652878,2023-08-24 13:36:27.976361,0 days 00:00:00.323483,0.4,1,0.9,1.6237376932611223e-05,1.2397972381388503e-07,80,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.59375,2023-08-24 13:36:27.738133,2023-08-24 13:36:28.107354,0 days 00:00:00.369221,0.6000000000000001,2,0.9,5.257384011673478e-06,2.7865231912506036e-08,90,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5830163462526987,2023-08-24 13:36:27.843314,2023-08-24 13:36:29.172366,0 days 00:00:01.329052,0.7000000000000001,2,1.0,1.4107405688358946e-05,1.4271340329036882e-07,20,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5848739495798319,2023-08-24 13:36:27.899145,2023-08-24 13:36:28.742136,0 days 00:00:00.842991,0.8,2,1.0,0.12593870656299844,0.0017649195835601691,10,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.4741258741258741,2023-08-24 13:36:28.021234,2023-08-24 13:36:29.618374,0 days 00:00:01.597140,0.8,2,0.4,0.00020673424183390712,0.0032685469978424478,10,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6005121638924455,2023-08-24 13:36:28.148528,2023-08-24 13:36:28.499507,0 days 00:00:00.350979,0.8,2,1.0,0.00023743493742038274,2.1693235450563246e-06,100,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.59375,2023-08-24 13:36:28.246940,2023-08-24 13:36:28.609124,0 days 00:00:00.362184,0.8,2,0.9,0.8840188197239742,4.633063085099199e-06,100,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6005121638924455,2023-08-24 13:36:28.417048,2023-08-24 13:36:29.067938,0 days 00:00:00.650890,0.8,2,0.9,0.00023821956905594163,0.00018047673577781492,100,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.586013986013986,2023-08-24 13:36:28.550519,2023-08-24 13:36:29.278700,0 days 00:00:00.728181,0.8,2,1.0,0.6294194522561231,5.1946877518959387e-05,100,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.508108108108108,2023-08-24 13:36:28.666025,2023-08-24 13:36:28.874341,0 days 00:00:00.208316,0.9,2,1.0,0.00019856859714857,0.00017566735957271908,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
