,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8003072196620584,2023-08-24 13:40:37.666268,2023-08-24 13:40:38.076660,0 days 00:00:00.410392,0.5,2,0.4,0.5060102484943234,0.0024711194004873272,50,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7876932050160397,2023-08-24 13:40:37.668268,2023-08-24 13:40:37.993897,0 days 00:00:00.325629,0.9,2,0.5,0.0002772410172763948,0.004864169817505938,100,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7584204413472706,2023-08-24 13:40:37.670264,2023-08-24 13:40:38.447769,0 days 00:00:00.777505,0.8,2,0.8,0.2661160978584225,0.012994756932019113,40,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8079128997764168,2023-08-24 13:40:37.672629,2023-08-24 13:40:38.142700,0 days 00:00:00.470071,0.4,1,0.5,0.3522669531235464,1.1590542125751981e-08,30,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7894939759036144,2023-08-24 13:40:37.675051,2023-08-24 13:40:37.930592,0 days 00:00:00.255541,1.0,1,0.5,0.0213385682977451,0.020079042346764435,90,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.818815331010453,2023-08-24 13:40:37.678427,2023-08-24 13:40:37.867361,0 days 00:00:00.188934,0.4,2,0.9,0.0007285289420697096,0.39776354135869013,80,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7694457831325301,2023-08-24 13:40:37.680776,2023-08-24 13:40:39.009792,0 days 00:00:01.329016,0.4,3,0.4,1.8171820462133515e-07,0.0007992321640967545,10,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7674735102556626,2023-08-24 13:40:37.683015,2023-08-24 13:40:37.813261,0 days 00:00:00.130246,0.4,2,0.7000000000000001,2.9286257820893725e-06,2.0283503313092516e-08,50,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7856932587577274,2023-08-24 13:40:37.857257,2023-08-24 13:40:38.536485,0 days 00:00:00.679228,0.7000000000000001,1,0.9,2.8545769421267427e-07,1.526832791434269e-05,60,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7894939759036144,2023-08-24 13:40:37.911328,2023-08-24 13:40:38.340345,0 days 00:00:00.429017,0.7000000000000001,2,0.4,0.0013247282316273274,0.2515799429419939,80,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
