,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5516791979949874,2023-08-24 14:09:01.800566,2023-08-24 14:09:02.000195,0 days 00:00:00.199629,0.6000000000000001,3,0.8,0.8354544284599575,0.1357528561313965,100,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5692307692307692,2023-08-24 14:09:01.802661,2023-08-24 14:09:02.533828,0 days 00:00:00.731167,0.9,1,0.9,0.021380706403135562,4.3081016105395995e-07,30,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5175473981444131,2023-08-24 14:09:01.805655,2023-08-24 14:09:02.967577,0 days 00:00:01.161922,0.4,1,0.6000000000000001,4.042727639999872e-06,1.1028171937014753e-07,10,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5830163462526987,2023-08-24 14:09:01.807867,2023-08-24 14:09:01.916966,0 days 00:00:00.109099,0.5,3,0.8,0.0002742808961577116,0.0007702515471836114,100,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5853269537480064,2023-08-24 14:09:01.810448,2023-08-24 14:09:02.672965,0 days 00:00:00.862517,0.7000000000000001,1,1.0,0.0033623364304984286,5.521075853663129e-06,30,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.580475998386446,2023-08-24 14:09:01.813397,2023-08-24 14:09:02.108686,0 days 00:00:00.295289,1.0,3,0.9,9.031992401537069e-05,2.3020214831130224e-08,80,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5450568678915135,2023-08-24 14:09:01.815890,2023-08-24 14:09:03.974550,0 days 00:00:02.158660,0.9,3,0.4,0.00048464624032513055,7.05017824340711e-07,10,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5751633986928104,2023-08-24 14:09:01.820560,2023-08-24 14:09:02.209311,0 days 00:00:00.388751,0.9,3,0.9,9.013347732469726e-07,2.0748448264467107e-07,70,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5751633986928104,2023-08-24 14:09:01.957171,2023-08-24 14:09:02.434357,0 days 00:00:00.477186,0.9,3,0.6000000000000001,0.34209758241323474,0.08798947619681803,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5531250000000001,2023-08-24 14:09:02.040433,2023-08-24 14:09:02.603958,0 days 00:00:00.563525,0.4,3,0.9,0.17556723148405734,0.6038711256254937,20,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5830163462526987,2023-08-24 14:09:02.151436,2023-08-24 14:09:02.485358,0 days 00:00:00.333922,0.6000000000000001,2,0.8,0.00012188065738412777,5.032343514095911e-06,60,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5611814345991561,2023-08-24 14:09:02.267273,2023-08-24 14:09:03.427061,0 days 00:00:01.159788,0.8,3,0.5,0.4637010061367766,1.908497463582865e-06,20,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5853269537480064,2023-08-24 14:09:02.480717,2023-08-24 14:09:03.382024,0 days 00:00:00.901307,0.9,1,0.4,1.3916674109299974e-06,0.0161174741158286,40,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5830163462526987,2023-08-24 14:09:02.530002,2023-08-24 14:09:02.850174,0 days 00:00:00.320172,0.4,1,0.6000000000000001,3.1174888475338185e-06,1.7075466601963732e-08,70,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5594997983057685,2023-08-24 14:09:02.577910,2023-08-24 14:09:03.057011,0 days 00:00:00.479101,0.6000000000000001,1,0.7000000000000001,0.0010872937911246413,1.872464750445971e-07,60,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5616325691374524,2023-08-24 14:09:02.648655,2023-08-24 14:09:03.161877,0 days 00:00:00.513222,0.9,1,0.6000000000000001,1.2653826054068681e-07,6.347373470397552e-05,80,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.580475998386446,2023-08-24 14:09:02.717905,2023-08-24 14:09:03.288792,0 days 00:00:00.570887,0.4,1,0.6000000000000001,2.458977763116633e-07,0.00043884431465164434,30,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5594997983057685,2023-08-24 14:09:02.894636,2023-08-24 14:09:03.736730,0 days 00:00:00.842094,0.7000000000000001,2,0.4,1.609466781384102e-08,7.416728952037864e-05,40,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5594997983057685,2023-08-24 14:09:03.011500,2023-08-24 14:09:03.890051,0 days 00:00:00.878551,0.7000000000000001,2,0.4,0.003073761773783913,0.00030080564365508595,40,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5594997983057685,2023-08-24 14:09:03.101272,2023-08-24 14:09:04.021500,0 days 00:00:00.920228,0.7000000000000001,2,1.0,1.630392446116275e-08,0.00025864166456795,40,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5594997983057685,2023-08-24 14:09:03.205620,2023-08-24 14:09:04.253069,0 days 00:00:01.047449,0.7000000000000001,2,0.4,0.004266376367084597,0.00047676257162114575,40,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5897435897435898,2023-08-24 14:09:03.334022,2023-08-24 14:09:04.339990,0 days 00:00:01.005968,0.8,2,1.0,0.002251168614998801,0.0009475721457790128,40,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5987905327911583,2023-08-24 14:09:03.469093,2023-08-24 14:09:03.624497,0 days 00:00:00.155404,0.7000000000000001,2,0.4,0.006037930412212084,0.010004071153414092,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5385235982250909,2023-08-24 14:09:03.470893,2023-08-24 14:09:04.131087,0 days 00:00:00.660194,0.7000000000000001,2,0.4,1.387866779461256e-08,2.115741162302534e-05,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5594997983057685,2023-08-24 14:09:03.667006,2023-08-24 14:09:04.505434,0 days 00:00:00.838428,0.7000000000000001,2,1.0,0.007812539724099522,0.004220623651864241,40,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5594997983057685,2023-08-24 14:09:03.779361,2023-08-24 14:09:04.629793,0 days 00:00:00.850432,0.7000000000000001,2,1.0,0.007687834276678351,0.004426580076358958,40,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5673262303399289,2023-08-24 14:09:03.933031,2023-08-24 14:09:04.736426,0 days 00:00:00.803395,0.8,2,1.0,0.029823985517598926,0.004351962837738139,50,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5673262303399289,2023-08-24 14:09:04.020730,2023-08-24 14:09:04.906603,0 days 00:00:00.885873,0.8,2,0.7000000000000001,0.018055541469362252,0.006639571227248901,50,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5987905327911583,2023-08-24 14:09:04.080122,2023-08-24 14:09:04.412068,0 days 00:00:00.331946,0.8,2,0.5,0.021460497904677935,0.00581087997431747,50,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5594997983057685,2023-08-24 14:09:04.175695,2023-08-24 14:09:04.859378,0 days 00:00:00.683683,0.8,1,0.5,0.011277528331313215,0.003096076569778701,50,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5594997983057685,2023-08-24 14:09:04.294251,2023-08-24 14:09:05.001840,0 days 00:00:00.707589,0.8,1,0.5,2.6131173001564193e-05,0.0053020647616182325,50,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5673262303399289,2023-08-24 14:09:04.381393,2023-08-24 14:09:05.094051,0 days 00:00:00.712658,0.8,2,1.0,0.03536881964537536,0.004325017455126209,50,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5673262303399289,2023-08-24 14:09:04.459590,2023-08-24 14:09:05.195534,0 days 00:00:00.735944,0.8,2,0.5,0.0363398042776338,0.003932255647718174,50,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5673262303399289,2023-08-24 14:09:04.557163,2023-08-24 14:09:05.288061,0 days 00:00:00.730898,0.8,2,0.5,0.03404645865922532,0.004581510443752358,50,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5673262303399289,2023-08-24 14:09:04.670472,2023-08-24 14:09:05.376381,0 days 00:00:00.705909,0.8,2,0.5,0.03587163223463209,0.002516167193412587,50,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5673262303399289,2023-08-24 14:09:04.775540,2023-08-24 14:09:05.484694,0 days 00:00:00.709154,0.8,2,0.5,0.05580129768470047,0.023628097718002367,50,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
