,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6267942583732058,2023-08-24 14:09:30.763162,2023-08-24 14:09:30.964336,0 days 00:00:00.201174,0.4,2,0.8,5.10410932336892e-08,9.600194234176595e-06,50,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.675,2023-08-24 14:09:30.764197,2023-08-24 14:09:30.868589,0 days 00:00:00.104392,0.7000000000000001,3,0.8,2.160074563323336e-08,0.4893343546459886,100,72,COMPLETE,1.0,0.6923076923076923,0.6725123903926802,0.6825332795482049,0.675,0.5581395348837209,0.6486486486486487,0.6,0.7868852459016393,0.7164179104477612,0.7500000000000001,0.6996309963099631,0.6944165757906215,0.7174443338602345,0.6895646412671286,0.5374045801526718,0.7719298245614035,0.6336633663366336,0.8514285714285714,0.6629588431590656,0.7454659161976235
2,2,0.6391394864677308,2023-08-24 14:09:30.766145,2023-08-24 14:09:31.065585,0 days 00:00:00.299440,1.0,1,0.4,0.17068003870392687,0.00029009067853905546,100,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6350877192982456,2023-08-24 14:09:30.767173,2023-08-24 14:09:31.877133,0 days 00:00:01.109960,0.7000000000000001,3,0.8,0.010766104659674824,0.06401090245669612,20,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6142355889724311,2023-08-24 14:09:30.767824,2023-08-24 14:09:31.582973,0 days 00:00:00.815149,1.0,3,0.6000000000000001,0.26512559146678144,2.1281047322963224e-06,40,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6267942583732058,2023-08-24 14:09:30.768308,2023-08-24 14:09:31.202314,0 days 00:00:00.434006,0.4,1,0.6000000000000001,1.5842900641245995e-05,0.026366210586461755,40,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6267942583732058,2023-08-24 14:09:30.769142,2023-08-24 14:09:31.114661,0 days 00:00:00.345519,0.7000000000000001,1,0.6000000000000001,3.342767921662049e-08,0.006326484125204395,30,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6391394864677308,2023-08-24 14:09:30.769818,2023-08-24 14:09:31.360816,0 days 00:00:00.590998,0.7000000000000001,2,0.6000000000000001,5.372484287145503e-07,5.6536942197605745e-05,40,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.663232263762143,2023-08-24 14:09:30.909318,2023-08-24 14:09:31.686016,0 days 00:00:00.776698,0.4,1,0.5,0.00432889935421,0.00024105774300718557,20,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6546875,2023-08-24 14:09:31.005424,2023-08-24 14:09:31.303069,0 days 00:00:00.297645,0.6000000000000001,3,0.8,6.573282804695068e-07,0.021930411411518733,80,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6267942583732058,2023-08-24 14:09:31.107519,2023-08-24 14:09:31.464152,0 days 00:00:00.356633,0.4,2,0.5,0.15591897943234248,0.01039909874565103,50,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6663750364537766,2023-08-24 14:09:31.156491,2023-08-24 14:09:31.531051,0 days 00:00:00.374560,0.7000000000000001,3,0.6000000000000001,4.724984402782784e-07,2.543076981407204e-06,70,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6267942583732058,2023-08-24 14:09:31.242575,2023-08-24 14:09:32.277580,0 days 00:00:01.035005,1.0,2,0.6000000000000001,0.9885569616253184,0.005990892131912779,30,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6267942583732058,2023-08-24 14:09:31.343538,2023-08-24 14:09:31.984674,0 days 00:00:00.641136,1.0,1,0.4,0.45803853752722146,0.5341830273808164,80,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6546875,2023-08-24 14:09:31.402389,2023-08-24 14:09:31.815965,0 days 00:00:00.413576,0.5,3,0.9,6.750709986126863e-07,0.22428703185465593,60,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6391394864677308,2023-08-24 14:09:31.505922,2023-08-24 14:09:32.089065,0 days 00:00:00.583143,0.9,1,0.5,1.1415464870210915e-05,1.7692016530041417e-07,100,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6391394864677308,2023-08-24 14:09:31.573360,2023-08-24 14:09:32.180356,0 days 00:00:00.606996,0.9,1,0.8,0.013934227839500442,4.840764987369043e-05,100,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6391394864677308,2023-08-24 14:09:31.625727,2023-08-24 14:09:32.332990,0 days 00:00:00.707263,0.9,3,0.9,0.00027758545017575264,0.5197101905643854,100,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6663750364537766,2023-08-24 14:09:31.728109,2023-08-24 14:09:32.432776,0 days 00:00:00.704667,0.8,3,1.0,7.216620365296978e-06,3.531786410216599e-08,80,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6546875,2023-08-24 14:09:31.857350,2023-08-24 14:09:32.536339,0 days 00:00:00.678989,0.8,3,1.0,1.0340004686063398e-08,5.101921272066632e-08,100,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6546875,2023-08-24 14:09:31.923732,2023-08-24 14:09:32.624213,0 days 00:00:00.700481,0.8,3,1.0,1.1834670081328471e-08,1.0898019621503499e-08,100,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6546875,2023-08-24 14:09:32.026955,2023-08-24 14:09:32.667363,0 days 00:00:00.640408,0.8,3,1.0,1.5130282077781445e-08,5.686730008303882e-08,100,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6663750364537766,2023-08-24 14:09:32.130587,2023-08-24 14:09:32.851781,0 days 00:00:00.721194,0.8,3,1.0,1.041105469538006e-08,3.007520609537322e-07,70,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6663750364537766,2023-08-24 14:09:32.220413,2023-08-24 14:09:32.916510,0 days 00:00:00.696097,0.8,3,1.0,1.811197831115755e-08,7.764803054439869e-08,80,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
