,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6339544513457558,2023-08-24 14:32:31.887139,2023-08-24 14:32:32.392791,0 days 00:00:00.505652,0.8,1,0.8,1.141929115063218e-05,3.330535947435589e-06,50,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6124223602484473,2023-08-24 14:32:31.889695,2023-08-24 14:32:32.442820,0 days 00:00:00.553125,0.7000000000000001,1,0.4,7.115277491137807e-08,4.3850044623515563e-08,40,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6142355889724311,2023-08-24 14:32:31.892372,2023-08-24 14:32:32.210008,0 days 00:00:00.317636,0.4,3,0.4,0.01097526943930389,4.384834424688477e-06,40,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6285714285714286,2023-08-24 14:32:31.893249,2023-08-24 14:32:32.134636,0 days 00:00:00.241387,1.0,3,0.6000000000000001,0.07764139890395456,0.2927808718297233,90,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5787629994526546,2023-08-24 14:32:31.895988,2023-08-24 14:32:34.173141,0 days 00:00:02.277153,0.8,1,0.4,1.3761491153551405e-07,4.9101064847319136e-08,10,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6722689075630253,2023-08-24 14:32:31.897852,2023-08-24 14:32:32.977020,0 days 00:00:01.079168,0.7000000000000001,1,0.6000000000000001,0.11660378007268632,7.488235062095646e-06,20,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6367100666878375,2023-08-24 14:32:31.898543,2023-08-24 14:32:32.091283,0 days 00:00:00.192740,0.7000000000000001,1,0.6000000000000001,4.164813859992407e-07,4.925114907936572e-08,80,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6807452101196148,2023-08-24 14:32:31.899923,2023-08-24 14:32:33.216162,0 days 00:00:01.316239,0.8,3,0.7000000000000001,1.3902317674438633e-08,2.639910386121609e-06,20,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6899352318289298,2023-08-24 14:32:32.131441,2023-08-24 14:32:32.683741,0 days 00:00:00.552300,0.6000000000000001,1,0.6000000000000001,1.1308486026462116e-07,0.030525254089626985,50,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.664380798709157,2023-08-24 14:32:32.177468,2023-08-24 14:32:32.624273,0 days 00:00:00.446805,1.0,2,0.8,6.698806164152742e-06,1.6461764462038661e-06,80,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6685514547136835,2023-08-24 14:32:32.251670,2023-08-24 14:32:32.562048,0 days 00:00:00.310378,1.0,2,0.8,3.055900168801892e-07,0.017030697120389484,100,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6306443429731101,2023-08-24 14:32:32.435589,2023-08-24 14:32:32.841899,0 days 00:00:00.406310,0.4,3,1.0,0.00010271896687197584,0.0010422472463954403,50,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6770186335403726,2023-08-24 14:32:32.484609,2023-08-24 14:32:33.103979,0 days 00:00:00.619370,0.9,1,0.6000000000000001,2.101449977802567e-07,2.6456069873504107e-05,70,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6176470588235294,2023-08-24 14:32:32.613658,2023-08-24 14:32:32.911539,0 days 00:00:00.297881,0.4,1,0.9,4.2462965839537644e-07,0.001375322337294857,90,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
