,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4583333333333333,2023-08-24 14:30:51.091444,2023-08-24 14:30:51.381661,0 days 00:00:00.290217,0.7000000000000001,1,0.5,2.88538970475477e-08,3.736604453115607e-07,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.517454706142289,2023-08-24 14:30:51.093765,2023-08-24 14:30:51.183008,0 days 00:00:00.089243,0.7000000000000001,3,1.0,6.428123573346688e-07,1.136906075800795e-08,90,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.44708860759493674,2023-08-24 14:30:51.096489,2023-08-24 14:30:51.265228,0 days 00:00:00.168739,0.5,2,0.5,3.1955987631763657e-07,0.032739045328837216,100,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.3890977443609022,2023-08-24 14:30:51.097119,2023-08-24 14:30:51.478051,0 days 00:00:00.380932,0.4,1,0.4,0.056111012333197256,0.002728414094776181,40,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.4944763588157314,2023-08-24 14:30:51.098783,2023-08-24 14:30:51.613997,0 days 00:00:00.515214,1.0,2,0.7000000000000001,1.34189347383116e-05,0.26866634618289437,60,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.580475998386446,2023-08-24 14:30:51.099978,2023-08-24 14:30:52.558754,0 days 00:00:01.458776,0.4,2,0.5,2.4557662861438717e-08,0.00820459186557539,10,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5262939958592132,2023-08-24 14:30:51.101353,2023-08-24 14:30:53.308172,0 days 00:00:02.206819,0.8,2,1.0,3.048058877890208e-06,2.0912121140074492e-05,10,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5012824802051967,2023-08-24 14:30:51.102202,2023-08-24 14:30:51.533504,0 days 00:00:00.431302,1.0,3,0.8,2.43959103203331e-07,9.25672533395346e-05,80,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.508108108108108,2023-08-24 14:30:51.224582,2023-08-24 14:30:51.785084,0 days 00:00:00.560502,1.0,2,0.5,0.0006732961592262919,9.204397396258072e-07,70,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.46153846153846156,2023-08-24 14:30:51.306838,2023-08-24 14:30:51.432570,0 days 00:00:00.125732,0.4,3,0.8,0.00025332783732367694,0.010190596392758577,90,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.47149801148917364,2023-08-24 14:30:51.422731,2023-08-24 14:30:52.336848,0 days 00:00:00.914117,1.0,1,0.4,1.7293160003128526e-05,8.662620176374922e-06,70,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.4944763588157314,2023-08-24 14:30:51.473524,2023-08-24 14:30:51.844772,0 days 00:00:00.371248,0.6000000000000001,2,0.7000000000000001,1.199021563947124e-08,2.486264755579776e-06,80,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.49747899159663866,2023-08-24 14:30:51.516552,2023-08-24 14:30:51.980936,0 days 00:00:00.464384,0.8,2,1.0,0.015760491105481875,0.03037936460976286,70,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.4090128188185542,2023-08-24 14:30:51.572499,2023-08-24 14:30:51.720749,0 days 00:00:00.148250,0.4,1,0.8,0.004368283015653337,0.00027546311996825277,100,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6015325670498085,2023-08-24 14:30:51.652923,2023-08-24 14:30:52.064268,0 days 00:00:00.411345,0.7000000000000001,2,1.0,2.0154508652064896e-05,2.484515251456974e-07,10,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5673262303399289,2023-08-24 14:30:51.762582,2023-08-24 14:30:53.797665,0 days 00:00:02.035083,0.9,3,0.4,9.246648997991991e-05,0.0005005237115749723,10,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.44708860759493674,2023-08-24 14:30:51.826484,2023-08-24 14:30:52.210111,0 days 00:00:00.383627,0.4,1,0.5,1.1528983532182642e-07,0.0006391103783506797,90,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.43124999999999997,2023-08-24 14:30:51.883967,2023-08-24 14:30:52.166608,0 days 00:00:00.282641,0.8,3,1.0,8.403874187187557e-06,2.002150991633868e-08,10,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.44148869738978397,2023-08-24 14:30:52.021932,2023-08-24 14:30:52.469316,0 days 00:00:00.447384,0.8,3,0.5,0.6480155549517717,1.9326483979653818e-08,20,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.533223864258347,2023-08-24 14:30:52.107075,2023-08-24 14:30:52.818827,0 days 00:00:00.711752,0.8,3,1.0,1.8326068711866424e-05,1.729930539798509e-08,10,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5554165363361485,2023-08-24 14:30:52.208746,2023-08-24 14:30:52.991611,0 days 00:00:00.782865,0.7000000000000001,3,1.0,0.4398065756588827,1.1302428651872247e-08,30,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.43124999999999997,2023-08-24 14:30:52.257926,2023-08-24 14:30:52.652344,0 days 00:00:00.394418,0.7000000000000001,3,0.9,3.7826556522478963e-06,1.0176944995228038e-08,30,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5693581780538302,2023-08-24 14:30:52.378019,2023-08-24 14:30:53.036631,0 days 00:00:00.658612,0.7000000000000001,3,0.9,0.4126413215675498,1.0507787628700453e-08,30,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5462201927955352,2023-08-24 14:30:52.511153,2023-08-24 14:30:53.262075,0 days 00:00:00.750922,0.7000000000000001,3,0.9,1.957298103060398e-06,1.0479323249953485e-08,40,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5478260869565217,2023-08-24 14:30:52.600093,2023-08-24 14:30:53.439144,0 days 00:00:00.839051,0.6000000000000001,2,0.9,8.836290059833504e-07,4.923579831748355e-05,30,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5933834586466165,2023-08-24 14:30:52.711801,2023-08-24 14:30:54.148485,0 days 00:00:01.436684,0.6000000000000001,2,0.6000000000000001,6.80753822585629e-05,3.577054282600757e-05,10,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.48768472906403937,2023-08-24 14:30:52.861426,2023-08-24 14:30:53.547509,0 days 00:00:00.686083,0.6000000000000001,2,0.6000000000000001,9.82141777494294e-07,0.5442998983121924,40,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.4809027777777778,2023-08-24 14:30:53.035116,2023-08-24 14:30:53.705262,0 days 00:00:00.670146,0.6000000000000001,2,0.6000000000000001,7.556861949828144e-05,7.971618527312012e-05,40,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5616325691374524,2023-08-24 14:30:53.097667,2023-08-24 14:30:54.031990,0 days 00:00:00.934323,0.6000000000000001,2,0.9,8.794533100991552e-05,1.0481898682626669e-07,20,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5120425398811386,2023-08-24 14:30:53.305510,2023-08-24 14:30:54.262414,0 days 00:00:00.956904,0.6000000000000001,2,0.9,0.000710030378616625,2.61966712517909e-07,20,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
