,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.572531328320802,2023-08-24 14:31:28.497590,2023-08-24 14:31:30.207658,0 days 00:00:01.710068,1.0,1,0.8,1.8552920841397248e-06,0.0662173908710556,20,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5554165363361485,2023-08-24 14:31:28.499580,2023-08-24 14:31:29.684391,0 days 00:00:01.184811,0.7000000000000001,2,0.6000000000000001,0.0011987726796519457,5.242730767045959e-05,20,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5260416666666667,2023-08-24 14:31:28.501807,2023-08-24 14:31:28.758803,0 days 00:00:00.256996,0.6000000000000001,2,0.7000000000000001,0.007727478999024739,0.24925831391963368,80,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5478260869565217,2023-08-24 14:31:28.503654,2023-08-24 14:31:29.340630,0 days 00:00:00.836976,0.8,3,1.0,0.012865864656399046,0.42933759627970974,30,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5260416666666667,2023-08-24 14:31:28.506821,2023-08-24 14:31:28.687355,0 days 00:00:00.180534,0.5,3,0.8,5.846405456113532e-06,0.5469317564611186,70,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4358974358974359,2023-08-24 14:31:28.509432,2023-08-24 14:31:28.614734,0 days 00:00:00.105302,0.6000000000000001,3,0.4,6.560186841106428e-07,6.149392037312733e-06,90,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.548611111111111,2023-08-24 14:31:28.512845,2023-08-24 14:31:28.835178,0 days 00:00:00.322333,1.0,3,0.9,0.045073481541325046,4.894517685364155e-07,100,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5554165363361485,2023-08-24 14:31:28.518474,2023-08-24 14:31:29.432628,0 days 00:00:00.914154,1.0,1,1.0,2.2665610561472143e-05,0.3600307590573035,40,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5486397798242829,2023-08-24 14:31:28.670082,2023-08-24 14:31:28.997109,0 days 00:00:00.327027,0.4,2,1.0,0.00017925604274420808,6.054316328170423e-07,50,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5771035345636535,2023-08-24 14:31:28.729278,2023-08-24 14:31:29.943993,0 days 00:00:01.214715,0.4,3,0.8,8.688653586638512e-08,0.5326294998863614,10,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5104542966611931,2023-08-24 14:31:28.816016,2023-08-24 14:31:29.090374,0 days 00:00:00.274358,0.5,2,0.5,1.7300934771433092e-08,0.4221574538082131,60,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5711805555555556,2023-08-24 14:31:28.877464,2023-08-24 14:31:29.160555,0 days 00:00:00.283091,0.9,2,0.6000000000000001,0.00012096756918271368,7.599836318900944e-06,90,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5830163462526987,2023-08-24 14:31:29.043146,2023-08-24 14:31:30.589209,0 days 00:00:01.546063,0.9,3,0.9,0.11185306550852095,0.19660459656223528,20,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5964052287581698,2023-08-24 14:31:29.132218,2023-08-24 14:31:29.640882,0 days 00:00:00.508664,0.6000000000000001,3,1.0,0.01759244324086392,0.5074364722358767,40,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
