,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4439767944488682,2023-08-24 14:32:03.449005,2023-08-24 14:32:03.690557,0 days 00:00:00.241552,0.5,3,0.9,2.50912752543105e-07,0.0004108269655122855,100,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.45489015278242445,2023-08-24 14:32:03.451131,2023-08-24 14:32:03.916779,0 days 00:00:00.465648,0.7000000000000001,2,0.8,0.0007590114540615237,0.0017406841450735362,50,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4144144144144144,2023-08-24 14:32:03.453695,2023-08-24 14:32:03.592035,0 days 00:00:00.138340,0.8,1,0.9,2.2597214196686457e-05,1.8300515366887414e-06,70,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4649151614668856,2023-08-24 14:32:03.456217,2023-08-24 14:32:03.856170,0 days 00:00:00.399953,0.8,2,0.7000000000000001,0.02015057617871103,0.0011027639540896344,60,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.47808631649381067,2023-08-24 14:32:03.457923,2023-08-24 14:32:03.745741,0 days 00:00:00.287818,0.6000000000000001,3,0.9,0.039993068845994635,0.0001029307235619634,60,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5034722222222223,2023-08-24 14:32:03.460212,2023-08-24 14:32:03.641890,0 days 00:00:00.181678,0.4,3,1.0,0.000689650085123357,0.003452824793722792,50,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.44214559386973185,2023-08-24 14:32:03.463341,2023-08-24 14:32:04.031413,0 days 00:00:00.568072,0.7000000000000001,2,0.6000000000000001,9.251628116816302e-05,6.666102232440132e-05,40,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.553921568627451,2023-08-24 14:32:03.472001,2023-08-24 14:32:04.903617,0 days 00:00:01.431616,0.4,2,1.0,5.982474736464857e-07,1.4732237541958443e-07,10,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.45489015278242445,2023-08-24 14:32:03.637629,2023-08-24 14:32:04.295917,0 days 00:00:00.658288,0.5,2,0.4,0.10369487679510177,1.7629732645057247e-06,30,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.504589287789009,2023-08-24 14:32:03.682155,2023-08-24 14:32:04.099740,0 days 00:00:00.417585,0.7000000000000001,1,0.6000000000000001,5.150408971173362e-05,5.893421409332263e-07,70,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.46126126126126127,2023-08-24 14:32:03.731720,2023-08-24 14:32:04.156598,0 days 00:00:00.424878,0.5,1,1.0,0.005901501059565517,0.005633125213561807,50,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.4316939890710383,2023-08-24 14:32:03.784762,2023-08-24 14:32:04.709874,0 days 00:00:00.925112,0.8,1,0.9,0.3660825474997418,0.0023068647561657754,30,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.42937062937062936,2023-08-24 14:32:03.896163,2023-08-24 14:32:04.526665,0 days 00:00:00.630502,1.0,2,0.5,0.0005332117653112042,0.3762992752535828,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.48684210526315796,2023-08-24 14:32:03.965165,2023-08-24 14:32:04.431952,0 days 00:00:00.466787,0.7000000000000001,1,0.7000000000000001,0.0027857187870517323,0.0002562278869772817,70,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5218390804597701,2023-08-24 14:32:04.071274,2023-08-24 14:32:04.333559,0 days 00:00:00.262285,0.5,1,0.7000000000000001,0.00031516518171448304,0.00046689015550570204,100,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
