,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6421645292461683,2023-08-24 14:35:37.522055,2023-08-24 14:35:37.624195,0 days 00:00:00.102140,0.5,3,1.0,0.1519383238389381,1.0927069714993378e-07,100,220,COMPLETE,1.0,0.6826923076923077,0.643728555089592,0.6858974358974359,0.6421645292461683,0.4186046511627907,0.6923076923076923,0.5217391304347826,0.8688524590163934,0.6794871794871795,0.762589928057554,0.5261992619926199,0.5185605234460197,0.5235505742355058,0.495353289244692,0.2885496183206107,0.5178082191780822,0.3705882352941177,0.7485714285714286,0.5292929292929293,0.6201183431952663
1,1,0.4756302521008403,2023-08-24 14:35:37.524254,2023-08-24 14:35:38.472682,0 days 00:00:00.948428,0.7000000000000001,3,0.4,0.00284947420500162,1.851154658690463e-06,20,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5486397798242829,2023-08-24 14:35:37.526574,2023-08-24 14:35:38.008605,0 days 00:00:00.482031,0.8,3,0.9,5.759635431690791e-08,4.200446219346801e-07,60,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5987905327911583,2023-08-24 14:35:37.529164,2023-08-24 14:35:37.874638,0 days 00:00:00.345474,0.7000000000000001,2,1.0,0.00510047099424217,0.0027929070959339213,80,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5693581780538302,2023-08-24 14:35:37.530035,2023-08-24 14:35:38.138992,0 days 00:00:00.608957,0.9,2,0.9,2.452505760348463e-07,0.0031389238647323626,50,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5630252100840336,2023-08-24 14:35:37.531420,2023-08-24 14:35:37.826006,0 days 00:00:00.294586,0.6000000000000001,3,0.8,2.2107763402298052e-05,2.4833359870704516e-05,60,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4547136835612213,2023-08-24 14:35:37.533112,2023-08-24 14:35:38.856932,0 days 00:00:01.323820,1.0,1,0.8,6.297962787635485e-06,5.436950994856364e-06,10,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.517454706142289,2023-08-24 14:35:37.534167,2023-08-24 14:35:37.717224,0 days 00:00:00.183057,0.4,1,1.0,4.937524095119709e-05,0.5176256827829135,10,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5262939958592132,2023-08-24 14:35:37.664806,2023-08-24 14:35:38.721537,0 days 00:00:01.056731,0.6000000000000001,2,0.4,1.6799201402543284e-07,1.0121667571018117e-06,20,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5978982849211857,2023-08-24 14:35:37.758054,2023-08-24 14:35:37.946256,0 days 00:00:00.188202,0.4,3,0.9,5.444241417186016e-08,8.093595946335117e-07,100,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5315315315315315,2023-08-24 14:35:37.866966,2023-08-24 14:35:38.334239,0 days 00:00:00.467273,1.0,3,0.7000000000000001,3.880033852565197e-06,0.8195533170897137,80,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5693581780538302,2023-08-24 14:35:37.927775,2023-08-24 14:35:38.250793,0 days 00:00:00.323018,0.5,3,0.7000000000000001,0.39462757792499104,0.00039549129559164425,50,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.48290208016235414,2023-08-24 14:35:37.988693,2023-08-24 14:35:39.712132,0 days 00:00:01.723439,0.7000000000000001,3,0.5,0.000416570479381917,1.202857027795851e-05,10,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.511737089201878,2023-08-24 14:35:38.050576,2023-08-24 14:35:38.607875,0 days 00:00:00.557299,0.8,2,0.9,0.0017742720322691976,7.709441080974606e-05,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6005121638924455,2023-08-24 14:35:38.180054,2023-08-24 14:35:38.550701,0 days 00:00:00.370647,0.8,2,1.0,0.002565282738620799,2.1501769709311927e-06,80,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5634114007954043,2023-08-24 14:35:38.289347,2023-08-24 14:35:38.902574,0 days 00:00:00.613227,0.5,1,0.6000000000000001,6.45936465660996e-05,8.045764497179315e-07,50,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5708709713393554,2023-08-24 14:35:38.373750,2023-08-24 14:35:39.012631,0 days 00:00:00.638881,0.5,1,0.7000000000000001,0.0007239547797922197,2.581600388072893e-08,40,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5457471264367817,2023-08-24 14:35:38.512097,2023-08-24 14:35:39.110923,0 days 00:00:00.598826,0.6000000000000001,1,0.5,0.683463235222446,2.5883010713077176e-08,100,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.47474747474747475,2023-08-24 14:35:38.594406,2023-08-24 14:35:39.192195,0 days 00:00:00.597789,0.6000000000000001,1,0.4,0.7283469655238229,2.1315905576958735e-08,100,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5287556639944232,2023-08-24 14:35:38.657548,2023-08-24 14:35:39.278094,0 days 00:00:00.620546,0.6000000000000001,1,0.5,0.6531804367228755,1.1247996488904826e-08,100,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5287556639944232,2023-08-24 14:35:38.763680,2023-08-24 14:35:39.277340,0 days 00:00:00.513660,0.6000000000000001,1,0.6000000000000001,0.5978352477498577,1.519378842040525e-08,100,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5457471264367817,2023-08-24 14:35:38.900920,2023-08-24 14:35:39.477527,0 days 00:00:00.576607,0.6000000000000001,1,0.6000000000000001,0.15921282819515767,1.7429971622610567e-08,100,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5783183952198037,2023-08-24 14:35:38.954193,2023-08-24 14:35:39.583320,0 days 00:00:00.629127,0.8,2,1.0,0.9440281946644372,1.9620034774352257e-08,100,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
