,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.580475998386446,2023-08-24 14:36:04.637328,2023-08-24 14:36:06.264567,0 days 00:00:01.627239,0.5,2,0.9,1.7233444775876652e-07,2.404770804213614e-06,10,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5964052287581698,2023-08-24 14:36:04.639643,2023-08-24 14:36:04.827343,0 days 00:00:00.187700,0.5,1,0.4,9.707286909571667e-08,0.14719421421142212,70,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6517503805175038,2023-08-24 14:36:04.642022,2023-08-24 14:36:05.148892,0 days 00:00:00.506870,0.6000000000000001,3,0.5,1.3572018621573515e-06,4.097073298479658e-05,30,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6176470588235294,2023-08-24 14:36:04.643990,2023-08-24 14:36:04.768825,0 days 00:00:00.124835,0.6000000000000001,1,0.4,6.001098196090917e-08,0.00212289914481639,90,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.530827067669173,2023-08-24 14:36:04.646365,2023-08-24 14:36:06.986060,0 days 00:00:02.339695,1.0,3,0.9,2.3509421694013587e-06,6.401304371404741e-07,10,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5751633986928104,2023-08-24 14:36:04.648101,2023-08-24 14:36:04.919039,0 days 00:00:00.270938,0.7000000000000001,2,0.5,3.962644810504754e-06,5.131260012808625e-06,80,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6307692307692307,2023-08-24 14:36:04.650661,2023-08-24 14:36:05.216423,0 days 00:00:00.565762,0.4,2,0.9,0.006469340646574045,0.0012624966149775737,20,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5933834586466165,2023-08-24 14:36:04.654811,2023-08-24 14:36:05.298970,0 days 00:00:00.644159,0.5,1,1.0,0.005016194225402476,9.115883993298128e-06,40,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5830163462526987,2023-08-24 14:36:04.811028,2023-08-24 14:36:05.546392,0 days 00:00:00.735364,0.6000000000000001,1,0.9,1.1126038760037808e-06,0.00032342533319136004,30,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5848739495798319,2023-08-24 14:36:04.885977,2023-08-24 14:36:05.087984,0 days 00:00:00.202007,0.4,2,1.0,0.06792879549769196,0.008627886237273624,80,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5478260869565217,2023-08-24 14:36:04.963551,2023-08-24 14:36:05.488039,0 days 00:00:00.524488,1.0,3,0.5,0.11988653779275099,0.0005499283979972228,50,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5462201927955352,2023-08-24 14:36:05.130091,2023-08-24 14:36:06.069691,0 days 00:00:00.939600,1.0,1,0.9,8.578798377007756e-08,1.0338081729600832e-06,30,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5630252100840336,2023-08-24 14:36:05.190203,2023-08-24 14:36:05.616414,0 days 00:00:00.426211,0.5,2,1.0,0.3110783694521366,1.3466582218041985e-08,80,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5908902691511387,2023-08-24 14:36:05.259139,2023-08-24 14:36:05.432723,0 days 00:00:00.173584,1.0,2,1.0,2.151565742966745e-07,0.0006973527270007488,20,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.586013986013986,2023-08-24 14:36:05.342181,2023-08-24 14:36:05.850326,0 days 00:00:00.508145,0.8,2,0.7000000000000001,8.44805119487095e-07,1.4087211017308981e-06,50,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5848739495798319,2023-08-24 14:36:05.476780,2023-08-24 14:36:05.973238,0 days 00:00:00.496458,1.0,1,0.7000000000000001,8.741115837479693e-05,0.22899186231378538,80,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5706573515401715,2023-08-24 14:36:05.533541,2023-08-24 14:36:06.161114,0 days 00:00:00.627573,0.8,3,0.8,0.02025301271823033,0.17316311815267443,70,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.530827067669173,2023-08-24 14:36:05.590018,2023-08-24 14:36:07.376976,0 days 00:00:01.786958,0.8,3,0.7000000000000001,0.00017039994238240855,2.583336454424516e-08,10,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5645933014354066,2023-08-24 14:36:05.663925,2023-08-24 14:36:06.903419,0 days 00:00:01.239494,0.8,3,0.7000000000000001,0.00018770372313816873,0.4526501132768873,10,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.580475998386446,2023-08-24 14:36:05.889954,2023-08-24 14:36:07.418777,0 days 00:00:01.528823,0.4,3,0.7000000000000001,0.00012047818943691239,0.041402868639906235,10,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.606060606060606,2023-08-24 14:36:06.019464,2023-08-24 14:36:07.034955,0 days 00:00:01.015491,0.4,3,0.8,0.0002474774429785616,2.1544488719214006e-05,10,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.606060606060606,2023-08-24 14:36:06.114310,2023-08-24 14:36:06.856304,0 days 00:00:00.741994,0.4,3,0.6000000000000001,0.00040194971434824394,5.104012839545997e-05,10,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.634375,2023-08-24 14:36:06.204941,2023-08-24 14:36:07.166790,0 days 00:00:00.961849,0.4,3,0.6000000000000001,0.0011443739699982581,4.312766851056496e-05,10,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.606060606060606,2023-08-24 14:36:06.309820,2023-08-24 14:36:07.267250,0 days 00:00:00.957430,0.4,3,0.6000000000000001,0.0004749448940123363,4.637459056146461e-05,10,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
