,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4825870646766169,2023-08-24 14:37:35.544001,2023-08-24 14:37:35.792262,0 days 00:00:00.248261,0.8,3,0.5,2.546725513365813e-06,8.006115804328563e-05,80,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5693581780538302,2023-08-24 14:37:35.544875,2023-08-24 14:37:35.924977,0 days 00:00:00.380102,0.5,2,0.9,2.0736302344529544e-06,0.1904864914931309,40,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5692307692307692,2023-08-24 14:37:35.547846,2023-08-24 14:37:36.484683,0 days 00:00:00.936837,1.0,3,0.9,0.001007928982482101,0.043627376315754474,40,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.48912280701754385,2023-08-24 14:37:35.549098,2023-08-24 14:37:36.287235,0 days 00:00:00.738137,1.0,1,0.8,9.112793979843172e-07,0.04118541447926057,40,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5339308578745199,2023-08-24 14:37:35.549817,2023-08-24 14:37:35.858348,0 days 00:00:00.308531,1.0,3,0.7000000000000001,1.0467547979787384e-06,9.117835882869065e-08,90,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5411764705882353,2023-08-24 14:37:35.550572,2023-08-24 14:37:36.003088,0 days 00:00:00.452516,1.0,1,0.9,1.4657021781846822e-08,6.29073060341077e-05,70,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5193277310924369,2023-08-24 14:37:35.551039,2023-08-24 14:37:35.725959,0 days 00:00:00.174920,0.6000000000000001,3,1.0,6.699261384300895e-08,0.013500314157020889,80,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.47149801148917364,2023-08-24 14:37:35.551962,2023-08-24 14:37:35.676489,0 days 00:00:00.124527,0.6000000000000001,1,0.4,0.1516820077727485,6.069557813398298e-08,100,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5099749373433584,2023-08-24 14:37:35.717911,2023-08-24 14:37:36.737407,0 days 00:00:01.019496,0.9,3,0.7000000000000001,0.004210467313385356,4.4015818426722953e-08,30,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5125,2023-08-24 14:37:35.764623,2023-08-24 14:37:36.995222,0 days 00:00:01.230599,0.4,3,0.5,0.015615469030460613,8.454682702541867e-07,10,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5339308578745199,2023-08-24 14:37:35.833419,2023-08-24 14:37:36.333396,0 days 00:00:00.499977,0.7000000000000001,1,0.8,0.5546291870736932,0.04437496045952095,50,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.4649151614668856,2023-08-24 14:37:35.899176,2023-08-24 14:37:36.235404,0 days 00:00:00.336228,0.7000000000000001,3,0.6000000000000001,7.142926783085012e-06,0.07938630432487602,60,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.4689542483660131,2023-08-24 14:37:35.963407,2023-08-24 14:37:36.375237,0 days 00:00:00.411830,0.9,1,0.4,0.0447288166333882,0.00012039588985237156,100,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.553921568627451,2023-08-24 14:37:36.044189,2023-08-24 14:37:36.132548,0 days 00:00:00.088359,0.4,3,0.9,7.678505019201527e-06,0.029851201892956043,100,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5282051282051283,2023-08-24 14:37:36.171823,2023-08-24 14:37:37.242197,0 days 00:00:01.070374,0.9,2,0.7000000000000001,0.10509912833558745,0.8056140216421697,20,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5047619047619047,2023-08-24 14:37:36.274293,2023-08-24 14:37:36.907512,0 days 00:00:00.633219,0.8,3,0.7000000000000001,3.512021724028662e-07,7.93390042131407e-08,40,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5645933014354066,2023-08-24 14:37:36.331431,2023-08-24 14:37:38.015424,0 days 00:00:01.683993,0.7000000000000001,1,0.7000000000000001,5.60757081622984e-07,1.099221583851189e-07,10,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.4901960784313726,2023-08-24 14:37:36.416076,2023-08-24 14:37:37.521297,0 days 00:00:01.105221,0.4,2,1.0,0.0002599142201192471,0.9375410740919036,10,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6102564102564102,2023-08-24 14:37:36.430901,2023-08-24 14:37:37.437884,0 days 00:00:01.006983,0.4,2,1.0,0.00015282712170706957,0.6615926816779433,10,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.49748123779171377,2023-08-24 14:37:36.525838,2023-08-24 14:37:37.614481,0 days 00:00:01.088643,0.4,2,1.0,0.0005311193310337354,0.9650356677893474,10,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.511437908496732,2023-08-24 14:37:36.780887,2023-08-24 14:37:37.349178,0 days 00:00:00.568291,0.4,2,1.0,0.0004032206328244136,0.7017834353607348,20,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5326797385620915,2023-08-24 14:37:36.946571,2023-08-24 14:37:38.162733,0 days 00:00:01.216162,0.4,2,1.0,0.0005391165198228375,0.7135712290715165,10,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5262939958592132,2023-08-24 14:37:37.034665,2023-08-24 14:37:37.757443,0 days 00:00:00.722778,0.5,2,1.0,0.00041566010682275376,0.7887377532092548,20,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5337295381086435,2023-08-24 14:37:37.280618,2023-08-24 14:37:37.884773,0 days 00:00:00.604155,0.5,2,1.0,0.0006909892163917194,0.8486818727460755,50,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5673262303399289,2023-08-24 14:37:37.392956,2023-08-24 14:37:38.078507,0 days 00:00:00.685551,0.5,2,0.9,0.000193941285429908,0.002716129398121141,50,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5487179487179487,2023-08-24 14:37:37.485340,2023-08-24 14:37:38.770098,0 days 00:00:01.284758,0.5,2,1.0,5.367052454147747e-05,0.001892952166023059,10,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5047619047619047,2023-08-24 14:37:37.585024,2023-08-24 14:37:38.505122,0 days 00:00:00.920098,0.5,2,0.8,2.6237631511369216e-05,0.0031638334993806323,20,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.4673495518565941,2023-08-24 14:37:37.677296,2023-08-24 14:37:38.377215,0 days 00:00:00.699919,0.5,2,0.8,3.792709916363978e-05,0.004623370779355665,30,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5673262303399289,2023-08-24 14:37:37.797288,2023-08-24 14:37:38.293735,0 days 00:00:00.496447,0.5,2,0.9,3.5420997408918576e-05,0.00503992056540056,50,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5987905327911583,2023-08-24 14:37:37.926142,2023-08-24 14:37:38.574497,0 days 00:00:00.648355,0.5,2,0.9,4.204208725296108e-05,0.0043612775679896364,40,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5987905327911583,2023-08-24 14:37:38.057104,2023-08-24 14:37:38.839503,0 days 00:00:00.782399,0.5,2,0.9,4.6570117344410233e-05,0.005589266650141575,40,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5751633986928104,2023-08-24 14:37:38.121542,2023-08-24 14:37:39.068216,0 days 00:00:00.946674,0.6000000000000001,2,0.8,4.4361974535014384e-05,0.15039245538873205,30,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.530827067669173,2023-08-24 14:37:38.206502,2023-08-24 14:37:39.120406,0 days 00:00:00.913904,0.6000000000000001,2,0.8,4.4490562774628625e-05,0.16607738907119346,30,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5326797385620915,2023-08-24 14:37:38.337645,2023-08-24 14:37:39.201337,0 days 00:00:00.863692,0.6000000000000001,2,0.8,5.032970274795916e-05,0.15599973826838692,30,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.530827067669173,2023-08-24 14:37:38.422256,2023-08-24 14:37:39.277480,0 days 00:00:00.855224,0.6000000000000001,2,0.9,4.885177325828685e-05,0.12189235322700542,30,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5262939958592132,2023-08-24 14:37:38.547677,2023-08-24 14:37:39.372884,0 days 00:00:00.825207,0.6000000000000001,2,0.9,0.00010622982061681345,0.14232910026705695,40,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5462201927955352,2023-08-24 14:37:38.618717,2023-08-24 14:37:38.997991,0 days 00:00:00.379274,0.6000000000000001,2,0.9,9.078808718530139e-05,0.16138294482663632,60,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5462201927955352,2023-08-24 14:37:38.812536,2023-08-24 14:37:39.529072,0 days 00:00:00.716536,0.6000000000000001,2,0.9,4.236398313258662e-06,0.16058954591055818,60,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.530827067669173,2023-08-24 14:37:38.885714,2023-08-24 14:37:39.662421,0 days 00:00:00.776707,0.6000000000000001,2,0.9,8.810547726362343e-06,0.12007657402847506,30,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5360364826013682,2023-08-24 14:37:39.045283,2023-08-24 14:37:39.959233,0 days 00:00:00.913950,0.6000000000000001,2,0.8,8.227693758822968e-06,0.1876159801792184,30,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.543859649122807,2023-08-24 14:37:39.113375,2023-08-24 14:37:40.246038,0 days 00:00:01.132663,0.6000000000000001,2,0.8,6.713030400229571e-06,0.11334735487660136,30,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5175473981444131,2023-08-24 14:37:39.175585,2023-08-24 14:37:40.316703,0 days 00:00:01.141118,0.6000000000000001,2,0.9,1.025564829869784e-05,0.16160788458820008,30,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5630252100840336,2023-08-24 14:37:39.250738,2023-08-24 14:37:39.890752,0 days 00:00:00.640014,0.6000000000000001,2,0.9,9.529886955648136e-06,0.013339656316663957,40,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5908902691511387,2023-08-24 14:37:39.338726,2023-08-24 14:37:40.178236,0 days 00:00:00.839510,0.5,2,0.9,0.002198938338473659,0.014601171217864254,40,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5046046363925055,2023-08-24 14:37:39.428206,2023-08-24 14:37:40.020705,0 days 00:00:00.592499,0.5,2,0.6000000000000001,1.203112156853927e-05,0.022885046863508857,40,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5193277310924369,2023-08-24 14:37:39.577753,2023-08-24 14:37:40.120797,0 days 00:00:00.543044,0.5,1,0.8,1.2022269788569234e-05,0.01646644920216225,40,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5193277310924369,2023-08-24 14:37:39.704260,2023-08-24 14:37:40.385465,0 days 00:00:00.681205,0.5,1,0.8,0.0034012710238249606,0.012644285920611351,40,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.47808631649381067,2023-08-24 14:37:39.932299,2023-08-24 14:37:40.607687,0 days 00:00:00.675388,0.5,1,0.8,0.0015382865339819156,0.0006728131308196085,70,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5193277310924369,2023-08-24 14:37:39.999517,2023-08-24 14:37:40.988694,0 days 00:00:00.989177,0.5,1,0.8,1.8150453931921638e-06,0.015822614046697835,40,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5193277310924369,2023-08-24 14:37:40.063118,2023-08-24 14:37:40.927983,0 days 00:00:00.864865,0.5,1,0.8,2.658076439925637e-06,0.012575500479086243,40,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5188811188811189,2023-08-24 14:37:40.166486,2023-08-24 14:37:40.724045,0 days 00:00:00.557559,0.4,2,0.9,3.4786472293076137e-06,0.046846619097211786,70,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5188811188811189,2023-08-24 14:37:40.230704,2023-08-24 14:37:40.773183,0 days 00:00:00.542479,0.4,2,0.9,0.00201667893809489,0.05222866825695063,70,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5188811188811189,2023-08-24 14:37:40.289503,2023-08-24 14:37:40.840781,0 days 00:00:00.551278,0.4,2,0.9,0.001653563962759158,0.04605560999376873,70,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.49650349650349646,2023-08-24 14:37:40.364267,2023-08-24 14:37:41.053442,0 days 00:00:00.689175,0.4,1,1.0,0.002345734976653986,0.0517643013192703,50,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.5326797385620915,2023-08-24 14:37:40.425280,2023-08-24 14:37:41.226239,0 days 00:00:00.800959,0.4,3,1.0,0.0013699031130706492,0.049214090704507725,20,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.5047619047619047,2023-08-24 14:37:40.647266,2023-08-24 14:37:41.346309,0 days 00:00:00.699043,0.4,3,0.9,0.0001555811844172956,0.3265380896041128,20,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.5231259968102073,2023-08-24 14:37:40.765330,2023-08-24 14:37:41.477257,0 days 00:00:00.711927,0.4,3,1.0,0.0001493247037064837,0.046970674263580675,50,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.5411764705882353,2023-08-24 14:37:40.821350,2023-08-24 14:37:41.665627,0 days 00:00:00.844277,0.7000000000000001,3,1.0,0.00018934414553452007,0.3237469814841666,50,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.5040081177067478,2023-08-24 14:37:40.882980,2023-08-24 14:37:41.611092,0 days 00:00:00.728112,0.5,3,1.0,1.5842246362776962e-06,0.30579519921208453,50,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.5326797385620915,2023-08-24 14:37:40.973368,2023-08-24 14:37:41.859613,0 days 00:00:00.886245,0.7000000000000001,3,1.0,1.5967754802238343e-06,0.312435056002307,50,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5554165363361485,2023-08-24 14:37:41.029191,2023-08-24 14:37:41.818201,0 days 00:00:00.789010,0.7000000000000001,3,1.0,0.00017033326929790982,0.34736265215639134,50,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.543859649122807,2023-08-24 14:37:41.095255,2023-08-24 14:37:42.185475,0 days 00:00:01.090220,0.7000000000000001,3,1.0,1.998195596970604e-05,0.34671981438689203,20,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5402487920222063,2023-08-24 14:37:41.268409,2023-08-24 14:37:41.938146,0 days 00:00:00.669737,0.7000000000000001,2,0.7000000000000001,0.00012814696937072235,0.3009172144027013,50,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.511737089201878,2023-08-24 14:37:41.386697,2023-08-24 14:37:41.735566,0 days 00:00:00.348869,0.7000000000000001,2,0.7000000000000001,0.00020717626359156315,0.4299017894117212,50,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5188811188811189,2023-08-24 14:37:41.519235,2023-08-24 14:37:42.053409,0 days 00:00:00.534174,0.7000000000000001,2,0.7000000000000001,0.006082966811760769,0.28219439064851665,90,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.4649151614668856,2023-08-24 14:37:41.653764,2023-08-24 14:37:42.534315,0 days 00:00:00.880551,0.7000000000000001,2,0.7000000000000001,0.0002889412485452614,0.3816067206810537,60,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
