,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8122922010069346,2023-08-24 12:51:01.548598,2023-08-24 12:51:02.331405,0 days 00:00:00.782807,0.9,3,1.0,5.484221282272675e-06,0.00023299165548979278,80,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8202764976958525,2023-08-24 12:51:01.550110,2023-08-24 12:51:02.239271,0 days 00:00:00.689161,0.8,3,0.8,1.7634953996198533e-06,7.964122107690325e-07,90,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7986837011227255,2023-08-24 12:51:01.551356,2023-08-24 12:51:05.446627,0 days 00:00:03.895271,0.7000000000000001,3,0.8,2.1524866230451524e-07,1.6924310723326753e-08,10,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8308943089430895,2023-08-24 12:51:01.552119,2023-08-24 12:51:02.406655,0 days 00:00:00.854536,1.0,1,0.6000000000000001,1.2816885287581082e-05,0.0006904751108740753,70,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.778552071234998,2023-08-24 12:51:01.553487,2023-08-24 12:51:02.523862,0 days 00:00:00.970375,0.6000000000000001,1,0.4,0.009274023872456995,0.0022822459606790116,30,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.801753717117804,2023-08-24 12:51:01.553877,2023-08-24 12:51:01.877778,0 days 00:00:00.323901,0.7000000000000001,2,0.4,0.03648935355325121,1.8459868774940084e-05,100,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7911047345767577,2023-08-24 12:51:01.555639,2023-08-24 12:51:02.061785,0 days 00:00:00.506146,0.9,3,0.5,0.07288010048234274,0.008740884487613088,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8308943089430895,2023-08-24 12:51:01.556350,2023-08-24 12:51:02.114057,0 days 00:00:00.557707,1.0,3,0.6000000000000001,0.0005102346290333731,4.704335070106579e-07,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7986837011227255,2023-08-24 12:51:01.922169,2023-08-24 12:51:03.643790,0 days 00:00:01.721621,0.9,2,0.4,0.014267961750084166,3.8800900209390485e-07,20,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7911047345767577,2023-08-24 12:51:02.107522,2023-08-24 12:51:02.743695,0 days 00:00:00.636173,0.4,1,0.7000000000000001,4.537379880003848e-07,1.6280669815181544e-05,50,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
