,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6717948717948719,2023-08-24 12:49:26.088770,2023-08-24 12:49:26.513279,0 days 00:00:00.424509,0.8,3,0.7000000000000001,0.0002817912022645374,9.665601577058064e-06,60,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.663232263762143,2023-08-24 12:49:26.090823,2023-08-24 12:49:26.871794,0 days 00:00:00.780971,1.0,2,0.4,7.219349104742872e-08,6.446081156435889e-07,40,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6889952153110048,2023-08-24 12:49:26.093026,2023-08-24 12:49:26.662776,0 days 00:00:00.569750,0.9,3,0.7000000000000001,1.1668517671454542e-06,0.6410610337465177,60,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7063331988705123,2023-08-24 12:49:26.095946,2023-08-24 12:49:26.311400,0 days 00:00:00.215454,1.0,3,0.4,1.538231584924868e-06,0.0005191021286690879,100,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6185188856944581,2023-08-24 12:49:26.096844,2023-08-24 12:49:26.218306,0 days 00:00:00.121462,0.5,1,0.6000000000000001,0.6578196908365944,0.00019085505048913585,100,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6976441102756892,2023-08-24 12:49:26.099684,2023-08-24 12:49:26.711001,0 days 00:00:00.611317,0.8,3,0.5,0.0012355215317399013,0.00010864212331409714,50,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6388888888888888,2023-08-24 12:49:26.105239,2023-08-24 12:49:26.912704,0 days 00:00:00.807465,1.0,2,0.4,3.983610693448149e-06,0.0956723764433791,20,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7304625199362041,2023-08-24 12:49:26.110366,2023-08-24 12:49:26.460878,0 days 00:00:00.350512,1.0,2,0.8,4.2767446441134837e-08,4.662145460550371e-08,80,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6434045986284792,2023-08-24 12:49:26.261085,2023-08-24 12:49:26.584511,0 days 00:00:00.323426,0.6000000000000001,2,0.8,3.105341227615305e-05,1.4600977189878545e-07,100,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7216218895608209,2023-08-24 12:49:26.371471,2023-08-24 12:49:26.780230,0 days 00:00:00.408759,0.8,3,0.7000000000000001,0.03155793541569191,5.441258620641855e-06,90,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
