,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6976441102756892,2023-08-24 12:49:55.223057,2023-08-24 12:49:55.343674,0 days 00:00:00.120617,0.5,3,0.8,0.0020476481933478924,0.0005645903429289154,80,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6306443429731101,2023-08-24 12:49:55.225084,2023-08-24 12:49:55.897465,0 days 00:00:00.672381,0.9,2,0.8,0.0016176057075617902,4.9431265982928155e-05,40,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6939624556062911,2023-08-24 12:49:55.228118,2023-08-24 12:49:55.496786,0 days 00:00:00.268668,0.9,2,0.4,0.0017417488184859645,6.223628905981918e-05,60,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6224283985478015,2023-08-24 12:49:55.229691,2023-08-24 12:49:56.354865,0 days 00:00:01.125174,1.0,1,0.9,6.591458199239093e-05,0.0005548439397428213,30,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7216218895608209,2023-08-24 12:49:55.230761,2023-08-24 12:49:55.647398,0 days 00:00:00.416637,0.4,2,0.7000000000000001,5.259084257534482e-07,1.412928718073686e-05,30,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6185188856944581,2023-08-24 12:49:55.232259,2023-08-24 12:49:55.732632,0 days 00:00:00.500373,1.0,2,1.0,0.08480187904571579,0.0005151341298795156,60,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6601307189542484,2023-08-24 12:49:55.233241,2023-08-24 12:49:55.578164,0 days 00:00:00.344923,0.8,1,0.4,2.193646860167473e-08,3.5025209893422106e-07,90,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.649156626506024,2023-08-24 12:49:55.234631,2023-08-24 12:49:56.012969,0 days 00:00:00.778338,1.0,3,0.4,0.06577875311762443,0.023485392142261932,20,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6559398496240602,2023-08-24 12:49:55.382582,2023-08-24 12:49:56.787440,0 days 00:00:01.404858,0.8,1,0.7000000000000001,0.00010841961328901562,3.7525288282553223e-08,20,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6939624556062911,2023-08-24 12:49:55.536547,2023-08-24 12:49:55.834715,0 days 00:00:00.298168,0.5,2,0.5,6.478248539012877e-05,1.985527567895532e-05,80,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7063331988705123,2023-08-24 12:49:55.618926,2023-08-24 12:49:55.960690,0 days 00:00:00.341764,0.4,3,1.0,0.001416618211411839,0.0001847954712476412,60,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.664380798709157,2023-08-24 12:49:55.687563,2023-08-24 12:49:57.821490,0 days 00:00:02.133927,0.8,3,0.4,0.0005044998405816862,7.610185184973574e-07,10,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6597600872410033,2023-08-24 12:49:55.776229,2023-08-24 12:49:56.171611,0 days 00:00:00.395382,0.8,1,0.9,1.4802766224587936e-06,1.3631310342198645e-08,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6899352318289298,2023-08-24 12:49:55.877676,2023-08-24 12:49:56.260701,0 days 00:00:00.383025,0.4,2,0.8,1.1671038489210332e-08,2.0198059223490758e-05,60,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6601307189542484,2023-08-24 12:49:55.938374,2023-08-24 12:49:56.691700,0 days 00:00:00.753326,0.4,2,0.6000000000000001,0.1435625787368619,0.0021784109044600893,20,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6682615629984051,2023-08-24 12:49:56.001576,2023-08-24 12:49:57.017046,0 days 00:00:01.015470,1.0,2,0.4,1.3199923346777322e-07,0.006114742857115627,30,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6546875,2023-08-24 12:49:56.051565,2023-08-24 12:49:56.560731,0 days 00:00:00.509166,0.5,3,0.8,0.11680863329018512,0.0037856563073414076,40,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6813725490196079,2023-08-24 12:49:56.211073,2023-08-24 12:49:57.771070,0 days 00:00:01.559997,0.6000000000000001,1,0.6000000000000001,1.6882863593475523e-08,0.1965563377333498,10,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6889952153110048,2023-08-24 12:49:56.305644,2023-08-24 12:49:57.403177,0 days 00:00:01.097533,0.4,3,0.6000000000000001,4.302582410279899e-06,0.4159747220845748,10,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
