,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5693581780538302,2023-08-24 12:50:28.006010,2023-08-24 12:50:30.044356,0 days 00:00:02.038346,0.9,3,0.5,2.8007523944313925e-07,0.27402463448783415,10,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5385235982250909,2023-08-24 12:50:28.008352,2023-08-24 12:50:28.790872,0 days 00:00:00.782520,1.0,3,0.9,1.664459250510895e-07,0.2162936760615649,30,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6044001233679449,2023-08-24 12:50:28.010463,2023-08-24 12:50:28.255377,0 days 00:00:00.244914,0.6000000000000001,1,0.5,1.797987953264182e-08,1.3217237047281822e-05,60,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5231259968102073,2023-08-24 12:50:28.013117,2023-08-24 12:50:29.146316,0 days 00:00:01.133199,0.8,1,1.0,0.3060821717520507,2.9530794975480112e-08,20,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5673262303399289,2023-08-24 12:50:28.017202,2023-08-24 12:50:28.169589,0 days 00:00:00.152387,0.4,3,0.9,0.001247042768056021,0.0017882736470926771,60,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.49670925280681383,2023-08-24 12:50:28.020973,2023-08-24 12:50:29.046088,0 days 00:00:01.025115,0.4,1,0.7000000000000001,3.579664739778261e-07,1.257360811880069e-06,10,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5964052287581698,2023-08-24 12:50:28.025543,2023-08-24 12:50:28.391472,0 days 00:00:00.365929,1.0,1,0.8,6.037956104579947e-08,0.0028966487238275863,80,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5693581780538302,2023-08-24 12:50:28.030699,2023-08-24 12:50:29.101734,0 days 00:00:01.071035,0.8,2,0.7000000000000001,0.0014959116617121017,1.3296852163224884e-08,20,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5706573515401715,2023-08-24 12:50:28.208336,2023-08-24 12:50:28.469464,0 days 00:00:00.261128,0.4,2,1.0,4.534802951710371e-05,0.0002536959299361533,60,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5616325691374524,2023-08-24 12:50:28.296500,2023-08-24 12:50:28.900367,0 days 00:00:00.603867,0.8,2,0.9,1.4738923061637235e-08,0.0005740482960954908,40,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
