,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6601307189542484,2023-08-24 12:51:38.075528,2023-08-24 12:51:38.356476,0 days 00:00:00.280948,1.0,2,0.5,0.001560675690596092,7.812461896587785e-08,90,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6559398496240602,2023-08-24 12:51:38.078077,2023-08-24 12:51:38.647500,0 days 00:00:00.569423,0.8,2,0.6000000000000001,4.95955938331093e-05,0.00026684349529524325,50,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6728564180618974,2023-08-24 12:51:38.081042,2023-08-24 12:51:38.464299,0 days 00:00:00.383257,1.0,1,0.6000000000000001,7.907246125167584e-06,0.0001344027958096471,60,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6717948717948719,2023-08-24 12:51:38.083201,2023-08-24 12:51:38.413482,0 days 00:00:00.330281,0.8,2,0.9,7.667148685751373e-07,0.0007278715050930311,70,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6728564180618974,2023-08-24 12:51:38.085987,2023-08-24 12:51:38.578333,0 days 00:00:00.492346,0.9,1,0.8,0.01169685746946203,1.605387391873118e-07,80,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6388888888888888,2023-08-24 12:51:38.086657,2023-08-24 12:51:38.258254,0 days 00:00:00.171597,0.7000000000000001,2,0.5,0.22771944149870452,9.017314975722347e-05,80,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6124223602484473,2023-08-24 12:51:38.088987,2023-08-24 12:51:38.303248,0 days 00:00:00.214261,0.9,2,0.4,0.40384673426858697,0.000932181462606884,90,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6889952153110048,2023-08-24 12:51:38.094568,2023-08-24 12:51:39.089163,0 days 00:00:00.994595,0.9,3,0.8,6.821857193075745e-07,0.23124969223676228,30,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7010012887875483,2023-08-24 12:51:38.346047,2023-08-24 12:51:39.633831,0 days 00:00:01.287784,0.6000000000000001,1,1.0,1.1850959605995559e-08,0.003251618873753454,20,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6350877192982456,2023-08-24 12:51:38.350010,2023-08-24 12:51:38.962923,0 days 00:00:00.612913,0.6000000000000001,3,1.0,1.7336733429097526e-05,0.004014217455728852,40,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6339544513457558,2023-08-24 12:51:38.395273,2023-08-24 12:51:38.855107,0 days 00:00:00.459834,0.4,1,0.5,1.060072105347136e-08,0.2474078220832042,40,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6267942583732058,2023-08-24 12:51:38.455100,2023-08-24 12:51:38.706896,0 days 00:00:00.251796,0.4,2,0.8,1.9012057740804197e-06,0.10539033726251876,80,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7128205128205128,2023-08-24 12:51:38.505421,2023-08-24 12:51:39.518803,0 days 00:00:01.013382,0.5,3,1.0,0.0161043253622384,7.86600572216156e-05,20,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6813725490196079,2023-08-24 12:51:38.619796,2023-08-24 12:51:39.291109,0 days 00:00:00.671313,1.0,1,0.7000000000000001,0.15641691718405926,7.203664308871476e-07,70,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6095383054287165,2023-08-24 12:51:38.689171,2023-08-24 12:51:39.045419,0 days 00:00:00.356248,1.0,1,0.4,1.967858594270786e-05,0.011598055500629355,90,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6350877192982456,2023-08-24 12:51:38.746524,2023-08-24 12:51:39.206603,0 days 00:00:00.460079,0.7000000000000001,1,0.5,0.2151868851599343,0.00020544473908090462,80,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.663232263762143,2023-08-24 12:51:38.895924,2023-08-24 12:51:39.459439,0 days 00:00:00.563515,0.9,1,0.8,4.1226347549733745e-06,0.005872791349756253,90,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6976441102756892,2023-08-24 12:51:39.003671,2023-08-24 12:51:40.424359,0 days 00:00:01.420688,1.0,1,0.7000000000000001,0.0011022909075073973,4.197357934050733e-06,20,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7063331988705123,2023-08-24 12:51:39.090191,2023-08-24 12:51:41.130468,0 days 00:00:02.040277,1.0,3,0.7000000000000001,3.980810949230229e-07,0.6706255085993267,10,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
