,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8215783454060236,2023-08-24 12:19:26.830134,2023-08-24 12:19:29.176266,0 days 00:00:02.346132,0.8,2,0.4,9.085969664917889e-08,0.6713904947318624,10,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8320509166904151,2023-08-24 12:19:26.833528,2023-08-24 12:19:27.688754,0 days 00:00:00.855226,1.0,2,0.4,3.910675490658948e-07,0.4406305896858953,60,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8079128997764168,2023-08-24 12:19:26.836200,2023-08-24 12:19:27.087308,0 days 00:00:00.251108,0.4,1,0.7000000000000001,1.2477953905953792e-07,0.00020612833555809493,100,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8215783454060236,2023-08-24 12:19:26.840514,2023-08-24 12:19:27.348820,0 days 00:00:00.508306,0.7000000000000001,1,0.8,1.8823071790680634e-06,0.6529002410664249,100,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8424242424242425,2023-08-24 12:19:26.848307,2023-08-24 12:19:28.465454,0 days 00:00:01.617147,0.8,1,0.4,2.4066523956938597e-06,8.77239965501179e-05,30,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8237288135593219,2023-08-24 12:19:26.850564,2023-08-24 12:19:27.396907,0 days 00:00:00.546343,0.6000000000000001,1,1.0,1.3501031932082854e-06,2.76649311039726e-07,90,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8227272727272728,2023-08-24 12:19:26.852487,2023-08-24 12:19:27.484827,0 days 00:00:00.632340,1.0,2,0.6000000000000001,6.456902937755197e-07,1.4721048878199625e-07,100,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8215783454060236,2023-08-24 12:19:26.857413,2023-08-24 12:19:27.904047,0 days 00:00:01.046634,0.8,1,0.9,1.348935319132251e-07,0.05755082279597675,80,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7803379416282643,2023-08-24 12:19:27.127387,2023-08-24 12:19:27.538066,0 days 00:00:00.410679,0.5,3,0.7000000000000001,0.7134100470421777,7.259135620131468e-07,90,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8215783454060236,2023-08-24 12:19:27.389816,2023-08-24 12:19:29.300919,0 days 00:00:01.911103,1.0,2,0.5,0.008177489745251346,0.004940406297511487,30,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8518096323738957,2023-08-24 12:19:27.440715,2023-08-24 12:19:28.564035,0 days 00:00:01.123320,1.0,1,0.6000000000000001,4.981795783718797e-08,1.8368624451721328e-07,60,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8507890961262554,2023-08-24 12:19:27.531988,2023-08-24 12:19:29.815740,0 days 00:00:02.283752,1.0,1,0.5,4.252791970857065e-05,1.3757226277578647e-05,20,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8308943089430895,2023-08-24 12:19:27.584363,2023-08-24 12:19:28.268064,0 days 00:00:00.683701,0.8,1,0.7000000000000001,3.623277362084215e-05,0.021443715640058047,70,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8109995217599235,2023-08-24 12:19:27.732728,2023-08-24 12:19:28.613894,0 days 00:00:00.881166,1.0,3,0.8,0.04842556293260367,0.029878455843767023,100,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7911047345767577,2023-08-24 12:19:27.963541,2023-08-24 12:19:28.173756,0 days 00:00:00.210215,0.4,2,0.4,0.004071400084545835,3.305057763131395e-05,100,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.801753717117804,2023-08-24 12:19:28.217521,2023-08-24 12:19:28.911606,0 days 00:00:00.694085,0.6000000000000001,1,0.4,1.4078706531351044e-06,0.00035130777412681075,80,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8095421686746989,2023-08-24 12:19:28.310798,2023-08-24 12:19:28.727856,0 days 00:00:00.417058,0.5,2,0.4,9.687869459878724e-07,0.0005031715656157581,80,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8003072196620584,2023-08-24 12:19:28.511013,2023-08-24 12:19:30.863104,0 days 00:00:02.352091,0.8,3,0.5,6.156250505257537e-05,0.0002587252896387332,20,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8320509166904151,2023-08-24 12:19:28.608748,2023-08-24 12:19:30.337433,0 days 00:00:01.728685,0.9,3,0.5,2.431738923947231e-05,1.173692441712081e-08,30,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
