,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7063331988705123,2023-08-24 12:17:41.725039,2023-08-24 12:17:42.474978,0 days 00:00:00.749939,0.9,2,1.0,3.8031695057565233e-06,0.07009741771651881,50,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6767919799498747,2023-08-24 12:17:41.727568,2023-08-24 12:17:42.257068,0 days 00:00:00.529500,1.0,3,0.5,4.07243985037894e-07,0.0633792207912299,60,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6853569987898347,2023-08-24 12:17:41.729608,2023-08-24 12:17:42.148253,0 days 00:00:00.418645,0.6000000000000001,2,0.4,0.11244702248761768,0.19244116385857943,40,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.664380798709157,2023-08-24 12:17:41.733004,2023-08-24 12:17:44.250597,0 days 00:00:02.517593,0.9,2,0.6000000000000001,0.012794465411587632,1.2029047480151496e-06,10,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6853569987898347,2023-08-24 12:17:41.736164,2023-08-24 12:17:41.877962,0 days 00:00:00.141798,0.5,2,0.5,8.159914311414425e-05,3.953030835955473e-05,90,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6475279106858054,2023-08-24 12:17:41.740084,2023-08-24 12:17:42.049040,0 days 00:00:00.308956,0.4,3,0.8,5.031413961249993e-08,8.295302816250124e-05,80,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6559398496240602,2023-08-24 12:17:41.745428,2023-08-24 12:17:42.007823,0 days 00:00:00.262395,0.6000000000000001,2,0.7000000000000001,0.013660892689711799,0.1392089406960876,100,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7063331988705123,2023-08-24 12:17:41.749652,2023-08-24 12:17:43.371972,0 days 00:00:01.622320,1.0,3,1.0,0.4900189975889215,0.0029106340548010847,20,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6475279106858054,2023-08-24 12:17:41.923350,2023-08-24 12:17:42.668447,0 days 00:00:00.745097,0.5,2,0.9,1.383675323162819e-08,0.018856347047059734,30,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6813725490196079,2023-08-24 12:17:42.094254,2023-08-24 12:17:42.313166,0 days 00:00:00.218912,0.7000000000000001,2,0.8,4.696265299985308e-05,0.002364200756102839,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6517503805175038,2023-08-24 12:17:42.095471,2023-08-24 12:17:42.388580,0 days 00:00:00.293109,0.5,3,0.6000000000000001,0.00017607453353546344,0.0019375046131961458,100,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6770186335403726,2023-08-24 12:17:42.192092,2023-08-24 12:17:42.725489,0 days 00:00:00.533397,0.7000000000000001,1,0.8,2.0166337411392382e-07,3.091448498125117e-05,60,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6728564180618974,2023-08-24 12:17:42.300965,2023-08-24 12:17:42.829467,0 days 00:00:00.528502,0.6000000000000001,1,0.4,9.337289284695608e-08,0.17052291075318135,70,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7150684931506849,2023-08-24 12:17:42.357056,2023-08-24 12:17:43.164965,0 days 00:00:00.807909,0.6000000000000001,2,0.6000000000000001,0.0008251969551956855,5.012762184799709e-05,30,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6204775310186633,2023-08-24 12:17:42.431580,2023-08-24 12:17:43.055178,0 days 00:00:00.623598,0.5,1,0.9,9.051812530031119e-07,0.2710857341045743,40,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6682615629984051,2023-08-24 12:17:42.519007,2023-08-24 12:17:42.916303,0 days 00:00:00.397296,0.7000000000000001,2,0.5,2.7673495252820285e-05,0.05624920763204818,80,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.711319008944176,2023-08-24 12:17:42.718833,2023-08-24 12:17:43.453625,0 days 00:00:00.734792,0.8,2,1.0,1.1397116490496985e-06,0.48903129772706344,70,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7216218895608209,2023-08-24 12:17:42.782085,2023-08-24 12:17:45.128145,0 days 00:00:02.346060,1.0,1,1.0,2.7841934305124584e-06,2.647053492451911e-07,10,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6803806880142758,2023-08-24 12:17:42.872680,2023-08-24 12:17:43.850487,0 days 00:00:00.977807,0.9,1,1.0,0.21807224062023767,1.5714963610500702e-07,30,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6638515274736733,2023-08-24 12:17:42.958911,2023-08-24 12:17:44.023623,0 days 00:00:01.064712,1.0,1,1.0,0.15393322120261557,0.0018613769239453572,30,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6767919799498747,2023-08-24 12:17:43.098000,2023-08-24 12:17:44.998884,0 days 00:00:01.900884,0.9,2,1.0,0.23102103970797513,1.5435399541578273e-07,10,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6767919799498747,2023-08-24 12:17:43.207260,2023-08-24 12:17:45.374043,0 days 00:00:02.166783,1.0,1,1.0,0.0010666196815452412,1.6388181457245244e-06,10,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6685514547136835,2023-08-24 12:17:43.413586,2023-08-24 12:17:45.845119,0 days 00:00:02.431533,0.9,1,0.7000000000000001,0.0014143182059331767,1.1238424404316022e-06,10,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6767919799498747,2023-08-24 12:17:43.506045,2023-08-24 12:17:45.745450,0 days 00:00:02.239405,0.8,1,0.7000000000000001,0.0012378437405370468,2.9744157686550867e-06,10,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
