,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6939624556062911,2023-08-24 12:18:26.189309,2023-08-24 12:18:26.613221,0 days 00:00:00.423912,0.5,2,0.4,6.530207726856273e-05,8.752098213939019e-07,50,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6939624556062911,2023-08-24 12:18:26.192005,2023-08-24 12:18:26.473210,0 days 00:00:00.281205,1.0,3,0.5,6.527158006665074e-05,2.3998470980449363e-05,90,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7184962406015037,2023-08-24 12:18:26.192421,2023-08-24 12:18:26.398100,0 days 00:00:00.205679,0.6000000000000001,3,0.7000000000000001,0.0447355219696905,3.650204565050279e-08,80,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6836424295947405,2023-08-24 12:18:26.194404,2023-08-24 12:18:26.352207,0 days 00:00:00.157803,0.6000000000000001,3,0.7000000000000001,2.565949683707832e-05,0.19024015312588624,40,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6597600872410033,2023-08-24 12:18:26.196311,2023-08-24 12:18:27.682009,0 days 00:00:01.485698,0.7000000000000001,2,0.8,4.31051059540675e-05,6.80473791075261e-08,20,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7063331988705123,2023-08-24 12:18:26.201987,2023-08-24 12:18:26.514411,0 days 00:00:00.312424,0.7000000000000001,3,0.5,0.0016025283346724224,5.0465078641049874e-08,80,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6176470588235294,2023-08-24 12:18:26.206310,2023-08-24 12:18:26.740292,0 days 00:00:00.533982,0.9,3,0.4,0.13779559372725156,7.189407634436955e-08,50,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6428220979295456,2023-08-24 12:18:26.209760,2023-08-24 12:18:26.959533,0 days 00:00:00.749773,0.7000000000000001,2,0.8,0.1311250322391106,1.7816900502328868e-06,40,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6813725490196079,2023-08-24 12:18:26.394450,2023-08-24 12:18:26.856694,0 days 00:00:00.462244,0.8,2,0.4,0.00019033782547749,4.663204553601058e-06,100,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6176470588235294,2023-08-24 12:18:26.437733,2023-08-24 12:18:27.390091,0 days 00:00:00.952358,0.8,3,0.5,1.5135270856980831e-06,0.00012118559202073938,40,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
