,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.715625,2023-08-24 12:20:58.077770,2023-08-24 12:20:58.232425,0 days 00:00:00.154655,0.4,1,1.0,0.5115833785951108,0.00015358303576216943,60,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7876932050160397,2023-08-24 12:20:58.079955,2023-08-24 12:20:59.756775,0 days 00:00:01.676820,0.5,3,0.9,1.5698157646304964e-05,5.653501418520622e-05,10,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7448729270925325,2023-08-24 12:20:58.082014,2023-08-24 12:20:58.233318,0 days 00:00:00.151304,0.7000000000000001,1,0.4,0.0021138365318166237,2.7684342528019325e-06,100,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7216218895608209,2023-08-24 12:20:58.084791,2023-08-24 12:20:58.605235,0 days 00:00:00.520444,0.6000000000000001,2,0.4,3.6271220974985542e-06,1.0655565674321715e-07,30,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.715625,2023-08-24 12:20:58.088832,2023-08-24 12:20:58.399606,0 days 00:00:00.310774,0.5,1,1.0,6.415602277376183e-05,0.00014121126137292634,80,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.76528309292513,2023-08-24 12:20:58.090771,2023-08-24 12:20:59.614802,0 days 00:00:01.524031,1.0,2,1.0,0.026885808362019016,1.0747763939625135e-06,20,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7422424903340934,2023-08-24 12:20:58.095834,2023-08-24 12:20:59.241193,0 days 00:00:01.145359,1.0,2,0.6000000000000001,0.0007705663942353311,7.403594159148644e-08,30,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7628630911073659,2023-08-24 12:20:58.099676,2023-08-24 12:20:58.493741,0 days 00:00:00.394065,1.0,2,0.4,2.337554836937851e-06,0.35538885565438133,70,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7603686635944701,2023-08-24 12:20:58.311642,2023-08-24 12:20:59.495721,0 days 00:00:01.184079,0.9,1,0.8,2.4527986345401633e-05,1.0625334214309904e-07,10,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.75625,2023-08-24 12:20:58.315015,2023-08-24 12:20:58.658500,0 days 00:00:00.343485,0.6000000000000001,2,0.7000000000000001,0.0018677864227933081,0.0025398055369968845,70,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.709301204819277,2023-08-24 12:20:58.441465,2023-08-24 12:20:58.741075,0 days 00:00:00.299610,0.4,3,0.4,3.2397119052971135e-08,3.1220322360498957e-07,50,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.706814425974531,2023-08-24 12:20:58.534967,2023-08-24 12:20:59.007414,0 days 00:00:00.472447,0.5,1,0.7000000000000001,0.0021132938999367246,0.0005237664979551078,40,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.709301204819277,2023-08-24 12:20:58.648334,2023-08-24 12:21:00.314697,0 days 00:00:01.666363,0.9,2,0.7000000000000001,1.147266444056554e-05,9.639366750062311e-07,20,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6638515274736733,2023-08-24 12:20:58.712704,2023-08-24 12:20:58.914000,0 days 00:00:00.201296,0.4,1,0.9,0.004954802437723852,2.312539934018302e-08,100,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7244627612599353,2023-08-24 12:20:58.785194,2023-08-24 12:20:59.070512,0 days 00:00:00.285318,0.8,2,0.5,4.4640215376948264e-07,0.0005887515186662189,100,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7472538154952852,2023-08-24 12:20:58.958416,2023-08-24 12:20:59.991635,0 days 00:00:01.033219,0.8,2,0.4,0.0328234439660968,0.011075296274241003,30,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
