,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8202764976958525,2023-08-24 12:21:33.992211,2023-08-24 12:21:34.845015,0 days 00:00:00.852804,0.8,3,0.4,0.003131840490913048,1.2483555281240025e-06,30,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8295903614457831,2023-08-24 12:21:33.994248,2023-08-24 12:21:34.277876,0 days 00:00:00.283628,0.9,1,1.0,0.0042936466759044105,2.7849225413849724e-06,90,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8109995217599235,2023-08-24 12:21:33.997256,2023-08-24 12:21:34.146798,0 days 00:00:00.149542,0.5,1,0.7000000000000001,0.043354953198766664,2.206307809812488e-08,80,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8308943089430895,2023-08-24 12:21:34.000497,2023-08-24 12:21:35.404618,0 days 00:00:01.404121,0.8,1,1.0,2.139632502957386e-06,0.0037694239292763256,20,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8308943089430895,2023-08-24 12:21:34.003326,2023-08-24 12:21:36.679434,0 days 00:00:02.676108,0.8,3,0.6000000000000001,2.9267396917679477e-07,8.59591054947722e-08,10,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8227272727272728,2023-08-24 12:21:34.006473,2023-08-24 12:21:34.439206,0 days 00:00:00.432733,0.4,2,0.5,0.08569737598498468,0.4561762203614212,20,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8414029736942432,2023-08-24 12:21:34.011394,2023-08-24 12:21:36.853711,0 days 00:00:02.842317,0.9,2,0.7000000000000001,3.0584666141015565e-08,2.7715863820169814e-08,10,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8109995217599235,2023-08-24 12:21:34.014388,2023-08-24 12:21:34.627934,0 days 00:00:00.613546,0.4,2,0.8,1.1754043373316814e-05,0.913266443869387,20,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8308943089430895,2023-08-24 12:21:34.189787,2023-08-24 12:21:34.363159,0 days 00:00:00.173372,0.4,3,0.8,0.0001653819034210558,0.0038043754499159825,90,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8109995217599235,2023-08-24 12:21:34.322511,2023-08-24 12:21:34.572391,0 days 00:00:00.249880,0.4,2,0.8,0.30968571747462736,1.1052426589315337e-08,70,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
