,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6020017662643509,2023-08-24 12:22:18.180210,2023-08-24 12:22:20.533917,0 days 00:00:02.353707,0.9,2,0.7000000000000001,1.746266899805771e-08,0.0010375172082175974,10,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.530827067669173,2023-08-24 12:22:18.182347,2023-08-24 12:22:18.427339,0 days 00:00:00.244992,0.4,3,1.0,4.78130357868977e-05,1.9948361406261105e-05,40,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5531250000000001,2023-08-24 12:22:18.184309,2023-08-24 12:22:18.888406,0 days 00:00:00.704097,0.4,1,1.0,5.740959069413646e-06,9.152060775237148e-05,20,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5836828059473884,2023-08-24 12:22:18.186405,2023-08-24 12:22:18.351698,0 days 00:00:00.165293,0.5,2,0.4,0.010234139013568892,0.0010678901000796637,80,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5890120481927712,2023-08-24 12:22:18.189661,2023-08-24 12:22:18.694927,0 days 00:00:00.505266,0.6000000000000001,2,0.8,0.002370923651942936,1.4197428560434327e-08,30,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6259356469330222,2023-08-24 12:22:18.194731,2023-08-24 12:22:18.483058,0 days 00:00:00.288327,0.4,3,0.5,0.18227199008380518,8.627141577581077e-06,70,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5652765626518907,2023-08-24 12:22:18.196796,2023-08-24 12:22:19.860885,0 days 00:00:01.664089,0.7000000000000001,1,0.4,6.985454702862167e-06,0.00018141026357412513,10,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.585496257412268,2023-08-24 12:22:18.200350,2023-08-24 12:22:19.097362,0 days 00:00:00.897012,0.6000000000000001,1,0.8,0.015734092499144477,0.07394736042106967,20,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6224119320969482,2023-08-24 12:22:18.393167,2023-08-24 12:22:18.619693,0 days 00:00:00.226526,0.4,1,0.6000000000000001,0.0032366783198688747,0.000297117897669069,70,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6428220979295456,2023-08-24 12:22:18.469365,2023-08-24 12:22:19.002100,0 days 00:00:00.532735,0.5,2,0.5,5.153686072411352e-08,0.056173148108251074,50,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.612051649928264,2023-08-24 12:22:18.523784,2023-08-24 12:22:18.755236,0 days 00:00:00.231452,0.5,3,0.8,0.006213160910407639,1.099711427966547e-08,80,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6431566908120473,2023-08-24 12:22:18.659712,2023-08-24 12:22:19.143788,0 days 00:00:00.484076,0.7000000000000001,3,0.7000000000000001,0.0014632933251982844,0.000981863369110476,70,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.634375,2023-08-24 12:22:18.735805,2023-08-24 12:22:20.180260,0 days 00:00:01.444455,0.5,2,0.8,0.08563295337586192,3.2891112209313325e-08,10,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.59375,2023-08-24 12:22:18.797344,2023-08-24 12:22:19.278935,0 days 00:00:00.481591,0.8,2,1.0,0.004805138747861233,0.007742605100021476,70,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5973674022454512,2023-08-24 12:22:18.928854,2023-08-24 12:22:19.508694,0 days 00:00:00.579840,0.8,2,0.4,0.07578891620304043,0.053298029610781485,60,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6057159521726451,2023-08-24 12:22:19.042286,2023-08-24 12:22:19.419519,0 days 00:00:00.377233,0.6000000000000001,2,0.8,0.9734516614379028,4.104308875035695e-06,100,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6224119320969482,2023-08-24 12:22:19.139396,2023-08-24 12:22:19.907845,0 days 00:00:00.768449,0.8,1,0.5,0.0002997967860187365,1.1938414051648793e-07,60,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6174990321331785,2023-08-24 12:22:19.185305,2023-08-24 12:22:19.668435,0 days 00:00:00.483130,0.9,3,0.7000000000000001,0.8854593348432303,0.9248406879253998,100,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5897435897435898,2023-08-24 12:22:19.320681,2023-08-24 12:22:19.768686,0 days 00:00:00.448005,1.0,2,0.6000000000000001,2.3398910443129433e-08,0.5258334242638821,100,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6090602409638555,2023-08-24 12:22:19.459110,2023-08-24 12:22:20.286568,0 days 00:00:00.827458,1.0,3,0.6000000000000001,2.1167777957839785e-08,0.6523076952351451,50,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5772357723577235,2023-08-24 12:22:19.551650,2023-08-24 12:22:20.393874,0 days 00:00:00.842224,1.0,3,0.6000000000000001,2.0558917348009362e-08,0.7562278984224458,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5772776841479133,2023-08-24 12:22:19.711026,2023-08-24 12:22:20.771333,0 days 00:00:01.060307,1.0,3,0.6000000000000001,2.8663222363953585e-08,0.0032763015998164345,50,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5638581776591689,2023-08-24 12:22:19.812134,2023-08-24 12:22:20.491514,0 days 00:00:00.679380,0.7000000000000001,3,0.6000000000000001,2.2750264422109793e-08,0.005292181954982159,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5489156626506024,2023-08-24 12:22:19.904591,2023-08-24 12:22:20.642681,0 days 00:00:00.738090,0.7000000000000001,3,0.6000000000000001,1.3723059940516748e-08,0.004550561549604711,50,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
