,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6778939217963609,2023-08-24 12:22:45.920897,2023-08-24 12:22:46.173009,0 days 00:00:00.252112,0.5,1,0.4,0.14562045392993114,0.7697268212863823,90,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7493975903614458,2023-08-24 12:22:45.922106,2023-08-24 12:22:46.276014,0 days 00:00:00.353908,0.5,1,0.7000000000000001,6.694971612364699e-08,1.7993837544825462e-08,40,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7181571815718157,2023-08-24 12:22:45.923206,2023-08-24 12:22:46.426118,0 days 00:00:00.502912,0.5,2,0.5,2.3705783087131683e-05,0.0028193824727039255,30,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7181571815718157,2023-08-24 12:22:45.924839,2023-08-24 12:22:46.334753,0 days 00:00:00.409914,0.9,1,1.0,0.0022252064138372106,7.484329964567012e-08,70,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.675,2023-08-24 12:22:45.925606,2023-08-24 12:22:46.083467,0 days 00:00:00.157861,0.5,2,0.6000000000000001,9.985662347556618e-05,6.277813768897226e-07,90,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.709301204819277,2023-08-24 12:22:45.926370,2023-08-24 12:22:47.025732,0 days 00:00:01.099362,0.7000000000000001,1,0.6000000000000001,0.48608621102565835,6.120362031480103e-05,20,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.706814425974531,2023-08-24 12:22:45.927171,2023-08-24 12:22:46.536136,0 days 00:00:00.608965,0.7000000000000001,3,0.4,9.595939755980847e-05,1.7146892600960274e-08,40,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7128205128205128,2023-08-24 12:22:45.927735,2023-08-24 12:22:47.124658,0 days 00:00:01.196923,1.0,1,0.4,0.00018521768931991376,2.4754822863599876e-07,10,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7181571815718157,2023-08-24 12:22:46.122788,2023-08-24 12:22:46.582852,0 days 00:00:00.460064,0.9,2,1.0,7.124375735481478e-07,0.4546140376061918,100,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.709301204819277,2023-08-24 12:22:46.214417,2023-08-24 12:22:46.714584,0 days 00:00:00.500167,0.5,3,0.9,4.922185003661167e-06,0.10059475739423615,50,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7270341207349081,2023-08-24 12:22:46.317879,2023-08-24 12:22:46.922347,0 days 00:00:00.604468,0.5,2,0.8,0.008791646537109555,0.0006808363146867174,40,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7270341207349081,2023-08-24 12:22:46.376280,2023-08-24 12:22:46.853348,0 days 00:00:00.477068,0.9,1,0.4,4.444826355618755e-06,6.318292915050031e-08,80,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.709301204819277,2023-08-24 12:22:46.480070,2023-08-24 12:22:47.660096,0 days 00:00:01.180026,0.9,2,1.0,8.09818040870704e-08,9.357095571753024e-05,30,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6836424295947405,2023-08-24 12:22:46.578503,2023-08-24 12:22:47.386538,0 days 00:00:00.808035,0.4,3,0.9,9.165933674909103e-06,0.01204629322276321,30,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7181571815718157,2023-08-24 12:22:46.625538,2023-08-24 12:22:47.211765,0 days 00:00:00.586227,0.9,3,0.7000000000000001,1.8213557969280116e-07,0.0030302178033534935,80,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.709301204819277,2023-08-24 12:22:46.756569,2023-08-24 12:22:47.302963,0 days 00:00:00.546394,0.5,1,1.0,5.504129562358543e-07,0.171145293287686,90,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.706814425974531,2023-08-24 12:22:46.907983,2023-08-24 12:22:47.766362,0 days 00:00:00.858379,0.5,1,1.0,0.00849456411936921,8.405382693638637e-05,40,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7181571815718157,2023-08-24 12:22:46.984661,2023-08-24 12:22:48.816621,0 days 00:00:01.831960,0.7000000000000001,1,0.7000000000000001,2.6166398828552262e-08,1.2498674288112453e-05,10,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6836424295947405,2023-08-24 12:22:47.068932,2023-08-24 12:22:47.575925,0 days 00:00:00.506993,0.4,2,0.8,1.3764761194984673e-08,1.531767354190608e-05,60,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6836424295947405,2023-08-24 12:22:47.166459,2023-08-24 12:22:47.933491,0 days 00:00:00.767032,0.4,2,0.8,1.4661895665157613e-08,1.8171273398981832e-05,60,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6836424295947405,2023-08-24 12:22:47.255946,2023-08-24 12:22:47.808142,0 days 00:00:00.552196,0.4,2,0.8,5.4169733644412024e-08,5.5680672916025345e-06,60,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6836424295947405,2023-08-24 12:22:47.347736,2023-08-24 12:22:47.986329,0 days 00:00:00.638593,0.4,2,0.8,4.41558998039251e-08,2.7992541055007206e-05,60,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7359375,2023-08-24 12:22:47.428116,2023-08-24 12:22:48.130689,0 days 00:00:00.702573,0.6000000000000001,2,0.8,1.2437019621030546e-08,7.691443801072367e-06,60,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.706814425974531,2023-08-24 12:22:47.619670,2023-08-24 12:22:48.368218,0 days 00:00:00.748548,0.6000000000000001,2,0.7000000000000001,0.002537363668296763,5.433987526595453e-06,50,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.706814425974531,2023-08-24 12:22:47.709042,2023-08-24 12:22:48.536043,0 days 00:00:00.827001,0.6000000000000001,2,0.7000000000000001,0.006072658157036297,3.2887255788232917e-06,50,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
