,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5282051282051283,2023-08-24 12:52:53.256071,2023-08-24 12:52:53.740469,0 days 00:00:00.484398,1.0,1,0.5,1.608045939429116e-06,5.892662442029718e-08,60,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5023923444976077,2023-08-24 12:52:53.258494,2023-08-24 12:52:53.599066,0 days 00:00:00.340572,0.4,1,1.0,0.0005551562403951306,8.855285841199758e-08,40,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5645933014354066,2023-08-24 12:52:53.260311,2023-08-24 12:52:54.335511,0 days 00:00:01.075200,0.8,2,0.4,0.006102631210181686,4.829135912362639e-07,20,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5282051282051283,2023-08-24 12:52:53.262325,2023-08-24 12:52:55.167972,0 days 00:00:01.905647,0.5,1,0.5,0.0005612155166813602,4.799654775364436e-05,10,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5571041424699961,2023-08-24 12:52:53.263272,2023-08-24 12:52:53.379733,0 days 00:00:00.116461,0.4,3,0.8,2.403137432886289e-08,0.00014568250287428614,70,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.543859649122807,2023-08-24 12:52:53.267093,2023-08-24 12:52:53.641428,0 days 00:00:00.374335,1.0,1,0.7000000000000001,0.2670562054075168,1.142256851629854e-06,80,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5231259968102073,2023-08-24 12:52:53.270339,2023-08-24 12:52:54.092630,0 days 00:00:00.822291,1.0,3,0.5,5.617856280372763e-05,2.1305992598178148e-08,40,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.59375,2023-08-24 12:52:53.274363,2023-08-24 12:52:53.546828,0 days 00:00:00.272465,0.8,2,0.7000000000000001,0.0021832076587446183,5.412341755995839e-06,40,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.530827067669173,2023-08-24 12:52:53.420859,2023-08-24 12:52:53.810570,0 days 00:00:00.389711,0.5,1,0.6000000000000001,3.255376215563985e-06,0.000726299642207895,60,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.49995093710136396,2023-08-24 12:52:53.589163,2023-08-24 12:52:55.364685,0 days 00:00:01.775522,0.5,2,0.9,7.782905685053409e-06,3.9489354262527395e-05,10,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5487179487179487,2023-08-24 12:52:53.683369,2023-08-24 12:52:53.943810,0 days 00:00:00.260441,0.4,2,0.7000000000000001,0.00028301580796601464,0.2844728507832012,50,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5248371731311363,2023-08-24 12:52:53.687723,2023-08-24 12:52:54.896935,0 days 00:00:01.209212,0.7000000000000001,2,0.8,5.0645402319466947e-05,1.0057491099351684e-08,20,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.543859649122807,2023-08-24 12:52:53.783197,2023-08-24 12:52:54.712462,0 days 00:00:00.929265,0.8,1,0.8,6.870398843077015e-07,9.687163544451186e-06,30,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5772357723577235,2023-08-24 12:52:53.851648,2023-08-24 12:52:54.415696,0 days 00:00:00.564048,0.7000000000000001,1,0.7000000000000001,4.122502089042095e-08,1.082669341155308e-05,50,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5566570833746406,2023-08-24 12:52:53.984901,2023-08-24 12:52:54.251682,0 days 00:00:00.266781,0.9,2,1.0,1.319111789826092e-07,0.0025614759102744016,100,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5611814345991561,2023-08-24 12:52:54.135515,2023-08-24 12:52:54.529211,0 days 00:00:00.393696,0.8,2,0.4,0.38401086827726644,0.21682361009521472,90,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5689638554216867,2023-08-24 12:52:54.293744,2023-08-24 12:52:54.792356,0 days 00:00:00.498612,0.5,2,0.9,0.016904946422968647,0.001354048032909851,60,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5407066052227343,2023-08-24 12:52:54.376492,2023-08-24 12:52:55.074124,0 days 00:00:00.697632,0.7000000000000001,3,0.8,0.9546183846793312,6.775457875394199e-06,20,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.585496257412268,2023-08-24 12:52:54.464469,2023-08-24 12:52:54.943652,0 days 00:00:00.479183,0.7000000000000001,2,0.8,4.835309259632622e-08,3.5493633155876434e-06,10,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5606758832565284,2023-08-24 12:52:54.572315,2023-08-24 12:52:55.444829,0 days 00:00:00.872514,0.6000000000000001,3,0.8,2.5406672080443356e-08,1.7166620867501584e-05,10,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5462201927955352,2023-08-24 12:52:54.757923,2023-08-24 12:52:55.290834,0 days 00:00:00.532911,0.6000000000000001,3,0.8,1.0638778911885776e-08,6.130830461702316e-06,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6020017662643509,2023-08-24 12:52:54.855125,2023-08-24 12:52:55.632163,0 days 00:00:00.777038,0.6000000000000001,3,0.6000000000000001,1.0752896890715882e-05,1.971564371879847e-05,10,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5356701814382065,2023-08-24 12:52:54.988724,2023-08-24 12:52:56.751835,0 days 00:00:01.763111,0.6000000000000001,3,0.9,1.5348968452325593e-05,5.402033562547646e-06,10,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5554288971216871,2023-08-24 12:52:55.007288,2023-08-24 12:52:56.558906,0 days 00:00:01.551618,0.6000000000000001,3,0.9,1.4312957758120792e-05,6.499299607397142e-06,10,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5489156626506024,2023-08-24 12:52:55.118056,2023-08-24 12:52:56.897061,0 days 00:00:01.779005,0.6000000000000001,3,0.6000000000000001,1.0671474692728904e-05,7.989623510354707e-07,10,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.47954077126876654,2023-08-24 12:52:55.211817,2023-08-24 12:52:56.686447,0 days 00:00:01.474630,0.6000000000000001,3,0.9,2.040796066896973e-05,6.197491741058641e-07,10,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5175473981444131,2023-08-24 12:52:55.337835,2023-08-24 12:52:56.405195,0 days 00:00:01.067360,0.9,2,0.6000000000000001,1.5395497980294286e-05,2.8896404775677606e-07,30,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5566570833746406,2023-08-24 12:52:55.419751,2023-08-24 12:52:56.259197,0 days 00:00:00.839446,0.9,3,0.6000000000000001,2.1266085334450225e-07,4.965283080027418e-07,30,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
