,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7128205128205128,2023-08-24 12:53:22.791512,2023-08-24 12:53:23.059464,0 days 00:00:00.267952,0.8,1,0.4,1.094985768725655e-06,3.21461854175887e-05,90,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7270341207349081,2023-08-24 12:53:22.793948,2023-08-24 12:53:23.485112,0 days 00:00:00.691164,0.6000000000000001,1,1.0,5.137538809329643e-08,1.9116064525298733e-08,20,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.675,2023-08-24 12:53:22.796067,2023-08-24 12:53:23.426548,0 days 00:00:00.630481,0.4,2,0.4,2.0022368826958783e-08,0.009880865044983778,20,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6980255516840882,2023-08-24 12:53:22.798443,2023-08-24 12:53:23.198707,0 days 00:00:00.400264,0.6000000000000001,2,0.4,0.0005675099382703896,3.7199189445835804e-08,40,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6892530120481927,2023-08-24 12:53:22.801203,2023-08-24 12:53:22.984397,0 days 00:00:00.183194,0.5,2,0.4,5.557433097518252e-05,1.319618092178028e-06,70,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.706814425974531,2023-08-24 12:53:22.805774,2023-08-24 12:53:23.587256,0 days 00:00:00.781482,0.5,1,0.6000000000000001,0.6247676424597753,0.0011008001653176828,20,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6836424295947405,2023-08-24 12:53:22.808488,2023-08-24 12:53:22.892309,0 days 00:00:00.083821,0.5,1,0.4,1.0116507977978423e-08,8.539549200652186e-05,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7270341207349081,2023-08-24 12:53:22.812368,2023-08-24 12:53:23.336864,0 days 00:00:00.524496,1.0,2,0.7000000000000001,0.0019372650426877727,0.0024388008462803393,80,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7040525954273379,2023-08-24 12:53:22.931365,2023-08-24 12:53:23.798327,0 days 00:00:00.866962,0.9,2,0.5,0.44828790763140647,0.00013500380311928247,40,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6804915514592934,2023-08-24 12:53:23.022967,2023-08-24 12:53:23.254789,0 days 00:00:00.231822,0.4,3,0.4,0.00019687929873409487,2.5512842272627806e-05,50,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
