,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8308943089430895,2023-08-24 13:15:37.011886,2023-08-24 13:15:37.613747,0 days 00:00:00.601861,0.5,2,1.0,0.004190866738589851,4.331823991745679e-06,40,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8215783454060236,2023-08-24 13:15:37.014291,2023-08-24 13:15:37.231318,0 days 00:00:00.217027,0.5,3,0.4,1.6899356767082423e-08,0.10026746464475456,70,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8295903614457831,2023-08-24 13:15:37.016286,2023-08-24 13:15:38.352937,0 days 00:00:01.336651,0.9,2,0.9,0.0012487217435454298,5.2358563497506315e-05,40,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8202764976958525,2023-08-24 13:15:37.020106,2023-08-24 13:15:38.511214,0 days 00:00:01.491108,1.0,3,0.6000000000000001,3.560032533991394e-08,0.5991374990078546,30,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8095421686746989,2023-08-24 13:15:37.021534,2023-08-24 13:15:37.469423,0 days 00:00:00.447889,0.8,3,1.0,0.002418979749618113,6.353262814227558e-06,100,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8402457757296466,2023-08-24 13:15:37.022885,2023-08-24 13:15:38.676277,0 days 00:00:01.653392,1.0,3,0.7000000000000001,0.0037077166814519797,0.2090681435774576,30,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8414029736942432,2023-08-24 13:15:37.028893,2023-08-24 13:15:37.694820,0 days 00:00:00.665927,0.9,3,0.7000000000000001,4.767023120182347e-08,2.3150084179205e-06,60,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8215783454060236,2023-08-24 13:15:37.031363,2023-08-24 13:15:37.764263,0 days 00:00:00.732900,0.7000000000000001,3,1.0,1.7537007065706066e-06,0.13230125391602,60,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8122922010069346,2023-08-24 13:15:37.283787,2023-08-24 13:15:37.876605,0 days 00:00:00.592818,0.6000000000000001,3,0.4,2.263837208359565e-06,1.3374049920110593e-06,50,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8414029736942432,2023-08-24 13:15:37.514188,2023-08-24 13:15:38.911664,0 days 00:00:01.397476,0.6000000000000001,1,1.0,1.3449827452245914e-07,3.399794908341309e-06,30,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8095421686746989,2023-08-24 13:15:37.657821,2023-08-24 13:15:38.013013,0 days 00:00:00.355192,0.4,2,0.7000000000000001,0.007204995008211339,0.0011392661016889991,90,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.803030303030303,2023-08-24 13:15:37.738981,2023-08-24 13:15:38.179414,0 days 00:00:00.440433,0.8,2,0.7000000000000001,0.012612214047641929,1.0640876857469979e-08,90,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8308943089430895,2023-08-24 13:15:37.807058,2023-08-24 13:15:38.566180,0 days 00:00:00.759122,0.7000000000000001,1,1.0,0.00011798383785730009,0.15656129837350083,70,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8308943089430895,2023-08-24 13:15:37.919463,2023-08-24 13:15:38.404242,0 days 00:00:00.484779,0.8,2,0.5,0.00011806041105858172,0.43168150822360346,80,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.8496385542168674,2023-08-24 13:15:38.056282,2023-08-24 13:15:39.441112,0 days 00:00:01.384830,0.7000000000000001,1,1.0,1.3545650684063494e-07,2.7856702195845503e-07,30,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8079128997764168,2023-08-24 13:15:38.223430,2023-08-24 13:15:38.802205,0 days 00:00:00.578775,0.4,2,0.4,1.1529471145857408e-05,0.2684794395092749,60,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7986837011227255,2023-08-24 13:15:38.397213,2023-08-24 13:15:40.365949,0 days 00:00:01.968736,0.4,1,0.8,4.1272197874004737e-07,0.0001809961551948383,10,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7803379416282643,2023-08-24 13:15:38.462855,2023-08-24 13:15:39.008022,0 days 00:00:00.545167,1.0,1,0.6000000000000001,1.2226579230781382e-08,3.144309289245168e-08,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8402457757296466,2023-08-24 13:15:38.556798,2023-08-24 13:15:39.847370,0 days 00:00:01.290572,0.4,1,0.8,0.25885501665469784,5.09306892088652e-07,10,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8424242424242425,2023-08-24 13:15:38.613624,2023-08-24 13:15:39.595899,0 days 00:00:00.982275,0.4,1,0.8,0.04127729546843501,1.584756654733929e-07,30,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8095421686746989,2023-08-24 13:15:38.733136,2023-08-24 13:15:39.761358,0 days 00:00:01.028222,1.0,1,0.8,0.6484448190538905,0.00573061005094704,10,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.8496385542168674,2023-08-24 13:15:38.842744,2023-08-24 13:15:39.602707,0 days 00:00:00.759963,1.0,1,0.8,0.4366713076102531,0.0006386110995459209,10,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.8295903614457831,2023-08-24 13:15:38.954120,2023-08-24 13:15:40.161051,0 days 00:00:01.206931,0.6000000000000001,1,0.8,1.4443328599272553e-07,1.9276659395256108e-07,10,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.8308943089430895,2023-08-24 13:15:39.050057,2023-08-24 13:15:41.803143,0 days 00:00:02.753086,0.6000000000000001,1,0.9,2.6282563706557785e-07,2.2359186213022537e-07,10,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.828132594536794,2023-08-24 13:15:39.484019,2023-08-24 13:15:43.073017,0 days 00:00:03.588998,0.9,1,0.8,2.4256859448423155e-07,1.861889627394915e-07,10,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.8507890961262554,2023-08-24 13:15:39.692545,2023-08-24 13:15:41.870106,0 days 00:00:02.177561,0.9,1,0.9,0.4663284771673961,0.0006288006970663585,10,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.818815331010453,2023-08-24 13:15:39.694971,2023-08-24 13:15:41.656333,0 days 00:00:01.961362,0.9,1,0.9,0.5138407550924055,0.0007451154986307155,10,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.818815331010453,2023-08-24 13:15:39.816086,2023-08-24 13:15:41.325755,0 days 00:00:01.509669,0.9,1,0.9,0.5903077625100593,9.321710594499472e-05,20,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.8602150537634409,2023-08-24 13:15:39.907970,2023-08-24 13:15:41.419676,0 days 00:00:01.511706,0.6000000000000001,1,0.9,0.08555618545856584,1.0571435237020414e-07,20,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.8414029736942432,2023-08-24 13:15:40.207814,2023-08-24 13:15:41.553993,0 days 00:00:01.346179,0.5,1,0.9,0.060530675054247356,1.1856235060443143e-07,20,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.8095421686746989,2023-08-24 13:15:40.413846,2023-08-24 13:15:41.212694,0 days 00:00:00.798848,0.5,1,0.9,0.16042511985888824,1.1709821893649099e-07,20,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.8496385542168674,2023-08-24 13:15:41.255310,2023-08-24 13:15:43.176692,0 days 00:00:01.921382,0.9,1,0.9,0.06079418083583455,8.11110557670478e-08,20,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.8227272727272728,2023-08-24 13:15:41.379342,2023-08-24 13:15:42.370513,0 days 00:00:00.991171,0.7000000000000001,1,0.9,0.08329245163103247,5.065454135448771e-08,40,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.8507890961262554,2023-08-24 13:15:41.470537,2023-08-24 13:15:43.289622,0 days 00:00:01.819085,0.7000000000000001,1,0.9,0.06227293203612882,1.6777111534449752e-05,20,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.796875,2023-08-24 13:15:41.598200,2023-08-24 13:15:42.930699,0 days 00:00:01.332499,0.7000000000000001,1,0.9,0.0320754533910051,2.2014009288034104e-05,40,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.8202764976958525,2023-08-24 13:15:41.701315,2023-08-24 13:15:42.544388,0 days 00:00:00.843073,0.7000000000000001,1,0.9,0.10402593883252531,2.5075540563115137e-05,40,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.8227272727272728,2023-08-24 13:15:41.846665,2023-08-24 13:15:42.815069,0 days 00:00:00.968404,0.7000000000000001,2,1.0,0.0006175266897938408,1.1742253240845273e-05,40,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.8227272727272728,2023-08-24 13:15:41.919882,2023-08-24 13:15:42.881075,0 days 00:00:00.961193,0.7000000000000001,2,1.0,0.0005287833081494117,1.3196349643819206e-05,40,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.8507890961262554,2023-08-24 13:15:42.429784,2023-08-24 13:15:44.490463,0 days 00:00:02.060679,0.8,1,1.0,0.02578034636162422,1.1142721129900044e-05,20,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.8402457757296466,2023-08-24 13:15:42.607063,2023-08-24 13:15:44.267846,0 days 00:00:01.660783,0.8,1,1.0,0.02874961750249462,1.84795039701061e-05,20,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.8389469608981803,2023-08-24 13:15:42.873237,2023-08-24 13:15:44.740575,0 days 00:00:01.867338,0.8,1,1.0,0.02910005810277587,1.1676554298970554e-06,20,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.8295903614457831,2023-08-24 13:15:42.926903,2023-08-24 13:15:44.834663,0 days 00:00:01.907760,0.9,1,0.8,0.028241941418091065,0.005640602464335993,20,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.8389469608981803,2023-08-24 13:15:42.975163,2023-08-24 13:15:44.937285,0 days 00:00:01.962122,0.9,1,0.8,0.016998487484577853,0.013719031382112447,20,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.8122922010069346,2023-08-24 13:15:43.134043,2023-08-24 13:15:45.067580,0 days 00:00:01.933537,0.8,1,1.0,0.9816127046899512,0.016537055249841087,20,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.8215783454060236,2023-08-24 13:15:43.223756,2023-08-24 13:15:44.784611,0 days 00:00:01.560855,0.8,2,1.0,0.30513424921786264,7.991501233012913e-07,20,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.8696867469879517,2023-08-24 13:15:43.340857,2023-08-24 13:15:44.412018,0 days 00:00:01.071161,0.8,2,1.0,0.009535615293539594,5.855065455648262e-07,30,94,COMPLETE,1.0,0.875,0.8659931376286695,0.875,0.8696867469879517,0.813953488372093,0.875,0.8433734939759036,0.9180327868852459,0.875,0.8959999999999999,0.7623616236162362,0.7584187568157034,0.7760279557367502,0.7573359288097887,0.6396946564885496,0.8297029702970297,0.7224137931034482,0.8771428571428571,0.7223529411764706,0.7922580645161291
46,46,0.801753717117804,2023-08-24 13:15:44.315332,2023-08-24 13:15:45.360899,0 days 00:00:01.045567,0.6000000000000001,2,1.0,0.20270303396496103,9.688311084815428e-07,30,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.8308943089430895,2023-08-24 13:15:44.460026,2023-08-24 13:15:45.538010,0 days 00:00:01.077984,0.8,2,1.0,0.015225666003954488,1.0004585925857484e-06,50,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.818815331010453,2023-08-24 13:15:44.538212,2023-08-24 13:15:45.874490,0 days 00:00:01.336278,0.8,2,1.0,0.01654567067301701,8.473536090695372e-07,30,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.8414029736942432,2023-08-24 13:15:44.829453,2023-08-24 13:15:46.165085,0 days 00:00:01.335632,0.8,2,1.0,0.9694925808278901,4.403238343216962e-06,30,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.8308943089430895,2023-08-24 13:15:44.835812,2023-08-24 13:15:46.614373,0 days 00:00:01.778561,0.8,3,1.0,0.009182789043183348,2.8608219173285433e-06,30,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.8402457757296466,2023-08-24 13:15:44.887543,2023-08-24 13:15:46.452421,0 days 00:00:01.564878,0.8,3,1.0,0.01087327953229085,3.4992241713854593e-06,30,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.8227272727272728,2023-08-24 13:15:44.990738,2023-08-24 13:15:46.361708,0 days 00:00:01.370970,0.6000000000000001,3,1.0,0.0071725794201346164,2.7544038154382347e-06,30,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.8134264941931829,2023-08-24 13:15:45.111572,2023-08-24 13:15:46.233962,0 days 00:00:01.122390,0.6000000000000001,3,0.9,0.005901376599461888,5.10525521644876e-06,30,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.8109995217599235,2023-08-24 13:15:45.404701,2023-08-24 13:15:46.525928,0 days 00:00:01.121227,0.8,3,0.9,0.008198621477204654,5.046759375757414e-06,50,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
