,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6306443429731101,2023-08-24 13:14:01.501550,2023-08-24 13:14:03.082056,0 days 00:00:01.580506,0.6000000000000001,2,0.5,0.0008432043857680833,0.0001370675695828737,10,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6176470588235294,2023-08-24 13:14:01.503756,2023-08-24 13:14:01.793220,0 days 00:00:00.289464,0.4,1,0.8,0.000390518542778517,3.8291061954033006e-08,60,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6388888888888888,2023-08-24 13:14:01.505832,2023-08-24 13:14:03.404468,0 days 00:00:01.898636,0.8,1,0.7000000000000001,2.200496658579003e-06,8.507860950211993e-06,10,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6813725490196079,2023-08-24 13:14:01.507854,2023-08-24 13:14:01.743088,0 days 00:00:00.235234,1.0,3,0.5,4.730834085022513e-06,0.044317488716323815,70,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6559398496240602,2023-08-24 13:14:01.509755,2023-08-24 13:14:02.017481,0 days 00:00:00.507726,0.5,3,0.4,0.00010888202675017498,0.05740805543702406,30,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5561246265471618,2023-08-24 13:14:01.512975,2023-08-24 13:14:02.896772,0 days 00:00:01.383797,0.5,1,0.8,9.18452764300556e-07,0.004320356424792774,10,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6067226890756302,2023-08-24 13:14:01.515477,2023-08-24 13:14:01.655848,0 days 00:00:00.140371,0.7000000000000001,3,0.4,0.004138384574959297,1.082658791063924e-06,90,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6185188856944581,2023-08-24 13:14:01.520401,2023-08-24 13:14:03.237298,0 days 00:00:01.716897,1.0,1,0.6000000000000001,1.0671810833572275e-07,1.0096177680176997e-08,10,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6813725490196079,2023-08-24 13:14:01.694844,2023-08-24 13:14:02.134433,0 days 00:00:00.439589,0.9,2,0.5,1.3881959954579082e-05,0.00032252845670198654,60,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6339544513457558,2023-08-24 13:14:01.784161,2023-08-24 13:14:01.957296,0 days 00:00:00.173135,0.4,3,0.7000000000000001,3.576342389652186e-08,2.2369265842041773e-07,70,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
