,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7063331988705123,2023-08-24 13:14:35.739865,2023-08-24 13:14:35.989155,0 days 00:00:00.249290,0.6000000000000001,3,0.5,6.847052935009732e-08,8.782425358611577e-07,80,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6267942583732058,2023-08-24 13:14:35.742464,2023-08-24 13:14:37.452070,0 days 00:00:01.709606,0.6000000000000001,3,1.0,0.0059134888464882785,6.210843644706709e-06,10,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6717948717948719,2023-08-24 13:14:35.744453,2023-08-24 13:14:38.062623,0 days 00:00:02.318170,1.0,1,0.6000000000000001,0.10671634965568752,0.0015383414924901098,10,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7010012887875483,2023-08-24 13:14:35.747613,2023-08-24 13:14:35.935511,0 days 00:00:00.187898,0.6000000000000001,3,1.0,7.789759613461936e-07,0.0024077472138358987,90,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6813725490196079,2023-08-24 13:14:35.748740,2023-08-24 13:14:35.845905,0 days 00:00:00.097165,0.4,2,1.0,0.0015153662514827719,0.20717482901162398,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6836424295947405,2023-08-24 13:14:35.751993,2023-08-24 13:14:36.177708,0 days 00:00:00.425715,1.0,2,0.5,0.0052554027394189524,9.727225252478496e-05,60,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6923076923076923,2023-08-24 13:14:35.753285,2023-08-24 13:14:36.279442,0 days 00:00:00.526157,0.4,3,0.9,0.16880443222854624,4.680962375016273e-05,30,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7026143790849673,2023-08-24 13:14:35.754397,2023-08-24 13:14:36.111990,0 days 00:00:00.357593,0.7000000000000001,1,0.4,0.957029794485204,0.0002384431941021479,90,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6517503805175038,2023-08-24 13:14:35.891903,2023-08-24 13:14:37.348310,0 days 00:00:01.456407,1.0,1,0.4,3.134415333443431e-07,9.957122968931383e-05,20,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6923076923076923,2023-08-24 13:14:35.978765,2023-08-24 13:14:36.362881,0 days 00:00:00.384116,0.5,3,0.4,0.028495332869402132,0.037998729421348555,60,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6865947312141538,2023-08-24 13:14:36.031869,2023-08-24 13:14:38.310618,0 days 00:00:02.278749,0.8,3,0.9,1.8563694516366315e-07,0.00026360512951315967,10,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6601307189542484,2023-08-24 13:14:36.154778,2023-08-24 13:14:38.212796,0 days 00:00:02.058018,0.9,2,0.6000000000000001,0.03447340014103568,0.10291210570846912,10,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6597600872410033,2023-08-24 13:14:36.221049,2023-08-24 13:14:36.775574,0 days 00:00:00.554525,0.6000000000000001,2,0.8,0.0002691832631043121,0.06563155166654265,30,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6853569987898347,2023-08-24 13:14:36.323087,2023-08-24 13:14:36.869397,0 days 00:00:00.546310,0.6000000000000001,2,0.8,5.609375807911854e-05,9.775468962065818e-06,30,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.664380798709157,2023-08-24 13:14:36.406537,2023-08-24 13:14:36.617367,0 days 00:00:00.210830,0.5,2,1.0,0.9166637360825391,1.5243193384197791e-05,70,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7010012887875483,2023-08-24 13:14:36.673169,2023-08-24 13:14:37.049323,0 days 00:00:00.376154,1.0,2,0.8,0.9520921513559859,0.0005055042562340603,80,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6717948717948719,2023-08-24 13:14:36.820886,2023-08-24 13:14:37.232402,0 days 00:00:00.411516,0.5,2,0.7000000000000001,4.168923938807664e-06,3.1238544955308805e-06,40,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6685514547136835,2023-08-24 13:14:36.911958,2023-08-24 13:14:39.151154,0 days 00:00:02.239196,0.9,1,0.6000000000000001,1.2154736408143404e-08,1.6264012088621316e-07,10,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6889952153110048,2023-08-24 13:14:37.094647,2023-08-24 13:14:37.563979,0 days 00:00:00.469332,0.8,1,0.6000000000000001,1.3967067545193736e-08,1.4103298785864838e-07,100,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6976441102756892,2023-08-24 13:14:37.277380,2023-08-24 13:14:37.775121,0 days 00:00:00.497741,0.8,1,0.5,1.3383794270120004e-08,1.009493103361895e-07,100,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6976441102756892,2023-08-24 13:14:37.394287,2023-08-24 13:14:37.975327,0 days 00:00:00.581040,0.8,1,0.5,1.0382268360493997e-08,9.333529610608342e-08,100,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6976441102756892,2023-08-24 13:14:37.495279,2023-08-24 13:14:37.826511,0 days 00:00:00.331232,0.8,1,0.5,6.921248904744032e-08,1.5142896139427628e-07,100,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6976441102756892,2023-08-24 13:14:37.607397,2023-08-24 13:14:38.154709,0 days 00:00:00.547312,0.8,1,0.5,3.711720770254931e-05,1.1778703813573528e-08,100,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6853569987898347,2023-08-24 13:14:37.825089,2023-08-24 13:14:38.624775,0 days 00:00:00.799686,0.8,1,0.5,3.9884483410404405e-05,7.464729846378582e-07,80,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
