,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5594997983057685,2023-08-24 13:15:04.764426,2023-08-24 13:15:05.196952,0 days 00:00:00.432526,0.4,1,0.7000000000000001,0.005589143593713392,3.854572115077332e-08,30,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5926749232560601,2023-08-24 13:15:04.766523,2023-08-24 13:15:04.958628,0 days 00:00:00.192105,0.5,2,0.5,1.591353988897866e-08,1.864916381694952e-07,60,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5411764705882353,2023-08-24 13:15:04.768829,2023-08-24 13:15:04.959864,0 days 00:00:00.191035,0.5,1,0.8,6.335723748641722e-08,1.3545289569550833e-08,100,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5516791979949874,2023-08-24 13:15:04.771027,2023-08-24 13:15:05.111956,0 days 00:00:00.340929,0.8,2,0.8,1.8941704875059494e-08,7.774975383647247e-06,70,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6517503805175038,2023-08-24 13:15:04.773180,2023-08-24 13:15:05.057734,0 days 00:00:00.284554,0.4,1,0.7000000000000001,0.01867336223060283,1.6738361857054106e-06,40,99,COMPLETE,1.0,0.6826923076923077,0.6505909264201296,0.6779279279279279,0.6517503805175038,0.46511627906976744,0.6666666666666666,0.547945205479452,0.8360655737704918,0.6891891891891891,0.7555555555555555,0.548339483394834,0.5436205016357688,0.5474860865766331,0.5364507170742833,0.4015267175572519,0.5445134575569358,0.4622144112478031,0.6857142857142857,0.5504587155963303,0.6106870229007634
5,5,0.5099749373433584,2023-08-24 13:15:04.775968,2023-08-24 13:15:05.315067,0 days 00:00:00.539099,0.7000000000000001,1,0.6000000000000001,5.431924510710512e-06,0.003948763007580094,40,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.543859649122807,2023-08-24 13:15:04.779838,2023-08-24 13:15:06.969916,0 days 00:00:02.190078,1.0,1,1.0,0.7903182605496545,0.0020581357135782017,10,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5402487920222063,2023-08-24 13:15:04.781844,2023-08-24 13:15:05.368891,0 days 00:00:00.587047,0.8,1,0.9,0.030524943008308922,0.006741939224619267,50,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.572531328320802,2023-08-24 13:15:05.046448,2023-08-24 13:15:05.502133,0 days 00:00:00.455685,0.8,2,0.7000000000000001,0.004883844001105621,0.07477941611274527,90,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5897435897435898,2023-08-24 13:15:05.053400,2023-08-24 13:15:05.620889,0 days 00:00:00.567489,0.6000000000000001,3,1.0,0.0034204591736107103,0.0002441620078970198,60,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5594997983057685,2023-08-24 13:15:05.102656,2023-08-24 13:15:05.738323,0 days 00:00:00.635667,1.0,3,0.8,0.0001974314353497549,0.000490195435712904,70,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6350877192982456,2023-08-24 13:15:05.154048,2023-08-24 13:15:05.560132,0 days 00:00:00.406084,0.9,1,0.6000000000000001,1.4958501129804442e-05,0.04743256420557923,90,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5830163462526987,2023-08-24 13:15:05.239058,2023-08-24 13:15:05.914770,0 days 00:00:00.675712,0.9,1,1.0,1.872987132491882e-06,0.005006987886883148,70,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5231259968102073,2023-08-24 13:15:05.358017,2023-08-24 13:15:06.179064,0 days 00:00:00.821047,0.7000000000000001,1,0.5,6.601957953519142e-07,7.503053613504464e-08,40,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5478260869565217,2023-08-24 13:15:05.411113,2023-08-24 13:15:05.826931,0 days 00:00:00.415818,0.5,2,1.0,2.2814432439227346e-05,1.9303117754202748e-07,70,232,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5751633986928104,2023-08-24 13:15:05.543561,2023-08-24 13:15:06.511983,0 days 00:00:00.968422,0.7000000000000001,1,0.6000000000000001,0.0005417678179320153,0.0006384440174749125,30,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5645933014354066,2023-08-24 13:15:05.603692,2023-08-24 13:15:06.075992,0 days 00:00:00.472300,0.7000000000000001,3,0.5,0.680766131588634,2.8680525946951426e-05,90,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5407712687665588,2023-08-24 13:15:05.663729,2023-08-24 13:15:06.390417,0 days 00:00:00.726688,0.4,3,0.4,0.9139866283582214,2.7914942447654935e-06,20,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
