,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7204301075268817,2023-08-24 13:16:28.702807,2023-08-24 13:16:31.175309,0 days 00:00:02.472502,1.0,3,0.6000000000000001,6.026956639266121e-07,2.507210076696028e-06,10,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.675,2023-08-24 13:16:28.703654,2023-08-24 13:16:30.304934,0 days 00:00:01.601280,0.7000000000000001,2,0.6000000000000001,0.24497307200076773,2.6681991746113714e-07,10,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6804915514592934,2023-08-24 13:16:28.705803,2023-08-24 13:16:29.840034,0 days 00:00:01.134231,0.8,3,0.7000000000000001,0.01838664281740782,0.0004291036167019874,20,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7004608294930876,2023-08-24 13:16:28.706751,2023-08-24 13:16:28.847805,0 days 00:00:00.141054,0.6000000000000001,1,0.5,0.016488409347006922,0.31318333322769515,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.709301204819277,2023-08-24 13:16:28.707465,2023-08-24 13:16:29.278967,0 days 00:00:00.571502,0.8,1,0.4,0.007286065010027487,2.3133071246513492e-07,50,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6577622919086333,2023-08-24 13:16:28.708093,2023-08-24 13:16:28.896083,0 days 00:00:00.187990,0.4,1,0.6000000000000001,0.0004129829339612583,0.5324612408090752,60,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.709301204819277,2023-08-24 13:16:28.709297,2023-08-24 13:16:29.011943,0 days 00:00:00.302646,0.8,1,0.8,3.900658867238418e-08,1.6602167493361211e-07,90,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7026305756767061,2023-08-24 13:16:28.709994,2023-08-24 13:16:28.971765,0 days 00:00:00.261771,0.6000000000000001,3,1.0,0.08809595381208835,0.12627781145006428,70,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6892530120481927,2023-08-24 13:16:28.888165,2023-08-24 13:16:29.228840,0 days 00:00:00.340675,0.8,1,0.5,4.6683959005924084e-05,0.00025189265857741513,100,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7004608294930876,2023-08-24 13:16:28.935194,2023-08-24 13:16:29.176397,0 days 00:00:00.241203,0.4,3,0.7000000000000001,0.0011606480152044818,4.7247432509549703e-05,60,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
