,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7694457831325301,2023-08-24 13:16:59.084465,2023-08-24 13:16:59.605482,0 days 00:00:00.521017,1.0,3,0.4,0.0021550343340769875,4.2951399439057215e-07,50,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.818815331010453,2023-08-24 13:16:59.085865,2023-08-24 13:17:00.463342,0 days 00:00:01.377477,0.5,2,0.9,1.1330106056657256e-06,3.119971637438608e-07,10,232,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7894939759036144,2023-08-24 13:16:59.087414,2023-08-24 13:16:59.406521,0 days 00:00:00.319107,0.4,3,0.9,0.014576840651014356,1.2278657300884116e-08,30,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8095421686746989,2023-08-24 13:16:59.088357,2023-08-24 13:16:59.800318,0 days 00:00:00.711961,0.7000000000000001,1,0.7000000000000001,5.058243697904424e-06,0.006091200000219659,30,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8202764976958525,2023-08-24 13:16:59.089603,2023-08-24 13:17:00.102172,0 days 00:00:01.012569,0.6000000000000001,3,0.5,0.00010914836186826919,3.742671295713876e-05,20,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8095421686746989,2023-08-24 13:16:59.090163,2023-08-24 13:16:59.224247,0 days 00:00:00.134084,0.4,1,0.6000000000000001,0.008092148504676074,1.9076658820343964e-06,70,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8295903614457831,2023-08-24 13:16:59.091006,2023-08-24 13:16:59.474782,0 days 00:00:00.383776,0.6000000000000001,1,0.8,0.01221498055630293,5.135927173065973e-06,40,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7911047345767577,2023-08-24 13:16:59.091706,2023-08-24 13:16:59.551438,0 days 00:00:00.459732,0.4,1,0.6000000000000001,0.9754080305402725,0.006273997722576592,20,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.828132594536794,2023-08-24 13:16:59.263282,2023-08-24 13:17:01.066654,0 days 00:00:01.803372,0.9,1,0.9,0.07161435746011872,0.0003574784256691179,10,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8389469608981803,2023-08-24 13:16:59.446663,2023-08-24 13:17:00.555647,0 days 00:00:01.108984,0.8,2,0.6000000000000001,0.045539801222302466,0.007854241098168869,20,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7584204413472706,2023-08-24 13:16:59.531457,2023-08-24 13:16:59.996103,0 days 00:00:00.464646,0.5,2,0.8,1.8380051882384255e-07,2.792691667052471e-07,30,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
