,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6095383054287165,2023-08-24 13:17:28.306240,2023-08-24 13:17:28.609203,0 days 00:00:00.302963,1.0,1,0.6000000000000001,0.000341205413135911,0.0016533879073503208,100,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.606060606060606,2023-08-24 13:17:28.307423,2023-08-24 13:17:30.099907,0 days 00:00:01.792484,0.7000000000000001,3,1.0,0.23987647505044546,0.0037085703248146123,10,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6020017662643509,2023-08-24 13:17:28.308638,2023-08-24 13:17:28.508627,0 days 00:00:00.199989,0.6000000000000001,1,0.9,3.451765029335135e-08,0.00012016737447033253,100,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6095383054287165,2023-08-24 13:17:28.309578,2023-08-24 13:17:28.562770,0 days 00:00:00.253192,0.8,2,0.7000000000000001,0.02496153761082501,0.0008372072299159955,90,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6428220979295456,2023-08-24 13:17:28.310287,2023-08-24 13:17:30.545161,0 days 00:00:02.234874,0.7000000000000001,2,1.0,3.8175185091132416e-05,4.802850914368573e-05,10,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.606060606060606,2023-08-24 13:17:28.311451,2023-08-24 13:17:29.324661,0 days 00:00:01.013210,0.8,2,0.7000000000000001,0.05797639825800434,1.3177624238513215e-06,30,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6257839004831911,2023-08-24 13:17:28.312993,2023-08-24 13:17:28.464034,0 days 00:00:00.151041,0.8,1,0.4,1.6647646037674976e-07,0.35770203129440026,80,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6095383054287165,2023-08-24 13:17:28.313746,2023-08-24 13:17:28.707079,0 days 00:00:00.393333,1.0,3,1.0,0.002548490886546399,0.5152977875291621,90,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5772776841479133,2023-08-24 13:17:28.503502,2023-08-24 13:17:28.975553,0 days 00:00:00.472051,0.6000000000000001,3,1.0,3.404847697117999e-05,0.010121265820993203,60,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6224283985478015,2023-08-24 13:17:28.550726,2023-08-24 13:17:29.981256,0 days 00:00:01.430530,1.0,3,0.5,0.0034079575521974398,2.221728381047285e-06,20,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
