,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6663750364537766,2023-08-24 13:18:20.194824,2023-08-24 13:18:20.605358,0 days 00:00:00.410534,0.7000000000000001,1,0.5,1.1084546695873117e-08,4.515710797150228e-06,70,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.715625,2023-08-24 13:18:20.197045,2023-08-24 13:18:20.499061,0 days 00:00:00.302016,0.6000000000000001,3,0.8,1.5203560953187397e-07,8.564529848122514e-08,70,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7204301075268817,2023-08-24 13:18:20.199138,2023-08-24 13:18:20.743483,0 days 00:00:00.544345,0.4,1,0.8,0.29330089120577235,5.075322039857649e-06,40,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6923076923076923,2023-08-24 13:18:20.202472,2023-08-24 13:18:20.373815,0 days 00:00:00.171343,0.5,1,0.4,2.5788184325841916e-08,2.0826297771942268e-07,100,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.715625,2023-08-24 13:18:20.204462,2023-08-24 13:18:20.305079,0 days 00:00:00.100617,0.6000000000000001,3,1.0,5.114241502813413e-06,0.0009665717587585668,90,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6980255516840882,2023-08-24 13:18:20.206744,2023-08-24 13:18:20.845458,0 days 00:00:00.638714,0.9,2,0.6000000000000001,0.00706257233312312,2.160560461508718e-07,80,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7040525954273379,2023-08-24 13:18:20.209172,2023-08-24 13:18:20.673949,0 days 00:00:00.464777,0.5,1,0.9,1.8919865168922057e-08,1.7440943893955803e-05,70,154,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.675,2023-08-24 13:18:20.211951,2023-08-24 13:18:20.547905,0 days 00:00:00.335954,0.7000000000000001,3,0.5,1.7343850700268403e-06,1.1455748618155391e-05,80,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7040525954273379,2023-08-24 13:18:20.357118,2023-08-24 13:18:20.918622,0 days 00:00:00.561504,1.0,2,0.8,1.0026466175522272e-05,0.6071902621085868,100,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.706814425974531,2023-08-24 13:18:20.414602,2023-08-24 13:18:20.799758,0 days 00:00:00.385156,0.4,1,0.8,0.0648197968072163,0.007130509110040085,80,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
