,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8081933661663332,2023-08-23 23:01:47.235019,2023-08-23 23:01:50.473607,0 days 00:00:03.238588,0.7000000000000001,1,0.8,7.770898385765806e-05,1.022044450498752e-07,40,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.812562397714401,2023-08-23 23:01:47.237353,2023-08-23 23:01:49.431900,0 days 00:00:02.194547,0.7000000000000001,1,0.7000000000000001,1.3068838294364939e-08,0.03973477142262198,70,191,COMPLETE,1.0,0.8126508932882666,0.8125097936067336,0.8127986309887241,0.812562397714401,0.7998046875,0.8173652694610778,0.8084896347482725,0.8252148997134671,0.8082319925163705,0.8166351606805293,0.7857915614857555,0.7828752189018411,0.7866832080821166,0.7838172620491322,0.7350230414746544,0.7935323383084577,0.7631578947368421,0.8307273963290279,0.7798340778557754,0.8044766293614221
2,2,0.7961686434969839,2023-08-23 23:01:47.239699,2023-08-23 23:01:48.647043,0 days 00:00:01.407344,0.6000000000000001,2,0.4,0.004459466513152441,0.0003194492390894448,90,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8019836383649559,2023-08-23 23:01:47.242499,2023-08-23 23:01:49.007403,0 days 00:00:01.764904,0.9,1,1.0,1.1119770158761031e-05,2.874329668525345e-07,50,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7957439873235473,2023-08-23 23:01:47.246554,2023-08-23 23:01:48.820448,0 days 00:00:01.573894,0.5,3,0.4,0.0003287176537561993,4.7690032417726175e-06,50,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7927423585818305,2023-08-23 23:01:47.258104,2023-08-23 23:01:51.777610,0 days 00:00:04.519506,0.6000000000000001,2,0.5,3.772629997325302e-07,0.00030342739283094024,20,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7875061329492817,2023-08-23 23:01:47.262337,2023-08-23 23:01:48.366508,0 days 00:00:01.104171,0.6000000000000001,3,0.4,0.00606471474103112,1.185801715134251e-05,80,212,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7975990354716991,2023-08-23 23:01:47.272925,2023-08-23 23:01:50.652586,0 days 00:00:03.379661,0.9,1,0.4,0.09512707636054721,3.0821773744551105e-05,40,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7907466232763443,2023-08-23 23:01:48.411057,2023-08-23 23:01:57.376291,0 days 00:00:08.965234,0.6000000000000001,3,0.5,1.6975010398207755e-06,0.0009381970882258677,10,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7971036263918773,2023-08-23 23:01:48.705033,2023-08-23 23:01:54.472914,0 days 00:00:05.767881,1.0,3,0.6000000000000001,0.020019890867711436,0.0858829665575331,30,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7932632384222114,2023-08-23 23:01:48.873985,2023-08-23 23:01:49.531649,0 days 00:00:00.657664,0.4,3,0.9,7.04025206609809e-05,0.00010254801159972095,100,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.800453627421269,2023-08-23 23:01:49.052587,2023-08-23 23:01:53.746902,0 days 00:00:04.694315,0.7000000000000001,1,0.7000000000000001,0.049915570292322076,4.3409649279419777e-07,10,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8024296074174819,2023-08-23 23:01:49.483767,2023-08-23 23:01:51.936989,0 days 00:00:02.453222,0.5,3,1.0,0.002660148891659244,4.871618508870068e-06,50,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8034032421670643,2023-08-23 23:01:49.584837,2023-08-23 23:01:53.530627,0 days 00:00:03.945790,0.6000000000000001,3,0.9,1.2182218551973836e-07,0.0027663822065735143,30,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7952094959298626,2023-08-23 23:01:50.520684,2023-08-23 23:01:54.311107,0 days 00:00:03.790423,0.4,3,0.8,7.502288566466946e-07,0.0040235663451495506,20,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8087201925588685,2023-08-23 23:01:50.709000,2023-08-23 23:01:52.066762,0 days 00:00:01.357762,0.9,2,1.0,0.00127167418057958,0.00576037122813468,50,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8057538749272051,2023-08-23 23:01:51.819599,2023-08-23 23:01:53.619219,0 days 00:00:01.799620,0.6000000000000001,1,1.0,4.6478564308393836e-07,0.6722334716395023,10,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8029495718363464,2023-08-23 23:01:51.989087,2023-08-23 23:01:54.935578,0 days 00:00:02.946491,0.8,1,0.6000000000000001,1.0883045045450737e-08,0.0788903896066598,70,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8038584203906287,2023-08-23 23:01:52.113843,2023-08-23 23:01:54.657599,0 days 00:00:02.543756,1.0,2,0.7000000000000001,1.0327607714139887e-08,0.062357254486953,70,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8009917154905402,2023-08-23 23:01:53.583100,2023-08-23 23:01:56.199111,0 days 00:00:02.616011,1.0,2,0.6000000000000001,1.292224464661522e-08,0.20945377560449316,70,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7966073029439408,2023-08-23 23:01:53.689313,2023-08-23 23:01:56.476960,0 days 00:00:02.787647,1.0,2,0.6000000000000001,1.3118920063059182e-08,0.016513795522698112,70,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7975735390344685,2023-08-23 23:01:53.802337,2023-08-23 23:01:56.391815,0 days 00:00:02.589478,1.0,2,0.6000000000000001,2.4897765662644215e-08,0.019983334616721495,70,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7956746226945164,2023-08-23 23:01:54.363313,2023-08-23 23:01:56.900701,0 days 00:00:02.537388,1.0,2,0.6000000000000001,4.09743282774565e-08,0.11180217435637692,70,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.8023663613635861,2023-08-23 23:01:54.516803,2023-08-23 23:01:56.802006,0 days 00:00:02.285203,0.8,2,0.6000000000000001,1.6058644501879545e-08,0.019900874052178223,70,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7971414818173168,2023-08-23 23:01:54.705662,2023-08-23 23:01:57.078813,0 days 00:00:02.373151,0.8,2,0.6000000000000001,0.3062754514838345,0.006858093766903482,70,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.8057730890902475,2023-08-23 23:01:54.978614,2023-08-23 23:01:57.435542,0 days 00:00:02.456928,0.8,2,0.8,0.6307900880641735,1.1273612328194555e-08,70,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.7999752708541354,2023-08-23 23:01:56.247077,2023-08-23 23:01:59.164817,0 days 00:00:02.917740,0.8,2,0.8,0.9219355091734872,0.010708295421648023,60,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.8038825757575757,2023-08-23 23:01:56.440676,2023-08-23 23:01:58.971069,0 days 00:00:02.530393,0.8,2,0.8,0.7764008733184313,0.8094002469369328,60,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.7990359728071926,2023-08-23 23:01:56.523839,2023-08-23 23:01:58.679994,0 days 00:00:02.156155,0.8,1,0.8,0.8486987330192493,1.805009849370025e-08,60,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.8082262937524214,2023-08-23 23:01:56.854496,2023-08-23 23:01:59.933182,0 days 00:00:03.078686,0.8,1,0.8,0.5775213673097659,2.1788842375441133e-08,40,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
