,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6213281268061193,2023-08-23 23:00:28.753307,2023-08-23 23:00:29.558668,0 days 00:00:00.805361,0.4,2,0.7000000000000001,0.0059828791527542875,6.148979728266928e-06,60,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.615508265850655,2023-08-23 23:00:28.755569,2023-08-23 23:00:30.365229,0 days 00:00:01.609660,1.0,1,0.7000000000000001,0.0014657027243172346,1.190515177778925e-08,50,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6244140101208636,2023-08-23 23:00:28.757714,2023-08-23 23:00:30.103038,0 days 00:00:01.345324,0.8,2,0.5,0.34389359790807117,0.024944602013933167,80,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6114874450276635,2023-08-23 23:00:28.760697,2023-08-23 23:00:29.857236,0 days 00:00:01.096539,0.8,1,0.6000000000000001,7.170442855048456e-06,0.01583328583427842,90,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6175367252716504,2023-08-23 23:00:28.762642,2023-08-23 23:00:31.194233,0 days 00:00:02.431591,0.7000000000000001,3,0.7000000000000001,8.720860339153729e-05,7.326184610707057e-07,40,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6254489583559402,2023-08-23 23:00:28.765680,2023-08-23 23:00:29.945171,0 days 00:00:01.179491,0.8,3,0.7000000000000001,1.0207675133398045e-05,0.005737141040121191,20,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6299397783724672,2023-08-23 23:00:28.769442,2023-08-23 23:00:29.785687,0 days 00:00:01.016245,0.7000000000000001,1,0.8,6.7498780119963245e-06,0.02630749204066887,100,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6187255829125713,2023-08-23 23:00:28.771728,2023-08-23 23:00:30.422676,0 days 00:00:01.650948,0.7000000000000001,3,0.6000000000000001,1.8399174456066558e-05,0.39543043692434526,60,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6135617256306911,2023-08-23 23:00:29.604447,2023-08-23 23:00:31.125055,0 days 00:00:01.520608,0.8,2,1.0,0.00010685861738030081,2.271788309701409e-05,20,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6018886332809894,2023-08-23 23:00:29.828146,2023-08-23 23:00:32.096018,0 days 00:00:02.267872,0.5,2,0.4,0.7856500070638158,1.2253512604159904e-05,30,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
