,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5558402127655598,2023-08-23 23:01:10.779758,2023-08-23 23:01:13.390423,0 days 00:00:02.610665,0.6000000000000001,1,0.9,0.055828363637194206,3.368425286011246e-07,30,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5695682190276892,2023-08-23 23:01:10.781955,2023-08-23 23:01:12.334176,0 days 00:00:01.552221,0.9,2,0.9,0.0007546282822860798,1.2650312900361792e-05,80,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.572253000923361,2023-08-23 23:01:10.783981,2023-08-23 23:01:11.917529,0 days 00:00:01.133548,1.0,3,0.4,5.979174996543827e-05,1.737689182707361e-05,100,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5521827198761982,2023-08-23 23:01:10.787501,2023-08-23 23:01:12.733886,0 days 00:00:01.946385,0.8,2,0.9,3.615322614884359e-06,4.0047949697268214e-08,60,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5751866250256407,2023-08-23 23:01:10.790914,2023-08-23 23:01:11.361125,0 days 00:00:00.570211,0.4,3,0.5,0.1927733737979227,2.8886913406233035e-07,100,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5895670143857799,2023-08-23 23:01:10.793311,2023-08-23 23:01:10.931414,0 days 00:00:00.138103,0.4,2,0.4,0.010028569258262026,1.6294748695871678e-07,70,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.574639308847226,2023-08-23 23:01:10.797023,2023-08-23 23:01:13.708053,0 days 00:00:02.911030,0.9,1,0.4,1.3542818004184256e-05,3.77347981611627e-08,40,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5597857569981686,2023-08-23 23:01:10.801780,2023-08-23 23:01:12.508414,0 days 00:00:01.706634,0.8,3,0.6000000000000001,4.2875888891975197e-07,0.2725496032439431,60,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5571513677856961,2023-08-23 23:01:10.974725,2023-08-23 23:01:14.470948,0 days 00:00:03.496223,0.7000000000000001,1,0.6000000000000001,5.251139879993989e-07,0.2148591625093338,10,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5530858869227449,2023-08-23 23:01:11.404206,2023-08-23 23:01:13.019487,0 days 00:00:01.615281,0.9,2,0.9,1.0733047543047979e-06,1.85997213675318e-05,90,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5562142857142858,2023-08-23 23:01:11.960398,2023-08-23 23:01:14.362531,0 days 00:00:02.402133,1.0,1,0.9,0.0025298977500402627,3.3960170593562183e-07,60,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5676300140676931,2023-08-23 23:01:12.378950,2023-08-23 23:01:13.619192,0 days 00:00:01.240242,0.7000000000000001,1,0.5,0.0005843250413723162,2.1677450350280283e-06,90,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5705724807812564,2023-08-23 23:01:12.551394,2023-08-23 23:01:13.075391,0 days 00:00:00.523997,0.8,2,0.5,0.26284875053245166,1.959169961846025e-05,30,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5541629998422243,2023-08-23 23:01:12.783042,2023-08-23 23:01:14.801110,0 days 00:00:02.018068,0.6000000000000001,1,0.8,7.389007777553839e-08,0.007005108947406037,60,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5657809021264659,2023-08-23 23:01:13.068202,2023-08-23 23:01:14.702390,0 days 00:00:01.634188,0.8,1,0.8,0.023268607462413205,0.0015458024787240458,90,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5588182531673954,2023-08-23 23:01:13.119548,2023-08-23 23:01:14.220179,0 days 00:00:01.100631,0.5,2,0.8,1.5086814672322592e-05,4.172628160842468e-06,80,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5568215416934158,2023-08-23 23:01:13.432441,2023-08-23 23:01:15.955569,0 days 00:00:02.523128,1.0,3,0.5,3.045081981797563e-07,8.52291588636694e-06,60,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5802982682821402,2023-08-23 23:01:13.662496,2023-08-23 23:01:14.114044,0 days 00:00:00.451548,0.4,1,0.7000000000000001,1.9437640203351127e-08,2.114967666598703e-08,10,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5954240507382957,2023-08-23 23:01:13.755809,2023-08-23 23:01:13.883637,0 days 00:00:00.127828,0.4,3,0.7000000000000001,0.018264497423419353,3.23266072948028e-08,70,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5902469799459451,2023-08-23 23:01:13.929111,2023-08-23 23:01:14.268521,0 days 00:00:00.339410,0.4,3,0.7000000000000001,1.5279964004878503e-08,1.0828853473047428e-08,70,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5653248164659437,2023-08-23 23:01:14.161620,2023-08-23 23:01:15.343190,0 days 00:00:01.181570,0.5,3,0.7000000000000001,0.013142977086707898,1.1569999539871292e-08,70,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5554134009321783,2023-08-23 23:01:14.317682,2023-08-23 23:01:15.574020,0 days 00:00:01.256338,0.5,3,0.7000000000000001,1.4807173627620888e-08,1.3005618529501777e-08,50,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5650888437845791,2023-08-23 23:01:14.318846,2023-08-23 23:01:15.775288,0 days 00:00:01.456442,0.5,3,0.7000000000000001,1.4940234765948606e-08,1.5744612562880672e-08,50,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5635040582928625,2023-08-23 23:01:14.434330,2023-08-23 23:01:16.015219,0 days 00:00:01.580889,0.5,3,0.7000000000000001,2.83166142129526e-08,1.3561019191352427e-08,50,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5621109269299017,2023-08-23 23:01:14.522253,2023-08-23 23:01:15.820526,0 days 00:00:01.298273,0.5,3,0.7000000000000001,2.8259848422555972e-08,1.0614349869304438e-08,50,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.56348005352765,2023-08-23 23:01:14.746952,2023-08-23 23:01:16.475250,0 days 00:00:01.728298,0.5,3,0.7000000000000001,0.8635080845970999,1.1608047457591624e-08,50,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5610772405164928,2023-08-23 23:01:14.845350,2023-08-23 23:01:15.662410,0 days 00:00:00.817060,0.5,3,0.7000000000000001,0.00022706047139040743,1.6153839676406007e-08,40,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5454515737368077,2023-08-23 23:01:15.386653,2023-08-23 23:01:17.300369,0 days 00:00:01.913716,0.5,3,1.0,1.2210031239155435e-08,1.0866488873181774e-08,40,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5802045326742256,2023-08-23 23:01:15.614400,2023-08-23 23:01:16.394571,0 days 00:00:00.780171,0.4,3,0.6000000000000001,0.004755340382168231,9.984296723941512e-08,70,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5973067294703973,2023-08-23 23:01:15.706596,2023-08-23 23:01:16.183184,0 days 00:00:00.476588,0.4,3,0.6000000000000001,0.4421503125477872,1.3868315536290389e-07,70,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5923436395051289,2023-08-23 23:01:15.816846,2023-08-23 23:01:16.286837,0 days 00:00:00.469991,0.4,2,0.6000000000000001,0.8187071169229165,1.6908647508965636e-07,70,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5979990772762396,2023-08-23 23:01:15.870578,2023-08-23 23:01:16.538109,0 days 00:00:00.667531,0.4,2,0.6000000000000001,0.0034467449354539034,1.7139347718424172e-07,70,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5567939825778226,2023-08-23 23:01:16.005940,2023-08-23 23:01:16.954341,0 days 00:00:00.948401,0.4,2,0.6000000000000001,0.6698675892713768,1.1038515656253478e-07,70,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
