,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8203062024182715,2023-08-23 22:25:41.564746,2023-08-23 22:25:44.485840,0 days 00:00:02.921094,0.8,3,1.0,2.1397468810119172e-05,6.836798897533628e-06,30,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8264667048048777,2023-08-23 22:25:41.568233,2023-08-23 22:25:51.824626,0 days 00:00:10.256393,1.0,1,1.0,0.0007410320103237728,6.357235701396572e-05,30,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8206882468736472,2023-08-23 22:25:41.571290,2023-08-23 22:25:47.641019,0 days 00:00:06.069729,0.9,1,0.7000000000000001,5.463211970131264e-08,0.0720382751994964,40,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8168105706720563,2023-08-23 22:25:41.574716,2023-08-23 22:25:47.280848,0 days 00:00:05.706132,0.8,1,0.8,3.8373583093590907e-08,0.00993804920959716,30,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8308527717883378,2023-08-23 22:25:41.578303,2023-08-23 22:25:44.641333,0 days 00:00:03.063030,0.8,1,0.7000000000000001,0.0018320268150195404,0.09342192082046649,80,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.829377655533604,2023-08-23 22:25:41.589956,2023-08-23 22:25:48.323477,0 days 00:00:06.733521,0.9,1,0.9,5.641988838920513e-08,0.05048566284394481,50,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.819804871790386,2023-08-23 22:25:41.604990,2023-08-23 22:25:42.892882,0 days 00:00:01.287892,0.9,2,0.6000000000000001,0.0005919935674764753,0.0001218618801780132,10,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8183594369603473,2023-08-23 22:25:41.640766,2023-08-23 22:25:43.750612,0 days 00:00:02.109846,0.6000000000000001,3,0.8,0.006397846622261374,1.9965533353998803e-06,80,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8227108969805965,2023-08-23 22:25:42.941494,2023-08-23 22:25:45.043548,0 days 00:00:02.102054,0.6000000000000001,1,0.8,0.16268676891103,7.131989482658629e-07,80,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8250632356098153,2023-08-23 22:25:43.803270,2023-08-23 22:25:52.904320,0 days 00:00:09.101050,0.9,1,1.0,0.15467344880857375,1.0898982886427006e-07,10,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8178561688783567,2023-08-23 22:25:44.540233,2023-08-23 22:25:49.529662,0 days 00:00:04.989429,0.6000000000000001,2,0.7000000000000001,1.8017128784999337e-07,0.04020881802887348,30,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8244859937454254,2023-08-23 22:25:44.698469,2023-08-23 22:25:52.438467,0 days 00:00:07.739998,0.9,2,1.0,0.8359241188828941,0.06128726301780516,20,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8217039867012745,2023-08-23 22:25:45.111685,2023-08-23 22:25:51.029002,0 days 00:00:05.917317,1.0,3,1.0,1.2683744955607527e-08,0.002665205377366163,50,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8135205671694155,2023-08-23 22:25:47.336696,2023-08-23 22:25:48.859913,0 days 00:00:01.523217,0.4,2,0.6000000000000001,0.0003288277521466225,3.7161328040600795e-07,70,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.8202206603007477,2023-08-23 22:25:47.691527,2023-08-23 22:25:50.089251,0 days 00:00:02.397724,1.0,3,0.5,1.0174330566397578e-07,4.933327896414157e-05,100,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.8192834557780465,2023-08-23 22:25:48.385339,2023-08-23 22:25:50.345525,0 days 00:00:01.960186,0.6000000000000001,1,0.9,1.4638968883030074e-06,0.2666643225187569,100,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.8092308531832326,2023-08-23 22:25:48.906467,2023-08-23 22:25:50.913515,0 days 00:00:02.007048,0.4,3,0.7000000000000001,0.26231459771352295,0.13528547178785036,70,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8241489286260809,2023-08-23 22:25:49.582277,2023-08-23 22:25:52.251669,0 days 00:00:02.669392,1.0,1,0.4,0.11478980049712312,0.9794254886179036,100,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8256020340920356,2023-08-23 22:25:50.152488,2023-08-23 22:25:54.942804,0 days 00:00:04.790316,1.0,1,1.0,7.6138618615511e-06,0.7217128006746674,60,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8309455574027118,2023-08-23 22:25:50.399301,2023-08-23 22:25:55.823732,0 days 00:00:05.424431,1.0,1,1.0,7.651735475091843e-06,0.003231129886597281,60,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8313991963936855,2023-08-23 22:25:50.983333,2023-08-23 22:25:55.026377,0 days 00:00:04.043044,1.0,1,0.4,1.652951013901965e-05,0.0029183699412997344,50,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.8212162530424525,2023-08-23 22:25:51.112439,2023-08-23 22:25:54.168885,0 days 00:00:03.056446,0.8,1,0.4,1.3079861028259635e-05,0.9635998545509991,60,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
