,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5717391223166388,2023-08-23 22:25:02.010272,2023-08-23 22:25:02.840161,0 days 00:00:00.829889,0.5,2,0.5,6.313620037734524e-08,8.050100405668245e-07,90,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5888402547952032,2023-08-23 22:25:02.013229,2023-08-23 22:25:02.220003,0 days 00:00:00.206774,0.6000000000000001,1,0.5,0.0002467196349351227,0.0004732043178103557,60,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5688655008756502,2023-08-23 22:25:02.014928,2023-08-23 22:25:04.265715,0 days 00:00:02.250787,0.7000000000000001,3,0.7000000000000001,0.003272681458497258,1.3003865419693042e-08,40,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5602418353727401,2023-08-23 22:25:02.015561,2023-08-23 22:25:03.346361,0 days 00:00:01.330800,0.4,1,0.4,0.000248744284988025,0.026177985191086182,50,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5781683297828606,2023-08-23 22:25:02.017409,2023-08-23 22:25:03.774168,0 days 00:00:01.756759,0.5,1,0.7000000000000001,0.005077059840213007,1.997449806753971e-07,30,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5628916544792665,2023-08-23 22:25:02.018197,2023-08-23 22:25:02.747181,0 days 00:00:00.728984,0.5,3,0.4,9.914290724328407e-06,2.574608714901861e-05,90,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5596127671801652,2023-08-23 22:25:02.018913,2023-08-23 22:25:03.158509,0 days 00:00:01.139596,1.0,2,0.8,5.2770805618146014e-08,0.022982631303209013,30,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5628598113383767,2023-08-23 22:25:02.020026,2023-08-23 22:25:04.388847,0 days 00:00:02.368821,0.7000000000000001,1,0.5,0.0015953163122272346,0.0001235111097036692,40,131,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5679738470584941,2023-08-23 22:25:02.262478,2023-08-23 22:25:06.805369,0 days 00:00:04.542891,0.9,1,0.6000000000000001,1.0202349184217927e-05,0.5819792920168733,10,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5518070318123605,2023-08-23 22:25:02.795243,2023-08-23 22:25:09.751160,0 days 00:00:06.955917,0.7000000000000001,3,0.9,0.109339299261566,0.20916880115346206,10,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
