,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5707673176123802,2023-08-23 22:30:01.129548,2023-08-23 22:30:04.299241,0 days 00:00:03.169693,0.6000000000000001,3,0.8,0.01065031762168381,1.2186003501340379e-08,30,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5834916875769451,2023-08-23 22:30:01.132077,2023-08-23 22:30:02.257277,0 days 00:00:01.125200,0.4,2,0.8,0.00013687146288964352,2.8075219708011544e-05,60,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5922696143980637,2023-08-23 22:30:01.135388,2023-08-23 22:30:03.914925,0 days 00:00:02.779537,0.7000000000000001,1,0.8,2.0688860103479934e-06,0.0040121252033226045,50,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.56640284662761,2023-08-23 22:30:01.137429,2023-08-23 22:30:03.592659,0 days 00:00:02.455230,0.8,3,0.9,2.841478758344897e-08,0.35056322673226464,10,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5722359921886736,2023-08-23 22:30:01.140621,2023-08-23 22:30:02.923935,0 days 00:00:01.783314,0.5,1,1.0,1.3463319655647788e-05,8.571801432739511e-06,40,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5810797095562219,2023-08-23 22:30:01.142886,2023-08-23 22:30:03.518186,0 days 00:00:02.375300,0.7000000000000001,1,1.0,3.235677443624403e-05,0.0005309393837193001,20,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5697774639063489,2023-08-23 22:30:01.145206,2023-08-23 22:30:02.516142,0 days 00:00:01.370936,0.5,3,0.9,6.715607278025075e-07,0.08471445537535298,50,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5939778843771817,2023-08-23 22:30:01.146281,2023-08-23 22:30:01.461346,0 days 00:00:00.315065,0.5,1,0.7000000000000001,3.2966720929667967e-06,0.04986337465076957,100,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5725875327288805,2023-08-23 22:30:01.506457,2023-08-23 22:30:02.326207,0 days 00:00:00.819750,0.9,1,0.4,0.0027070967977111645,0.0008364436191563487,100,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5869487500799663,2023-08-23 22:30:02.317201,2023-08-23 22:30:03.653677,0 days 00:00:01.336476,0.6000000000000001,2,0.6000000000000001,4.837154957215728e-06,0.03558696127862146,90,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
