,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.710965885116187,2023-08-23 22:30:40.599726,2023-08-23 22:30:42.678057,0 days 00:00:02.078331,1.0,2,0.9,0.00022224208254765517,0.010042910179101742,30,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.716815072009259,2023-08-23 22:30:40.601071,2023-08-23 22:30:43.803464,0 days 00:00:03.202393,0.8,1,0.7000000000000001,0.3266686996923889,6.563003180669916e-08,10,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7124578310610272,2023-08-23 22:30:40.602230,2023-08-23 22:30:42.093038,0 days 00:00:01.490808,0.9,2,0.7000000000000001,0.003708203874301557,1.1173992906255427e-07,90,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7014262919209451,2023-08-23 22:30:40.602968,2023-08-23 22:30:42.277208,0 days 00:00:01.674240,0.4,2,0.4,0.0001920257900821036,2.4624010970741073e-06,30,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7157992315189263,2023-08-23 22:30:40.603587,2023-08-23 22:30:47.231431,0 days 00:00:06.627844,0.7000000000000001,1,0.9,0.16935492116969955,0.00014140388011822858,10,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7138300951385063,2023-08-23 22:30:40.604355,2023-08-23 22:30:41.605026,0 days 00:00:01.000671,0.7000000000000001,2,0.6000000000000001,0.024307792382213027,3.341019211516985e-07,90,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7074971431506234,2023-08-23 22:30:40.605042,2023-08-23 22:30:46.102157,0 days 00:00:05.497115,0.9,2,0.7000000000000001,0.02374160570221242,0.00014516429038941708,10,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7106703358547923,2023-08-23 22:30:40.605650,2023-08-23 22:30:44.795247,0 days 00:00:04.189597,1.0,2,0.9,0.015052437422455578,0.3713694706014651,30,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7105852852913805,2023-08-23 22:30:41.649103,2023-08-23 22:30:44.040977,0 days 00:00:02.391874,0.7000000000000001,1,0.9,0.000776389583666923,0.6945435471197794,40,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7166325768189035,2023-08-23 22:30:42.143948,2023-08-23 22:30:42.761858,0 days 00:00:00.617910,0.5,1,0.5,4.266087569924263e-05,0.00016487531958142595,100,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
