,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6011565356715853,2023-08-23 23:33:43.805127,2023-08-23 23:33:45.127301,0 days 00:00:01.322174,0.6000000000000001,2,0.5,5.9653730203420014e-05,2.7851549676473326e-05,80,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6122917833800187,2023-08-23 23:33:43.807418,2023-08-23 23:33:44.997232,0 days 00:00:01.189814,0.7000000000000001,1,0.4,0.9794564513619479,0.008208077260426468,90,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6141902836037592,2023-08-23 23:33:43.809634,2023-08-23 23:33:46.451643,0 days 00:00:02.642009,0.9,1,1.0,0.00031567953529375314,0.05097678364851732,40,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6008506434090106,2023-08-23 23:33:43.811947,2023-08-23 23:33:44.173117,0 days 00:00:00.361170,0.9,2,0.4,0.11589281436172183,1.7089900768196888e-05,50,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.589528051112251,2023-08-23 23:33:43.829611,2023-08-23 23:33:45.425192,0 days 00:00:01.595581,0.5,1,1.0,0.0003089918539639719,2.0074383359915692e-06,70,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.603489950540339,2023-08-23 23:33:43.836093,2023-08-23 23:33:45.899524,0 days 00:00:02.063431,0.5,2,1.0,0.012639138568662453,0.12316149676967167,50,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6045089941817099,2023-08-23 23:33:43.839587,2023-08-23 23:33:44.692201,0 days 00:00:00.852614,0.4,1,0.9,2.2529256733571886e-08,0.00017866569196132453,100,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.603567237595352,2023-08-23 23:33:43.844568,2023-08-23 23:33:46.123310,0 days 00:00:02.278742,0.8,1,0.8,0.00011828520090949207,4.526555921869498e-06,80,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6059204647423042,2023-08-23 23:33:44.215500,2023-08-23 23:33:45.679356,0 days 00:00:01.463856,0.7000000000000001,2,0.8,1.311206137195823e-08,5.4007585340865614e-06,100,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6117664504792869,2023-08-23 23:33:44.737517,2023-08-23 23:33:45.974270,0 days 00:00:01.236753,0.6000000000000001,1,0.6000000000000001,0.0003587505351214466,2.1978630619945263e-08,100,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.592465031606317,2023-08-23 23:33:45.039673,2023-08-23 23:33:45.804834,0 days 00:00:00.765161,0.4,1,0.5,2.4457942258114725e-07,1.3350901215177465e-08,100,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5846710780372324,2023-08-23 23:33:45.169527,2023-08-23 23:33:46.643493,0 days 00:00:01.473966,0.9,1,0.8,0.0048975100310966885,0.0008943456215417385,10,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6025837154345577,2023-08-23 23:33:45.469663,2023-08-23 23:33:47.984489,0 days 00:00:02.514826,0.6000000000000001,3,0.6000000000000001,2.6725137954847066e-07,1.1752838616151842e-06,50,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6020977664364832,2023-08-23 23:33:45.724228,2023-08-23 23:33:51.427598,0 days 00:00:05.703370,1.0,3,0.9,1.7473842127315805e-05,0.0003425202226315559,30,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5847253077266004,2023-08-23 23:33:45.847773,2023-08-23 23:33:48.062581,0 days 00:00:02.214808,0.5,3,0.5,4.1366933726069394e-08,0.015790176237730744,40,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6098101944690575,2023-08-23 23:33:45.940455,2023-08-23 23:33:47.643665,0 days 00:00:01.703210,0.5,3,0.9,1.0376830492114692e-06,0.0002224075827346595,50,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6106321973139359,2023-08-23 23:33:46.022050,2023-08-23 23:33:47.447873,0 days 00:00:01.425823,0.7000000000000001,1,0.6000000000000001,0.00016107346171000147,0.000201857552242992,100,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6062025722534925,2023-08-23 23:33:46.168066,2023-08-23 23:33:51.323810,0 days 00:00:05.155744,1.0,3,0.4,0.8606586379429394,0.7060685372172711,20,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6015688891780506,2023-08-23 23:33:46.494515,2023-08-23 23:33:48.838032,0 days 00:00:02.343517,1.0,3,0.7000000000000001,0.6061731448981248,0.021166475763227634,20,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5953229492141958,2023-08-23 23:33:46.686635,2023-08-23 23:33:49.358947,0 days 00:00:02.672312,1.0,3,0.6000000000000001,0.8933986303513057,0.12180524089816418,30,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6053422720295423,2023-08-23 23:33:47.494325,2023-08-23 23:33:49.994579,0 days 00:00:02.500254,1.0,3,0.4,0.7918082937674543,0.07201935912862786,30,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6069266770379822,2023-08-23 23:33:47.687997,2023-08-23 23:33:50.279300,0 days 00:00:02.591303,1.0,3,0.4,0.21232470054581207,0.08914135637680608,30,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6036160101580662,2023-08-23 23:33:48.036470,2023-08-23 23:33:50.221374,0 days 00:00:02.184904,1.0,2,0.4,0.8227565420079092,0.048039323605664604,30,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6062407894850417,2023-08-23 23:33:48.127158,2023-08-23 23:33:55.312770,0 days 00:00:07.185612,1.0,2,0.4,0.7070195987832717,0.3585416719098689,20,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6088823170629347,2023-08-23 23:33:48.889862,2023-08-23 23:33:52.957860,0 days 00:00:04.067998,0.8,2,0.7000000000000001,0.5759576759868167,0.5284867441754469,30,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6151010933071229,2023-08-23 23:33:49.403383,2023-08-23 23:33:51.726782,0 days 00:00:02.323399,0.8,2,0.4,0.03854732925513883,0.8740407615956983,70,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6025981705040941,2023-08-23 23:33:50.039568,2023-08-23 23:33:52.258825,0 days 00:00:02.219257,0.8,2,0.9,0.04745125175271556,0.9693029452532259,70,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
