,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5167492696403737,2023-08-23 23:30:40.156085,2023-08-23 23:30:41.577720,0 days 00:00:01.421635,0.6000000000000001,3,0.9,0.0039491550341321634,1.9718081359190116e-06,60,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5153188270668809,2023-08-23 23:30:40.158966,2023-08-23 23:30:40.862599,0 days 00:00:00.703633,0.6000000000000001,3,0.6000000000000001,0.0002832772596426863,3.5143880517059214e-08,100,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5347784461340158,2023-08-23 23:30:40.159685,2023-08-23 23:30:43.849675,0 days 00:00:03.689990,0.6000000000000001,1,0.6000000000000001,5.8974543349602556e-05,1.7992272837747267e-06,20,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5294765543037578,2023-08-23 23:30:40.160507,2023-08-23 23:30:41.630670,0 days 00:00:01.470163,1.0,3,0.9,0.0025733103087434745,0.002536504862319172,50,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5228735468790593,2023-08-23 23:30:40.163390,2023-08-23 23:30:42.875950,0 days 00:00:02.712560,1.0,3,0.7000000000000001,0.0007897682827797654,0.2803486906602364,40,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5326011130339803,2023-08-23 23:30:40.164224,2023-08-23 23:30:43.740033,0 days 00:00:03.575809,0.9,2,0.5,0.04486128881508859,0.008187679571668513,30,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5195940698312655,2023-08-23 23:30:40.165092,2023-08-23 23:30:40.812433,0 days 00:00:00.647341,0.4,3,0.9,0.7922518443632293,0.01863867854674727,20,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5345627540143456,2023-08-23 23:30:40.166041,2023-08-23 23:30:42.420818,0 days 00:00:02.254777,0.8,1,1.0,0.005928765104421224,0.006758208686679164,40,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5351622579103765,2023-08-23 23:30:40.859835,2023-08-23 23:30:42.303054,0 days 00:00:01.443219,0.7000000000000001,2,1.0,0.0006029754879810594,3.464864271711428e-05,60,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5279262737321007,2023-08-23 23:30:40.910753,2023-08-23 23:30:41.429276,0 days 00:00:00.518523,0.4,3,0.9,6.109036876996529e-06,4.567755507339631e-05,100,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
