,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5248071900528017,2023-08-23 23:32:11.055077,2023-08-23 23:32:12.986345,0 days 00:00:01.931268,0.5,1,0.7000000000000001,4.966367157458341e-05,0.0004874550491461376,20,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5162480846133721,2023-08-23 23:32:11.056111,2023-08-23 23:32:13.128337,0 days 00:00:02.072226,0.9,2,1.0,0.007517389372080595,0.0010720395222398975,70,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5144301276554405,2023-08-23 23:32:11.057691,2023-08-23 23:32:14.506046,0 days 00:00:03.448355,0.8,3,0.8,1.033964995951605e-06,0.004398112084036771,30,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5210453283996299,2023-08-23 23:32:11.059074,2023-08-23 23:32:12.557796,0 days 00:00:01.498722,1.0,1,0.4,4.823506729541229e-07,8.201985878227699e-07,80,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5194454317238459,2023-08-23 23:32:11.059804,2023-08-23 23:32:11.891574,0 days 00:00:00.831770,0.6000000000000001,2,0.9,5.745029128090636e-05,0.25888205431379474,90,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5303736307717052,2023-08-23 23:32:11.060438,2023-08-23 23:32:11.775278,0 days 00:00:00.714840,0.6000000000000001,2,0.7000000000000001,1.6882410975166836e-06,0.0001733679346067075,100,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5282063730661861,2023-08-23 23:32:11.061493,2023-08-23 23:32:15.781324,0 days 00:00:04.719831,1.0,2,0.5,4.380645924355104e-07,1.898285023988258e-05,10,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5207381178565018,2023-08-23 23:32:11.062180,2023-08-23 23:32:12.339836,0 days 00:00:01.277656,0.6000000000000001,2,0.8,0.8800261362228864,7.858672476972936e-06,70,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.513672735760971,2023-08-23 23:32:11.819873,2023-08-23 23:32:15.954019,0 days 00:00:04.134146,1.0,1,0.5,0.01447731492663877,7.924105157002472e-07,40,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5174797889063553,2023-08-23 23:32:11.938654,2023-08-23 23:32:12.926140,0 days 00:00:00.987486,0.4,2,0.6000000000000001,5.852007456154521e-06,5.080888224317047e-06,70,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5171334774945846,2023-08-23 23:32:12.388543,2023-08-23 23:32:14.141484,0 days 00:00:01.752941,0.8,2,0.8,5.486468560417336e-08,4.341332192218517e-05,80,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5175096630701655,2023-08-23 23:32:12.602551,2023-08-23 23:32:15.129537,0 days 00:00:02.526986,0.6000000000000001,1,0.9,0.0007525263550452674,1.082124654208353e-06,30,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5256890578647422,2023-08-23 23:32:12.974847,2023-08-23 23:32:13.998649,0 days 00:00:01.023802,0.7000000000000001,1,0.7000000000000001,4.4443092060302075e-08,1.6532551400005257e-08,80,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.526617684607355,2023-08-23 23:32:13.037902,2023-08-23 23:32:13.382585,0 days 00:00:00.344683,0.7000000000000001,1,0.8,0.00023127033384504132,3.5445128343916024e-05,40,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5231853159353772,2023-08-23 23:32:13.172636,2023-08-23 23:32:13.807609,0 days 00:00:00.634973,0.4,2,0.9,3.39409389576032e-06,0.00010608629920782375,80,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5204133160506861,2023-08-23 23:32:13.433815,2023-08-23 23:32:15.260426,0 days 00:00:01.826611,1.0,2,0.7000000000000001,7.041168154589507e-05,4.098317578912898e-05,70,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
