,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5170593930665492,2023-08-23 23:34:49.074255,2023-08-23 23:34:50.655703,0 days 00:00:01.581448,0.6000000000000001,1,0.5,5.492007968391675e-08,1.1336052463713444e-05,30,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5193186258215388,2023-08-23 23:34:49.075332,2023-08-23 23:34:49.420161,0 days 00:00:00.344829,0.4,3,0.8,2.318871364074882e-06,3.081726901694063e-05,20,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5282115840238468,2023-08-23 23:34:49.077517,2023-08-23 23:34:52.023403,0 days 00:00:02.945886,0.7000000000000001,3,1.0,0.39807972992639945,9.613782535031166e-07,30,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5315082818091248,2023-08-23 23:34:49.078621,2023-08-23 23:34:49.947821,0 days 00:00:00.869200,0.7000000000000001,1,0.4,3.9528620274436796e-06,2.0543767665970816e-05,40,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5306526523912557,2023-08-23 23:34:49.079559,2023-08-23 23:34:53.598824,0 days 00:00:04.519265,0.8,1,0.7000000000000001,2.273299552826801e-06,1.5237168555037495e-06,20,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5233901909281999,2023-08-23 23:34:49.080348,2023-08-23 23:34:51.364172,0 days 00:00:02.283824,0.7000000000000001,2,0.7000000000000001,0.01835171848710625,5.369068988722623e-06,40,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5273269620673818,2023-08-23 23:34:49.081442,2023-08-23 23:34:50.702417,0 days 00:00:01.620975,0.4,1,1.0,6.298267423032909e-06,1.0748731942994378e-08,40,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.517953332251161,2023-08-23 23:34:49.082045,2023-08-23 23:34:50.950341,0 days 00:00:01.868296,0.8,3,0.7000000000000001,2.7834258387091217e-08,4.584987466381253e-06,50,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5204338266106718,2023-08-23 23:34:49.470193,2023-08-23 23:34:54.368176,0 days 00:00:04.897983,0.6000000000000001,1,0.6000000000000001,0.23690905455970787,0.016331699200398942,10,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5194549339678896,2023-08-23 23:34:49.995368,2023-08-23 23:34:52.219901,0 days 00:00:02.224533,0.4,1,0.6000000000000001,4.427516817567811e-07,4.465933168361356e-06,20,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5238427687738778,2023-08-23 23:34:50.696716,2023-08-23 23:34:53.471804,0 days 00:00:02.775088,0.8,3,0.6000000000000001,1.2745510558408937e-07,0.0027668465305745824,10,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5127884807962365,2023-08-23 23:34:50.749260,2023-08-23 23:34:51.889660,0 days 00:00:01.140400,0.6000000000000001,1,0.7000000000000001,0.005848923491923126,0.028399455182562566,80,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5195557701593433,2023-08-23 23:34:50.995027,2023-08-23 23:34:52.789833,0 days 00:00:01.794806,0.5,1,0.6000000000000001,0.0007801464750480918,2.937745005673482e-07,40,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5258301671059282,2023-08-23 23:34:51.406147,2023-08-23 23:34:52.485815,0 days 00:00:01.079668,0.4,1,0.9,0.009725868476511862,0.0002835362995090011,60,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5219003939916276,2023-08-23 23:34:51.937356,2023-08-23 23:34:53.793219,0 days 00:00:01.855863,0.6000000000000001,1,0.5,0.051730326188313455,5.840206210045187e-07,50,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5358998126325534,2023-08-23 23:34:52.063482,2023-08-23 23:34:52.942589,0 days 00:00:00.879107,0.5,2,0.6000000000000001,0.673058062255808,1.3741827725307312e-06,100,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5084169007674029,2023-08-23 23:34:52.263159,2023-08-23 23:34:53.373739,0 days 00:00:01.110580,0.6000000000000001,3,1.0,0.005201973635812389,2.333678849581549e-08,70,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5267897112586735,2023-08-23 23:34:52.534496,2023-08-23 23:34:53.943588,0 days 00:00:01.409092,1.0,2,0.4,8.071533002945956e-05,0.5253915842176972,100,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.528729972208233,2023-08-23 23:34:52.835431,2023-08-23 23:34:56.888937,0 days 00:00:04.053506,1.0,2,0.4,0.8094658646137641,0.0008468035882170044,10,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5383785346564202,2023-08-23 23:34:52.987413,2023-08-23 23:34:54.612318,0 days 00:00:01.624905,1.0,2,0.4,4.7477074392267906e-05,0.0005142883126590228,100,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5383785346564202,2023-08-23 23:34:53.433161,2023-08-23 23:34:55.168839,0 days 00:00:01.735678,1.0,2,0.4,7.427268032340682e-05,0.0003322564571561543,100,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5243732660346692,2023-08-23 23:34:53.547865,2023-08-23 23:34:55.279278,0 days 00:00:01.731413,1.0,2,0.4,6.131151822308224e-05,0.8302074491862313,100,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5272744526258825,2023-08-23 23:34:53.643594,2023-08-23 23:34:55.344466,0 days 00:00:01.700872,0.9,2,0.4,6.028939400344592e-05,0.0003186031345457384,100,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5247864427774845,2023-08-23 23:34:53.841739,2023-08-23 23:34:54.433426,0 days 00:00:00.591687,1.0,2,0.4,7.455857729314435e-05,0.00014214193206607656,100,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5200062862110003,2023-08-23 23:34:53.986280,2023-08-23 23:34:54.956839,0 days 00:00:00.970559,1.0,2,0.4,0.846167875838441,0.00022892127744844308,100,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5324881998470178,2023-08-23 23:34:54.410364,2023-08-23 23:34:54.701611,0 days 00:00:00.291247,1.0,2,0.4,0.8232268334426467,0.00021053806706414476,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5253496297653762,2023-08-23 23:34:54.502916,2023-08-23 23:34:56.418193,0 days 00:00:01.915277,0.9,2,0.5,0.5800409047746287,4.305693608828193e-05,80,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.527684086419085,2023-08-23 23:34:54.654351,2023-08-23 23:34:55.948000,0 days 00:00:01.293649,0.9,2,0.5,0.00037081036881641324,0.0001770466272825958,90,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5171404643285478,2023-08-23 23:34:54.758750,2023-08-23 23:34:56.245681,0 days 00:00:01.486931,0.9,2,0.5,0.7076114098128462,0.00042518881692974993,90,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5272744526258826,2023-08-23 23:34:55.002530,2023-08-23 23:34:56.521046,0 days 00:00:01.518516,0.9,2,0.5,0.07999784196573742,0.0010588379655260087,90,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5210015537363348,2023-08-23 23:34:55.213776,2023-08-23 23:34:56.802489,0 days 00:00:01.588713,0.9,2,0.5,0.0005369312813419133,3.3326243196980985e-05,80,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5229223207707301,2023-08-23 23:34:55.324179,2023-08-23 23:34:57.120758,0 days 00:00:01.796579,0.9,2,0.5,0.0010082830341943266,0.0008021639421094244,80,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5210015537363348,2023-08-23 23:34:55.389273,2023-08-23 23:34:57.465134,0 days 00:00:02.075861,0.9,2,0.5,0.00048552997129213077,5.304793333090734e-05,80,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5229223207707301,2023-08-23 23:34:55.998286,2023-08-23 23:34:57.924908,0 days 00:00:01.926622,0.9,2,0.5,0.0009395559371439217,0.001408485938681739,80,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5267402772803247,2023-08-23 23:34:56.289949,2023-08-23 23:34:57.370150,0 days 00:00:01.080201,0.5,2,0.8,0.0010720587555519655,4.5959615782158234e-05,80,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5374084851197971,2023-08-23 23:34:56.462119,2023-08-23 23:34:57.612550,0 days 00:00:01.150431,0.5,2,0.5,0.0011132145823136111,0.0023673644689037186,80,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5267402772803247,2023-08-23 23:34:56.564915,2023-08-23 23:34:57.718391,0 days 00:00:01.153476,0.5,2,0.8,0.0017080351349878793,3.5640765831789746e-05,80,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5233826340138554,2023-08-23 23:34:56.847512,2023-08-23 23:34:58.264047,0 days 00:00:01.416535,0.5,2,0.6000000000000001,1.8988273581177097e-05,6.222577887031263e-05,70,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5344565452605344,2023-08-23 23:34:56.935358,2023-08-23 23:34:58.014008,0 days 00:00:01.078650,0.5,2,0.8,0.13095932924567097,5.675852636273756e-05,90,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5253460884284351,2023-08-23 23:34:57.165354,2023-08-23 23:34:58.346446,0 days 00:00:01.181092,0.5,2,0.6000000000000001,0.1371140092781134,8.556214890927405e-05,90,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5263140224176823,2023-08-23 23:34:57.414339,2023-08-23 23:34:58.587584,0 days 00:00:01.173245,0.5,2,0.4,0.12682476792936068,7.314537938627342e-05,90,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5274998600302334,2023-08-23 23:34:57.511168,2023-08-23 23:34:58.695166,0 days 00:00:01.183998,0.5,3,0.8,0.14358381893523592,1.2174727165423731e-05,90,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5272457940218485,2023-08-23 23:34:57.661819,2023-08-23 23:34:58.832188,0 days 00:00:01.170369,0.5,3,0.6000000000000001,1.799009952404446e-05,1.0385194114421051e-05,90,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5272457940218485,2023-08-23 23:34:57.762095,2023-08-23 23:34:58.941067,0 days 00:00:01.178972,0.5,3,0.6000000000000001,1.2103896365926085e-05,0.002885577473010617,90,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5272457940218485,2023-08-23 23:34:57.968708,2023-08-23 23:34:59.147046,0 days 00:00:01.178338,0.5,3,0.6000000000000001,1.429477267286637e-05,1.4203429519848604e-05,90,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5131958682110817,2023-08-23 23:34:58.063889,2023-08-23 23:35:00.374272,0 days 00:00:02.310383,0.8,3,0.6000000000000001,1.8814809699824187e-05,0.00484782470888886,70,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.514241495018904,2023-08-23 23:34:58.307501,2023-08-23 23:34:59.697917,0 days 00:00:01.390416,0.7000000000000001,3,0.6000000000000001,0.00026884428018390425,8.551153990200952e-06,90,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5190476812248416,2023-08-23 23:34:58.408642,2023-08-23 23:35:00.026529,0 days 00:00:01.617887,0.7000000000000001,3,0.4,0.00022790637267068893,1.4569315470804028e-05,70,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5368414891208102,2023-08-23 23:34:58.632503,2023-08-23 23:34:59.529548,0 days 00:00:00.897045,0.4,3,0.9,0.03024314537787951,1.4590893915295065e-05,90,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5221034997275955,2023-08-23 23:34:58.737125,2023-08-23 23:34:59.872707,0 days 00:00:01.135582,0.4,3,0.9,0.02818152749850658,0.003632729737337577,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5311334429641257,2023-08-23 23:34:58.874281,2023-08-23 23:34:59.966149,0 days 00:00:01.091868,0.4,2,0.9,0.02159668273631126,0.0031813776552418126,70,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5382700179479621,2023-08-23 23:34:58.985845,2023-08-23 23:35:00.208817,0 days 00:00:01.222972,0.4,2,0.9,0.032630509469017244,2.1662257953098597e-06,70,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.523402637088277,2023-08-23 23:34:59.189978,2023-08-23 23:35:00.850290,0 days 00:00:01.660312,0.7000000000000001,2,0.9,0.00021821118536926318,1.8276228675335106e-06,70,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5314776876589441,2023-08-23 23:34:59.575311,2023-08-23 23:35:01.002164,0 days 00:00:01.426853,0.4,3,0.9,0.024212924213531217,2.2374695512092887e-06,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.5374188391929524,2023-08-23 23:34:59.742478,2023-08-23 23:35:00.728839,0 days 00:00:00.986361,0.4,2,0.9,0.022473309131195378,2.9475856043497444e-06,100,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.533545507960046,2023-08-23 23:34:59.928819,2023-08-23 23:35:01.101308,0 days 00:00:01.172489,0.4,2,0.9,0.03693422219812461,2.0376716522165877e-06,100,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.508932424691137,2023-08-23 23:35:00.012264,2023-08-23 23:35:01.818044,0 days 00:00:01.805780,0.8,1,0.7000000000000001,0.002412307916681564,4.176121132407403e-06,100,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.525793017898281,2023-08-23 23:35:00.079102,2023-08-23 23:35:01.703401,0 days 00:00:01.624299,0.8,1,1.0,0.003285137626642833,3.2465520183328668e-06,100,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.5258142467296762,2023-08-23 23:35:00.254627,2023-08-23 23:35:01.476850,0 days 00:00:01.222223,0.4,2,1.0,0.03565002220077187,1.249696898909399e-06,60,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.5315222663756274,2023-08-23 23:35:00.416932,2023-08-23 23:35:01.752164,0 days 00:00:01.335232,0.4,2,1.0,0.31496543628062756,2.214449217613819e-06,60,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5132594304516434,2023-08-23 23:35:00.782695,2023-08-23 23:35:02.051180,0 days 00:00:01.268485,0.4,2,0.9,0.00855805939049889,3.229589571304109e-06,60,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.5345216711711964,2023-08-23 23:35:00.894856,2023-08-23 23:35:02.384799,0 days 00:00:01.489943,0.4,2,1.0,0.0030546545882074593,3.237760670999934e-06,60,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5345216711711964,2023-08-23 23:35:01.046673,2023-08-23 23:35:02.327829,0 days 00:00:01.281156,0.4,2,1.0,0.002768510441601492,4.3048638652110775e-07,60,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.5116478570783831,2023-08-23 23:35:01.152589,2023-08-23 23:35:02.502351,0 days 00:00:01.349762,0.4,1,1.0,0.011326517131289258,3.898093879035086e-06,60,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5219378504515999,2023-08-23 23:35:01.520098,2023-08-23 23:35:02.600582,0 days 00:00:01.080484,0.4,1,1.0,0.010214486259751661,5.530076212441612e-06,100,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.5334541333184083,2023-08-23 23:35:01.748282,2023-08-23 23:35:03.215846,0 days 00:00:01.467564,0.4,2,1.0,0.015656006946069344,2.1927606950029856e-05,60,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
66,66,0.5310914603676715,2023-08-23 23:35:01.796295,2023-08-23 23:35:03.046119,0 days 00:00:01.249824,0.4,2,0.7000000000000001,0.010892282376285157,6.752055041059792e-07,100,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
67,67,0.5374188391929524,2023-08-23 23:35:01.867952,2023-08-23 23:35:02.878549,0 days 00:00:01.010597,0.4,2,0.9,0.013323662235865806,0.00013907648324480018,100,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
68,68,0.5166473495438617,2023-08-23 23:35:02.096914,2023-08-23 23:35:03.341976,0 days 00:00:01.245062,0.6000000000000001,2,0.8,0.011065558471133436,5.662451094400726e-07,100,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
69,69,0.5166221039998675,2023-08-23 23:35:02.372520,2023-08-23 23:35:03.890425,0 days 00:00:01.517905,0.6000000000000001,2,0.8,0.31117394725447545,9.568699118668553e-07,100,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
70,70,0.5166473495438617,2023-08-23 23:35:02.441662,2023-08-23 23:35:03.832607,0 days 00:00:01.390945,0.6000000000000001,2,0.8,0.014566988054583676,8.823354453216748e-07,100,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
71,71,0.5245558336552945,2023-08-23 23:35:02.545682,2023-08-23 23:35:03.716313,0 days 00:00:01.170631,0.6000000000000001,2,0.4,0.05362710125056779,2.165137724755491e-05,100,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
72,72,0.5135614050596684,2023-08-23 23:35:02.646073,2023-08-23 23:35:04.012201,0 days 00:00:01.366128,0.6000000000000001,2,0.4,0.015320984364985153,2.089670576624691e-05,100,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
73,73,0.5253058020011467,2023-08-23 23:35:02.921801,2023-08-23 23:35:04.178976,0 days 00:00:01.257175,0.6000000000000001,2,0.8,0.06464672413537806,2.092086949178239e-05,100,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
74,74,0.5262800040198503,2023-08-23 23:35:03.089086,2023-08-23 23:35:04.312048,0 days 00:00:01.222962,0.6000000000000001,2,0.9,0.05896575086425098,0.00011074440596542063,100,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
75,75,0.5262800040198503,2023-08-23 23:35:03.260977,2023-08-23 23:35:04.657625,0 days 00:00:01.396648,0.6000000000000001,2,0.9,0.058132064559327,0.00047523750564876515,100,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
