,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5350320760564748,2023-08-23 23:35:35.326230,2023-08-23 23:35:37.652784,0 days 00:00:02.326554,0.4,2,0.9,6.427992860602135e-06,0.001770150466473478,30,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5408595234805855,2023-08-23 23:35:35.328342,2023-08-23 23:35:41.174252,0 days 00:00:05.845910,0.9,2,0.6000000000000001,2.6423787565905737e-06,1.1153203320955807e-05,10,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5463314126704959,2023-08-23 23:35:35.330912,2023-08-23 23:35:37.384311,0 days 00:00:02.053399,1.0,1,0.5,2.388320289269277e-05,6.230478053713245e-07,70,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5515675982408852,2023-08-23 23:35:35.331730,2023-08-23 23:35:36.144663,0 days 00:00:00.812933,0.4,1,0.6000000000000001,0.0002765008590854512,0.5021898744737703,60,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5493076374584613,2023-08-23 23:35:35.334403,2023-08-23 23:35:37.492848,0 days 00:00:02.158445,0.8,2,1.0,8.448850326633384e-07,1.8699260601328146e-08,50,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5412278198125597,2023-08-23 23:35:35.335169,2023-08-23 23:35:36.540184,0 days 00:00:01.205015,0.8,2,0.7000000000000001,0.5015862761949557,1.6693733640593546e-08,80,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5542151535313409,2023-08-23 23:35:35.335825,2023-08-23 23:35:36.671169,0 days 00:00:01.335344,0.8,1,0.7000000000000001,0.0030743707819491815,0.0004943907022447294,80,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5507981953843484,2023-08-23 23:35:35.337129,2023-08-23 23:35:38.437128,0 days 00:00:03.099999,0.9,1,0.7000000000000001,0.0007185452825216496,8.988906366368685e-05,40,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.555152883392086,2023-08-23 23:35:36.195933,2023-08-23 23:35:37.107110,0 days 00:00:00.911177,0.8,2,0.4,0.05060461907518125,2.867790321335345e-05,20,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.543159492150191,2023-08-23 23:35:36.584538,2023-08-23 23:35:40.529499,0 days 00:00:03.944961,0.6000000000000001,1,0.6000000000000001,2.5464678035152057e-05,3.153565161497781e-06,20,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5527853178489809,2023-08-23 23:35:36.723926,2023-08-23 23:35:38.089672,0 days 00:00:01.365746,0.8,2,0.4,4.847174987653014e-07,2.0730185491232668e-07,100,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5574332079767826,2023-08-23 23:35:37.161303,2023-08-23 23:35:38.622444,0 days 00:00:01.461141,0.4,1,0.8,3.6863396890108414e-05,3.28333142713611e-06,60,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5512733589467481,2023-08-23 23:35:37.433233,2023-08-23 23:35:38.881329,0 days 00:00:01.448096,0.6000000000000001,2,0.7000000000000001,0.05256508193058565,5.0311021815925285e-06,70,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5609010101283401,2023-08-23 23:35:37.538780,2023-08-23 23:35:38.152599,0 days 00:00:00.613819,0.6000000000000001,1,0.6000000000000001,5.172675639366117e-05,3.1028008417540573e-06,50,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5474248118766392,2023-08-23 23:35:37.699671,2023-08-23 23:35:39.840911,0 days 00:00:02.141240,0.9,1,0.7000000000000001,0.0001370734120593057,0.0015705378557734422,70,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5481729024375845,2023-08-23 23:35:38.139913,2023-08-23 23:35:40.398470,0 days 00:00:02.258557,0.9,1,0.5,3.7982216705128e-08,0.00018089711473905134,60,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5501528770159527,2023-08-23 23:35:38.200256,2023-08-23 23:35:39.356373,0 days 00:00:01.156117,0.5,1,0.4,1.837461289481158e-08,0.0032545627311565822,70,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5502170998594036,2023-08-23 23:35:38.485636,2023-08-23 23:35:39.071639,0 days 00:00:00.586003,0.6000000000000001,3,0.9,2.2208711109645676e-08,4.282185971028569e-06,10,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5610750535617235,2023-08-23 23:35:38.665749,2023-08-23 23:35:39.548132,0 days 00:00:00.882383,0.6000000000000001,3,0.8,1.757744899576093e-08,3.345081528902299e-06,10,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5606078960101223,2023-08-23 23:35:38.941352,2023-08-23 23:35:39.432306,0 days 00:00:00.490954,0.6000000000000001,3,0.9,1.021840417583327e-08,2.243950736893309e-06,10,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5559730837775938,2023-08-23 23:35:39.117227,2023-08-23 23:35:41.008666,0 days 00:00:01.891439,0.5,1,0.8,8.462698373951437e-05,6.801916964086298e-07,50,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5505256387757311,2023-08-23 23:35:39.400320,2023-08-23 23:35:41.059348,0 days 00:00:01.659028,0.6000000000000001,3,0.8,2.717935801801826e-05,5.753956429070352e-07,50,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5452484353418936,2023-08-23 23:35:39.482257,2023-08-23 23:35:41.719028,0 days 00:00:02.236771,0.6000000000000001,3,1.0,3.490819001369526e-07,2.2491301908871663e-07,10,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5473754086801482,2023-08-23 23:35:39.602980,2023-08-23 23:35:41.941823,0 days 00:00:02.338843,0.7000000000000001,3,0.6000000000000001,3.4213252530633646e-07,1.5549099962506248e-07,30,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
