,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5349315809532889,2023-08-23 23:36:20.820439,2023-08-23 23:36:22.798770,0 days 00:00:01.978331,0.6000000000000001,1,0.7000000000000001,1.359666454107577e-06,1.333614088138366e-08,40,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5368140754948854,2023-08-23 23:36:20.822695,2023-08-23 23:36:23.801347,0 days 00:00:02.978652,0.8,1,0.8,3.6637603033913815e-07,7.769195242557273e-06,30,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5326563507414571,2023-08-23 23:36:20.824993,2023-08-23 23:36:22.450107,0 days 00:00:01.625114,1.0,2,1.0,3.051938637169151e-05,7.2596367751771815e-06,80,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.540975723115765,2023-08-23 23:36:20.825977,2023-08-23 23:36:21.703924,0 days 00:00:00.877947,0.5,1,1.0,0.0007546353073034677,4.2962086624965144e-07,70,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5468796750643288,2023-08-23 23:36:20.831735,2023-08-23 23:36:21.645973,0 days 00:00:00.814238,0.4,2,0.4,1.0294601653321033e-07,5.947149211066874e-07,90,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5350949709421364,2023-08-23 23:36:20.832912,2023-08-23 23:36:21.973997,0 days 00:00:01.141085,0.6000000000000001,3,0.6000000000000001,0.7779733917809205,0.047979223474809124,70,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5333098880816156,2023-08-23 23:36:20.836763,2023-08-23 23:36:22.295881,0 days 00:00:01.459118,0.8,1,0.6000000000000001,0.0260409671820205,2.5635555432013715e-08,20,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5322629969418959,2023-08-23 23:36:20.838123,2023-08-23 23:36:22.861805,0 days 00:00:02.023682,0.4,1,0.7000000000000001,4.458965081480568e-08,0.03426570210944273,30,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5158342852663172,2023-08-23 23:36:21.697304,2023-08-23 23:36:27.216910,0 days 00:00:05.519606,0.8,1,0.4,0.15526706591342962,0.003248750151494915,10,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.529010460446437,2023-08-23 23:36:21.748618,2023-08-23 23:36:23.622324,0 days 00:00:01.873706,0.8,1,0.8,1.680976962777446e-06,0.5653755881081451,60,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
