,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5338498072319564,2023-08-23 23:37:12.059896,2023-08-23 23:37:16.067064,0 days 00:00:04.007168,0.9,3,1.0,1.8835253025395685e-05,0.0001912035386698356,30,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.525607913434724,2023-08-23 23:37:12.061963,2023-08-23 23:37:13.430567,0 days 00:00:01.368604,0.9,2,0.6000000000000001,0.01939336536556637,1.3916901082127505e-08,90,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.527144223208766,2023-08-23 23:37:12.064490,2023-08-23 23:37:12.875707,0 days 00:00:00.811217,0.9,3,0.4,0.5792501215822272,0.09119717632133847,80,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5218664190944949,2023-08-23 23:37:12.066122,2023-08-23 23:37:13.191480,0 days 00:00:01.125358,0.6000000000000001,1,0.5,0.004543168099791757,0.040745250233730775,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.516225041695866,2023-08-23 23:37:12.068094,2023-08-23 23:37:15.466541,0 days 00:00:03.398447,0.5,3,0.7000000000000001,0.10503065454141663,6.25204882291491e-05,20,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5222048906241243,2023-08-23 23:37:12.068930,2023-08-23 23:37:12.702542,0 days 00:00:00.633612,0.5,3,0.8,9.618119061314545e-07,0.000813727329452687,10,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5236006198060011,2023-08-23 23:37:12.069910,2023-08-23 23:37:14.094498,0 days 00:00:02.024588,0.9,1,1.0,0.4020394811157783,5.0190249138433e-06,60,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5194454317238459,2023-08-23 23:37:12.070949,2023-08-23 23:37:16.466148,0 days 00:00:04.395199,0.5,1,1.0,0.4233741915098768,0.01600622947113986,10,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5272395828470595,2023-08-23 23:37:12.751431,2023-08-23 23:37:15.078636,0 days 00:00:02.327205,0.9,2,0.5,0.2581368793787218,5.025791065739258e-08,50,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5267408332265441,2023-08-23 23:37:12.917456,2023-08-23 23:37:15.419858,0 days 00:00:02.502402,1.0,3,1.0,1.945814758538973e-05,0.00014430774980028508,50,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5190062605315745,2023-08-23 23:37:13.248501,2023-08-23 23:37:14.269707,0 days 00:00:01.021206,0.8,2,0.5,0.024547565196348525,2.480540279091855e-06,100,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5353797596161143,2023-08-23 23:37:13.475180,2023-08-23 23:37:15.630415,0 days 00:00:02.155235,0.4,1,0.7000000000000001,1.8577151839869644e-06,1.140889762690394e-07,20,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5288174542596666,2023-08-23 23:37:14.146027,2023-08-23 23:37:16.804655,0 days 00:00:02.658628,0.7000000000000001,2,0.7000000000000001,0.002255729602833329,1.4373294492065204e-07,40,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5290447693172629,2023-08-23 23:37:14.313166,2023-08-23 23:37:18.947104,0 days 00:00:04.633938,0.7000000000000001,3,0.9,0.0002981899427075093,0.0007784250452877863,10,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5294765543037578,2023-08-23 23:37:15.124388,2023-08-23 23:37:16.004858,0 days 00:00:00.880470,0.5,1,1.0,2.5561701423375418e-08,0.044080469371350524,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5303261977573904,2023-08-23 23:37:15.460817,2023-08-23 23:37:17.087822,0 days 00:00:01.627005,0.8,2,0.7000000000000001,3.6800618502926663e-05,3.4716253192127937e-07,80,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.526610003322471,2023-08-23 23:37:15.514283,2023-08-23 23:37:18.032225,0 days 00:00:02.517942,0.6000000000000001,2,0.5,0.0034368194968012315,0.0011097701543534078,10,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.530478358760081,2023-08-23 23:37:15.674992,2023-08-23 23:37:17.624625,0 days 00:00:01.949633,0.4,1,0.8,2.1787002027947156e-08,2.548791540888069e-07,30,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5399326923683367,2023-08-23 23:37:16.051988,2023-08-23 23:37:17.859990,0 days 00:00:01.808002,0.4,1,0.8,1.2441145670384858e-08,0.3551829837051419,30,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5291423902894491,2023-08-23 23:37:16.123470,2023-08-23 23:37:19.489207,0 days 00:00:03.365737,0.7000000000000001,1,0.8,8.208645298168473e-05,5.527355671035903e-07,30,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5218750299087949,2023-08-23 23:37:16.509495,2023-08-23 23:37:19.548771,0 days 00:00:03.039276,0.7000000000000001,2,0.8,5.209514011285395e-05,3.272935168705566e-07,30,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5243081232492997,2023-08-23 23:37:16.856916,2023-08-23 23:37:18.694396,0 days 00:00:01.837480,0.4,2,0.8,4.802326266676949e-05,6.633894878613749e-07,30,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5323063952816276,2023-08-23 23:37:17.131761,2023-08-23 23:37:18.578711,0 days 00:00:01.446950,0.4,3,0.8,3.216883459893392e-06,4.515221113259193e-06,30,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5218089471466276,2023-08-23 23:37:17.675762,2023-08-23 23:37:20.139608,0 days 00:00:02.463846,0.7000000000000001,3,0.9,3.2841279791463232e-06,0.601919303007826,30,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5223092970657064,2023-08-23 23:37:17.903153,2023-08-23 23:37:19.642241,0 days 00:00:01.739088,0.4,1,0.8,2.8792943853604876e-07,0.6183118384445768,30,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5281991670220161,2023-08-23 23:37:18.076201,2023-08-23 23:37:19.779439,0 days 00:00:01.703238,0.4,1,0.8,6.224777422625361e-07,0.9570596318306596,40,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5286110984658807,2023-08-23 23:37:18.624445,2023-08-23 23:37:19.885146,0 days 00:00:01.260701,0.4,1,0.9,1.2969390971016006e-07,0.9145840599698165,60,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5266440437376627,2023-08-23 23:37:18.737170,2023-08-23 23:37:20.472240,0 days 00:00:01.735070,0.6000000000000001,1,0.9,1.5098637467889914e-07,0.5619338610143652,60,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5218431310232657,2023-08-23 23:37:18.987398,2023-08-23 23:37:21.061693,0 days 00:00:02.074295,0.6000000000000001,1,0.9,2.874439290662974e-07,0.8797560696393051,40,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
