,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6089201746267681,2023-08-24 14:27:50.594005,2023-08-24 14:27:53.116375,0 days 00:00:02.522370,0.6000000000000001,3,1.0,4.8019459299937354e-06,1.2981022186241141e-06,30,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6189485659709543,2023-08-24 14:27:50.595885,2023-08-24 14:27:51.407956,0 days 00:00:00.812071,0.4,2,0.5,0.14020965461470353,4.228621646612609e-06,50,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6205002206415808,2023-08-24 14:27:50.598474,2023-08-24 14:27:51.476203,0 days 00:00:00.877729,0.8,1,0.9,0.00035654853971587213,0.14013685267071835,100,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6154245177996434,2023-08-24 14:27:50.602360,2023-08-24 14:27:52.310437,0 days 00:00:01.708077,0.9,2,0.6000000000000001,1.6266622298190129e-07,0.10500989816255137,60,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6194951117527376,2023-08-24 14:27:50.605188,2023-08-24 14:27:51.184756,0 days 00:00:00.579568,0.5,3,0.7000000000000001,7.123065232270983e-08,0.004752139797178629,90,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6192993337412086,2023-08-24 14:27:50.609743,2023-08-24 14:27:51.894210,0 days 00:00:01.284467,0.9,1,0.6000000000000001,0.06535703666668152,2.141643630794141e-06,90,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6162223274601817,2023-08-24 14:27:50.612915,2023-08-24 14:27:52.367840,0 days 00:00:01.754925,0.9,2,0.5,0.029537118712760088,5.96431530595829e-06,60,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6170559872671098,2023-08-24 14:27:50.615983,2023-08-24 14:27:52.037967,0 days 00:00:01.421984,0.4,2,0.8,1.3046491907825906e-07,1.704698117687981e-08,50,212,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6138932075375723,2023-08-24 14:27:51.226401,2023-08-24 14:27:55.571778,0 days 00:00:04.345377,0.4,3,0.7000000000000001,0.013911339197260023,0.0006500695755528865,10,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6165524902795778,2023-08-24 14:27:51.449999,2023-08-24 14:27:52.669314,0 days 00:00:01.219315,0.6000000000000001,1,0.5,0.0005846049822278957,0.008968564508572729,90,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
