,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7518135006085572,2023-08-24 14:28:44.611252,2023-08-24 14:28:46.349123,0 days 00:00:01.737871,0.4,3,0.7000000000000001,0.0006028349712756945,2.4942132312591335e-07,30,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7502824223821347,2023-08-24 14:28:44.613426,2023-08-24 14:28:46.038070,0 days 00:00:01.424644,0.9,3,0.4,7.818028765054994e-08,8.306153640593104e-07,70,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7502271860345098,2023-08-24 14:28:44.615361,2023-08-24 14:28:47.088673,0 days 00:00:02.473312,0.8,3,0.7000000000000001,0.02849615549414912,0.12162475309799853,40,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7518135006085572,2023-08-24 14:28:44.618981,2023-08-24 14:28:46.231514,0 days 00:00:01.612533,0.4,3,0.4,3.290118005452341e-08,0.0021541317248610524,30,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7502824223821347,2023-08-24 14:28:44.619865,2023-08-24 14:28:45.295523,0 days 00:00:00.675658,0.6000000000000001,1,0.8,2.196690279468875e-06,1.721502849487163e-07,40,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7472217026132177,2023-08-24 14:28:44.621610,2023-08-24 14:28:47.595440,0 days 00:00:02.973830,0.8,3,0.6000000000000001,1.6535682014763562e-07,1.0766810525845205e-07,10,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7478420985591513,2023-08-24 14:28:44.623817,2023-08-24 14:28:46.438080,0 days 00:00:01.814263,0.7000000000000001,2,0.5,1.505518442860571e-07,0.07976893207475119,40,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7542519795059608,2023-08-24 14:28:44.624947,2023-08-24 14:28:45.046215,0 days 00:00:00.421268,0.8,2,0.7000000000000001,2.5423658071817383e-05,2.290518139506191e-06,50,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7485522176014313,2023-08-24 14:28:45.088508,2023-08-24 14:28:48.012377,0 days 00:00:02.923869,0.9,1,0.6000000000000001,6.862197920897174e-05,8.92844446273682e-05,40,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7502824223821347,2023-08-24 14:28:45.346187,2023-08-24 14:28:46.681292,0 days 00:00:01.335105,0.8,3,1.0,0.00018100160042281018,0.012822759738663413,70,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
