,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5744335058190582,2023-08-24 13:53:58.415595,2023-08-24 13:54:02.282899,0 days 00:00:03.867304,0.5,3,0.8,2.125392027195561e-07,0.031120113997740086,20,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5803306827213992,2023-08-24 13:53:58.418044,2023-08-24 13:53:59.618622,0 days 00:00:01.200578,0.6000000000000001,2,0.8,0.017256063873639756,0.01076762495800352,90,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5681746433849383,2023-08-24 13:53:58.420463,2023-08-24 13:53:59.877810,0 days 00:00:01.457347,0.5,3,0.6000000000000001,0.22035359576112012,2.7665451299611817e-05,50,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5634965682568152,2023-08-24 13:53:58.421428,2023-08-24 13:53:59.242384,0 days 00:00:00.820956,0.5,3,1.0,0.023729288264554563,0.022326847243347953,100,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5768480830546425,2023-08-24 13:53:58.423571,2023-08-24 13:54:00.783220,0 days 00:00:02.359649,0.7000000000000001,1,0.9,2.5940982712074517e-08,1.107849434629601e-06,40,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5786820675975791,2023-08-24 13:53:58.424846,2023-08-24 13:53:58.819236,0 days 00:00:00.394390,0.8,1,1.0,2.64668613383699e-06,0.0001235502172450066,90,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.564623276152035,2023-08-24 13:53:58.425501,2023-08-24 13:54:00.993917,0 days 00:00:02.568416,0.5,1,0.8,2.687372705369761e-08,7.018019394091448e-06,30,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5774584640901681,2023-08-24 13:53:58.427031,2023-08-24 13:53:59.146586,0 days 00:00:00.719555,0.4,2,0.4,2.434444596933852e-07,1.53981211466085e-07,100,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5721355020659802,2023-08-24 13:53:58.863846,2023-08-24 13:54:00.465279,0 days 00:00:01.601433,0.9,1,1.0,0.0004115602184182723,0.0023985295268047126,10,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5764166337691425,2023-08-24 13:53:59.190717,2023-08-24 13:54:00.528886,0 days 00:00:01.338169,0.4,1,0.4,1.5036069328858351e-05,0.0029468746298590073,50,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5640842344384881,2023-08-24 13:53:59.302720,2023-08-24 13:54:03.776694,0 days 00:00:04.473974,1.0,3,1.0,3.1567766830601794e-06,0.0039048393896827242,30,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5724296874799069,2023-08-24 13:53:59.670546,2023-08-24 13:54:02.375330,0 days 00:00:02.704784,0.9,1,0.6000000000000001,2.2820004644583058e-07,1.4927943153289076e-08,50,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5756211994649314,2023-08-24 13:53:59.924807,2023-08-24 13:54:01.626889,0 days 00:00:01.702082,0.8,3,0.5,0.3453487293449382,0.8966322720698547,70,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5651076675010077,2023-08-24 13:54:00.512054,2023-08-24 13:54:01.822177,0 days 00:00:01.310123,0.5,2,0.5,0.07063322069228474,2.956646343022792e-06,70,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5686596935966177,2023-08-24 13:54:00.576075,2023-08-24 13:54:02.001272,0 days 00:00:01.425197,0.6000000000000001,1,0.5,1.83477972875553e-08,1.604381611969709e-07,80,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5845509253260154,2023-08-24 13:54:00.840088,2023-08-24 13:54:01.902307,0 days 00:00:01.062219,0.4,2,0.5,0.7369308961638827,5.024309860490405e-07,70,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5866655478693548,2023-08-24 13:54:01.038856,2023-08-24 13:54:01.263801,0 days 00:00:00.224945,0.4,2,0.5,4.819632270666614e-08,0.017119306199657944,10,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5828872522942743,2023-08-24 13:54:01.307802,2023-08-24 13:54:01.568938,0 days 00:00:00.261136,1.0,2,0.6000000000000001,1.0254851050867326e-06,0.4691712198861889,10,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5945198842518848,2023-08-24 13:54:01.613885,2023-08-24 13:54:02.174224,0 days 00:00:00.560339,1.0,2,0.6000000000000001,7.288294048583146e-07,0.4691641382924002,10,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5883943421215646,2023-08-24 13:54:01.680637,2023-08-24 13:54:02.645168,0 days 00:00:00.964531,1.0,2,0.6000000000000001,4.872257307304716e-07,0.8638036267945549,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5906952843985929,2023-08-24 13:54:01.867447,2023-08-24 13:54:03.038290,0 days 00:00:01.170843,1.0,2,0.6000000000000001,6.790070086137097e-07,0.38191999854201364,10,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5831106012486151,2023-08-24 13:54:01.966352,2023-08-24 13:54:03.388933,0 days 00:00:01.422581,0.4,2,0.6000000000000001,0.0003865328987557913,3.718806230164945e-08,70,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5712784000999271,2023-08-24 13:54:02.053773,2023-08-24 13:54:04.292766,0 days 00:00:02.238993,0.4,2,0.6000000000000001,0.0008001586910167835,2.3425152922981778e-08,30,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5950190529581327,2023-08-24 13:54:02.226017,2023-08-24 13:54:02.768933,0 days 00:00:00.542916,1.0,2,0.7000000000000001,2.2240911218962468e-07,0.0773025062564248,20,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5953316761163945,2023-08-24 13:54:02.330485,2023-08-24 13:54:02.554347,0 days 00:00:00.223862,1.0,2,0.7000000000000001,1.5145374347578721e-05,0.15375317131885208,30,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5778126427319903,2023-08-24 13:54:02.422755,2023-08-24 13:54:03.655438,0 days 00:00:01.232683,1.0,2,0.7000000000000001,2.6857442347253814e-05,0.18113213760685595,30,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5761916026464204,2023-08-24 13:54:02.600135,2023-08-24 13:54:04.036315,0 days 00:00:01.436180,1.0,2,0.7000000000000001,3.7646594008925826e-05,0.24096814776476821,30,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5761206942026691,2023-08-24 13:54:02.690825,2023-08-24 13:54:04.493943,0 days 00:00:01.803118,0.9,2,0.7000000000000001,3.3867282839493965e-05,0.1627455922127174,30,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5763378897107012,2023-08-24 13:54:02.813702,2023-08-24 13:54:04.242763,0 days 00:00:01.429061,1.0,2,0.7000000000000001,7.51427498379493e-06,0.11828979241999267,30,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5727592145733156,2023-08-24 13:54:03.084162,2023-08-24 13:54:04.740228,0 days 00:00:01.656066,0.9,2,0.7000000000000001,1.0158324973533638e-05,0.11951401013772917,30,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.57749948998007,2023-08-24 13:54:03.434720,2023-08-24 13:54:05.145241,0 days 00:00:01.710521,0.9,2,0.7000000000000001,5.601717936413878e-06,0.1290401043751932,30,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5705577135994295,2023-08-24 13:54:03.704431,2023-08-24 13:54:05.243604,0 days 00:00:01.539173,0.9,2,0.7000000000000001,4.05880098837596e-06,0.11379415336792523,30,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5713874541461105,2023-08-24 13:54:03.823696,2023-08-24 13:54:05.061251,0 days 00:00:01.237555,0.9,2,0.7000000000000001,5.542532218003322e-06,0.07927435963799533,20,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5707643354316174,2023-08-24 13:54:04.078699,2023-08-24 13:54:06.045245,0 days 00:00:01.966546,0.9,2,0.7000000000000001,5.394732238080244e-06,0.09977293521334069,20,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5766388130788928,2023-08-24 13:54:04.293711,2023-08-24 13:54:06.606005,0 days 00:00:02.312294,0.9,3,0.8,2.5964203442240897e-06,0.08089226220115409,20,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5673971119404104,2023-08-24 13:54:04.354745,2023-08-24 13:54:06.323511,0 days 00:00:01.968766,0.9,3,0.8,1.1183017939634395e-07,0.0741859580095003,20,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5619441177077529,2023-08-24 13:54:04.538810,2023-08-24 13:54:06.674927,0 days 00:00:02.136117,0.9,3,0.8,9.024261804042444e-08,0.06983501542749164,20,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5665739973627948,2023-08-24 13:54:04.786263,2023-08-24 13:54:08.916397,0 days 00:00:04.130134,0.8,3,0.8,8.758138620154434e-08,0.0623911272657607,20,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5894687099550181,2023-08-24 13:54:05.105445,2023-08-24 13:54:05.840206,0 days 00:00:00.734761,0.8,3,0.8,1.0497217255006096e-06,0.048353539227233434,20,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5809154944674142,2023-08-24 13:54:05.194326,2023-08-24 13:54:06.213864,0 days 00:00:01.019538,0.8,3,0.8,7.89960979847349e-08,0.045988558054196584,20,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5871978936270399,2023-08-24 13:54:05.289760,2023-08-24 13:54:06.455164,0 days 00:00:01.165404,0.8,3,0.8,1.0005174285962144e-07,0.04246473468555803,20,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5805327945321284,2023-08-24 13:54:05.886484,2023-08-24 13:54:06.989940,0 days 00:00:01.103456,1.0,3,0.8,9.068704227640806e-08,0.47377663009120846,20,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5640834290088022,2023-08-24 13:54:06.091462,2023-08-24 13:54:10.825667,0 days 00:00:04.734205,1.0,3,0.9,9.827456902449059e-08,0.02636140400902006,20,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5638445850790924,2023-08-24 13:54:06.264178,2023-08-24 13:54:09.353159,0 days 00:00:03.088981,1.0,2,0.9,1.3340241509376333e-07,0.4338600523367671,40,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5801918890053147,2023-08-24 13:54:06.368145,2023-08-24 13:54:07.497705,0 days 00:00:01.129560,1.0,2,0.6000000000000001,9.526153007868756e-07,0.9928527461344238,40,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.558318086407974,2023-08-24 13:54:06.498318,2023-08-24 13:54:09.476270,0 days 00:00:02.977952,1.0,2,0.6000000000000001,1.0998298114723747e-06,0.5353743382220861,40,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5966299927792347,2023-08-24 13:54:06.661436,2023-08-24 13:54:07.115168,0 days 00:00:00.453732,1.0,2,0.9,5.893733425959835e-07,0.9973451514715236,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5958663526796937,2023-08-24 13:54:06.725284,2023-08-24 13:54:06.915449,0 days 00:00:00.190165,1.0,2,0.9,6.742923566090261e-07,0.48943488673115676,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5980574821681823,2023-08-24 13:54:06.959367,2023-08-24 13:54:07.421882,0 days 00:00:00.462515,1.0,2,0.9,6.140083753612475e-07,0.31019675664136753,40,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5971253415259276,2023-08-24 13:54:07.033257,2023-08-24 13:54:07.665877,0 days 00:00:00.632620,1.0,2,0.9,6.3403261253511e-07,0.37828706085951264,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5953316761163945,2023-08-24 13:54:07.164097,2023-08-24 13:54:07.354407,0 days 00:00:00.190310,1.0,2,0.9,3.592296881324277e-07,0.013970053948275635,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5718616537812597,2023-08-24 13:54:07.403476,2023-08-24 13:54:10.432776,0 days 00:00:03.029300,0.7000000000000001,2,0.9,3.203126512083701e-07,0.010849251199188894,40,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5718616537812597,2023-08-24 13:54:07.467383,2023-08-24 13:54:10.742695,0 days 00:00:03.275312,0.7000000000000001,2,0.9,1.5265622952983911e-06,0.01106829238017181,40,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
