,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6208408953418028,2023-08-24 13:54:41.814530,2023-08-24 13:54:42.402494,0 days 00:00:00.587964,0.7000000000000001,1,0.7000000000000001,6.26794127079329e-08,2.3817881767455883e-07,10,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6098350322686827,2023-08-24 13:54:41.816944,2023-08-24 13:54:45.734949,0 days 00:00:03.918005,0.5,1,0.8,2.1590219461921565e-05,2.4861284087286746e-08,20,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6134024814731641,2023-08-24 13:54:41.819485,2023-08-24 13:54:42.943221,0 days 00:00:01.123736,0.7000000000000001,3,0.8,0.3834878691192166,3.833524741697053e-05,90,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.617928965750338,2023-08-24 13:54:41.821682,2023-08-24 13:54:42.758782,0 days 00:00:00.937100,0.5,2,1.0,9.754487813734065e-05,1.572830107131807e-07,90,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.624018341755568,2023-08-24 13:54:41.824300,2023-08-24 13:54:43.017511,0 days 00:00:01.193211,0.4,3,1.0,7.737905609609635e-06,1.28210247735602e-06,50,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6158663128116889,2023-08-24 13:54:41.827686,2023-08-24 13:54:44.578003,0 days 00:00:02.750317,0.7000000000000001,3,1.0,4.235730382307739e-05,9.540139340353942e-06,40,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6106345343162218,2023-08-24 13:54:41.833046,2023-08-24 13:54:43.404597,0 days 00:00:01.571551,0.9,1,0.5,4.2273562067075655e-05,0.0002030685161303412,100,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6155321782178218,2023-08-24 13:54:41.836537,2023-08-24 13:54:42.540333,0 days 00:00:00.703796,0.6000000000000001,3,0.5,1.3169271201615416e-06,4.01151975154947e-06,100,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.620425697448471,2023-08-24 13:54:42.448182,2023-08-24 13:54:45.053515,0 days 00:00:02.605333,0.8,1,1.0,3.920675169747223e-08,0.0006854326459465115,50,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6196361060204387,2023-08-24 13:54:42.586684,2023-08-24 13:54:43.896722,0 days 00:00:01.310038,0.8,1,0.9,7.944337530757203e-07,1.1947425572492485e-08,100,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6018886332809894,2023-08-24 13:54:42.801245,2023-08-24 13:54:45.267759,0 days 00:00:02.466514,1.0,3,0.6000000000000001,0.00021420193536201608,4.455669469849482e-06,60,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6151806876028797,2023-08-24 13:54:42.989095,2023-08-24 13:54:44.057066,0 days 00:00:01.067971,0.6000000000000001,3,0.4,0.4394082896734108,6.443241486502913e-06,100,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.618013724600244,2023-08-24 13:54:43.074730,2023-08-24 13:54:44.935051,0 days 00:00:01.860321,0.4,3,0.7000000000000001,2.0932546835038258e-06,5.6943570551216016e-06,30,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
