,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6236510427395009,2023-08-24 14:00:57.261193,2023-08-24 14:00:58.709840,0 days 00:00:01.448647,0.5,1,0.9,0.001627842026024055,0.0006384221396020927,40,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6235372275572105,2023-08-24 14:00:57.263588,2023-08-24 14:00:58.441770,0 days 00:00:01.178182,0.5,2,0.7000000000000001,3.396940804090014e-07,6.245987609114361e-05,50,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6287525558553595,2023-08-24 14:00:57.266049,2023-08-24 14:00:58.116806,0 days 00:00:00.850757,1.0,3,0.6000000000000001,0.004043896511632349,0.03637575095180854,70,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6038689848603318,2023-08-24 14:00:57.268098,2023-08-24 14:01:01.826725,0 days 00:00:04.558627,0.5,3,0.7000000000000001,1.0018969614086684e-07,0.00042124556909936686,10,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6282324550049173,2023-08-24 14:00:57.269957,2023-08-24 14:00:58.343045,0 days 00:00:01.073088,0.9,2,0.5,6.081960320797481e-05,0.41862169944634564,100,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6057093580611925,2023-08-24 14:00:57.273759,2023-08-24 14:01:00.548586,0 days 00:00:03.274827,0.9,1,0.8,0.00012066950978497166,0.0005730403351957783,20,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6097737978639056,2023-08-24 14:00:57.274757,2023-08-24 14:01:02.122422,0 days 00:00:04.847665,0.4,1,0.7000000000000001,5.780502683998143e-07,0.1182782212939922,10,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6192943657503313,2023-08-24 14:00:57.275606,2023-08-24 14:00:58.890818,0 days 00:00:01.615212,0.8,3,0.8,2.339766924777107e-06,8.920931009079806e-07,70,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6260909686364595,2023-08-24 14:00:58.171447,2023-08-24 14:01:00.047168,0 days 00:00:01.875721,0.6000000000000001,1,0.9,0.0009517206227042574,3.133556761943937e-08,40,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6414313669367322,2023-08-24 14:00:58.389532,2023-08-24 14:00:58.762841,0 days 00:00:00.373309,0.8,3,0.5,0.43985837685011947,1.9679589890886973e-06,100,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5984296063375751,2023-08-24 14:00:58.486231,2023-08-24 14:01:02.650279,0 days 00:00:04.164048,1.0,2,0.4,0.009775040649627047,0.11714505303887217,20,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.62076896610041,2023-08-24 14:00:58.758729,2023-08-24 14:01:01.420068,0 days 00:00:02.661339,0.5,1,0.9,0.00012754655080876004,0.686745106958017,20,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6184562788007686,2023-08-24 14:00:58.812916,2023-08-24 14:01:00.490743,0 days 00:00:01.677827,1.0,3,0.4,3.2254434901337055e-08,1.0634549789401038e-08,60,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.599512704327694,2023-08-24 14:00:58.934304,2023-08-24 14:01:03.089512,0 days 00:00:04.155208,0.8,1,0.9,7.813430190569063e-07,0.021282318389016775,20,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6236675472512349,2023-08-24 14:01:00.089925,2023-08-24 14:01:01.643110,0 days 00:00:01.553185,0.9,3,0.7000000000000001,0.181615240359312,0.15446720724760546,80,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
