,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7702460152581543,2023-08-24 14:01:39.601857,2023-08-24 14:01:40.328542,0 days 00:00:00.726685,0.7000000000000001,1,0.6000000000000001,1.3774909963781214e-07,3.221318612289935e-07,70,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7482050416818644,2023-08-24 14:01:39.602721,2023-08-24 14:01:42.949530,0 days 00:00:03.346809,0.9,1,0.8,0.0015377619999942102,5.73655024623766e-07,40,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7654459023000866,2023-08-24 14:01:39.603731,2023-08-24 14:01:41.277716,0 days 00:00:01.673985,0.6000000000000001,2,0.5,1.8810927202814487e-08,0.7415426110110697,50,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7696540263274974,2023-08-24 14:01:39.605876,2023-08-24 14:01:40.037982,0 days 00:00:00.432106,0.4,2,0.5,0.052205021090096705,2.4123854624777647e-05,30,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7683296415097203,2023-08-24 14:01:39.606702,2023-08-24 14:01:41.029167,0 days 00:00:01.422465,0.9,2,1.0,0.1600680178528871,0.009621753242501464,100,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7615395484679369,2023-08-24 14:01:39.607272,2023-08-24 14:01:41.348522,0 days 00:00:01.741250,0.7000000000000001,3,0.8,1.324303636560747e-07,1.9679686613989117e-05,60,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7545954471014953,2023-08-24 14:01:39.608172,2023-08-24 14:01:40.754652,0 days 00:00:01.146480,0.7000000000000001,1,0.6000000000000001,3.2392005034889613e-06,0.0004442984390701672,40,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7474602640652594,2023-08-24 14:01:39.608763,2023-08-24 14:01:43.403234,0 days 00:00:03.794471,1.0,2,0.8,0.0003003645198340654,0.44508184177007726,20,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7711161087193985,2023-08-24 14:01:40.081430,2023-08-24 14:01:40.555689,0 days 00:00:00.474259,0.8,3,0.5,1.3414598249430547e-08,6.900988566498957e-05,50,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7539108196093675,2023-08-24 14:01:40.376481,2023-08-24 14:01:42.512662,0 days 00:00:02.136181,0.9,3,1.0,1.3334884392947323e-07,5.989452249756416e-06,80,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7398435602876623,2023-08-24 14:01:40.601721,2023-08-24 14:01:45.709902,0 days 00:00:05.108181,0.6000000000000001,3,0.5,0.0014479512214680462,2.8968693541295667e-07,10,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7718928808117014,2023-08-24 14:01:40.800447,2023-08-24 14:01:41.946771,0 days 00:00:01.146324,0.5,3,0.4,3.912863074668236e-05,0.00010385808063485153,60,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7760134979669189,2023-08-24 14:01:41.081494,2023-08-24 14:01:41.800516,0 days 00:00:00.719022,0.4,2,0.7000000000000001,0.00029718487086192937,0.08790951447304077,90,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.739824120603015,2023-08-24 14:01:41.325052,2023-08-24 14:01:44.415260,0 days 00:00:03.090208,0.7000000000000001,3,0.6000000000000001,0.22940869097967725,1.9536600458818993e-05,10,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7747660576323465,2023-08-24 14:01:41.394296,2023-08-24 14:01:42.267745,0 days 00:00:00.873449,0.4,3,0.4,9.058105101760519e-05,4.86927910662544e-08,90,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7813968303787442,2023-08-24 14:01:41.849529,2023-08-24 14:01:42.140802,0 days 00:00:00.291273,0.5,3,0.6000000000000001,0.04461487796548986,0.0020858733423415364,40,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7393503214488444,2023-08-24 14:01:41.993131,2023-08-24 14:01:46.033073,0 days 00:00:04.039942,0.9,2,0.9,1.6185257471390806e-06,0.0001249497284811159,20,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7577442407196711,2023-08-24 14:01:42.189583,2023-08-24 14:01:44.825584,0 days 00:00:02.636001,1.0,3,0.9,0.8189171071044264,1.213648826718548e-08,10,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7678550411101708,2023-08-24 14:01:42.318305,2023-08-24 14:01:43.339402,0 days 00:00:01.021097,0.5,2,0.8,0.004297377649065631,0.03975226130795354,80,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7471593939760361,2023-08-24 14:01:42.558333,2023-08-24 14:01:44.681973,0 days 00:00:02.123640,0.5,2,0.8,0.004590986194277932,0.015067340669694061,20,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7462569531230856,2023-08-24 14:01:43.007046,2023-08-24 14:01:48.798656,0 days 00:00:05.791610,0.5,2,0.7000000000000001,0.005411234000447319,0.028491906332893602,10,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7548429741414635,2023-08-24 14:01:43.384609,2023-08-24 14:01:46.365532,0 days 00:00:02.980923,0.5,2,0.7000000000000001,0.4627872306205531,0.001933930567685164,10,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7582189222004296,2023-08-24 14:01:43.464772,2023-08-24 14:01:46.256465,0 days 00:00:02.791693,0.5,2,0.7000000000000001,0.8416872915453334,0.003542563516499209,10,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7755755968962703,2023-08-24 14:01:44.459212,2023-08-24 14:01:45.235567,0 days 00:00:00.776355,0.5,2,0.7000000000000001,0.7754340415392322,0.0023761182377325576,100,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7804943531050919,2023-08-24 14:01:44.727568,2023-08-24 14:01:45.645310,0 days 00:00:00.917742,0.4,1,0.7000000000000001,0.8632512163775062,0.0012476323385462635,100,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.7721988750544432,2023-08-24 14:01:44.868619,2023-08-24 14:01:45.529998,0 days 00:00:00.661379,0.4,2,0.7000000000000001,0.03900885456195229,0.0008769096356252119,100,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.7761659644567966,2023-08-24 14:01:45.285409,2023-08-24 14:01:46.488678,0 days 00:00:01.203269,0.4,1,0.7000000000000001,0.03323046285539237,0.14923694833094564,70,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.769888888888889,2023-08-24 14:01:45.574719,2023-08-24 14:01:47.176759,0 days 00:00:01.602040,0.6000000000000001,1,0.7000000000000001,0.01634879499300377,0.09515989952115779,70,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.7664131356926636,2023-08-24 14:01:45.695160,2023-08-24 14:01:47.114520,0 days 00:00:01.419360,0.6000000000000001,1,0.7000000000000001,0.017209059496071613,0.10446130294780331,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.7790666215048727,2023-08-24 14:01:45.765837,2023-08-24 14:01:46.738351,0 days 00:00:00.972514,0.4,1,0.7000000000000001,0.017010552771651137,0.1503826546110808,90,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.7784416227529245,2023-08-24 14:01:46.085094,2023-08-24 14:01:47.049760,0 days 00:00:00.964666,0.4,1,0.7000000000000001,0.017778666822620453,0.09759028501413185,90,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.7770177116505457,2023-08-24 14:01:46.302599,2023-08-24 14:01:47.436641,0 days 00:00:01.134042,0.4,1,0.6000000000000001,0.016396908968892492,0.07137566532023737,90,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.7726735572009633,2023-08-24 14:01:46.411090,2023-08-24 14:01:47.310821,0 days 00:00:00.899731,0.4,1,0.6000000000000001,0.043205703750689925,0.07334641435004842,90,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.7717416076665857,2023-08-24 14:01:46.533779,2023-08-24 14:01:47.944180,0 days 00:00:01.410401,0.6000000000000001,1,0.6000000000000001,0.017541005528456458,0.14054200922570903,70,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
