,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5450841510353781,2023-08-24 14:29:32.730722,2023-08-24 14:29:34.442386,0 days 00:00:01.711664,0.9,3,0.4,6.19580908521492e-08,0.012587016478772799,90,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5366722205654633,2023-08-24 14:29:32.732877,2023-08-24 14:29:33.878743,0 days 00:00:01.145866,0.9,1,0.6000000000000001,0.00016312252629719327,4.7466465706703696e-06,100,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5348806554054549,2023-08-24 14:29:32.735102,2023-08-24 14:29:34.164525,0 days 00:00:01.429423,0.8,1,0.4,6.328455477967932e-06,0.0009276117518004064,80,45,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5434821685360944,2023-08-24 14:29:32.737516,2023-08-24 14:29:34.016467,0 days 00:00:01.278951,1.0,2,0.6000000000000001,0.0001850705178267355,2.7991108171254296e-05,100,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5383570135180114,2023-08-24 14:29:32.739778,2023-08-24 14:29:33.539018,0 days 00:00:00.799240,0.4,3,0.7000000000000001,0.00032626623652804137,0.0004882958270531817,70,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5472958171234562,2023-08-24 14:29:32.743430,2023-08-24 14:29:33.458745,0 days 00:00:00.715315,0.5,2,0.6000000000000001,0.0002666987948862973,0.8892217127551048,90,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5429088870581239,2023-08-24 14:29:32.746776,2023-08-24 14:29:33.242168,0 days 00:00:00.495392,0.8,3,0.8,0.007508526317910321,1.3241159204632818e-06,30,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5347838745152377,2023-08-24 14:29:32.753101,2023-08-24 14:29:34.845100,0 days 00:00:02.091999,0.8,2,1.0,0.004674899015591492,3.981932858827039e-06,50,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5388772554157633,2023-08-24 14:29:33.285118,2023-08-24 14:29:35.896615,0 days 00:00:02.611497,0.8,2,0.9,3.6624674647076094e-06,1.126421111980449e-07,20,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5408336810132751,2023-08-24 14:29:33.503010,2023-08-24 14:29:34.990784,0 days 00:00:01.487774,0.6000000000000001,3,0.4,5.5217861345580266e-05,2.9626305106024965e-07,60,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5379563120189518,2023-08-24 14:29:33.582069,2023-08-24 14:29:36.574108,0 days 00:00:02.992039,0.7000000000000001,3,0.6000000000000001,0.028597315701516864,0.00016672366745397742,10,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5414152693137515,2023-08-24 14:29:33.922606,2023-08-24 14:29:35.515437,0 days 00:00:01.592831,0.8,3,0.8,1.125698812135125e-06,1.1430255008133325e-07,80,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5417188682855408,2023-08-24 14:29:34.069614,2023-08-24 14:29:37.505960,0 days 00:00:03.436346,1.0,2,0.6000000000000001,0.0020383373994927356,0.4583869600285187,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5364061864061864,2023-08-24 14:29:34.213968,2023-08-24 14:29:37.978931,0 days 00:00:03.764963,0.7000000000000001,1,0.9,2.1397072817069877e-05,1.8752348652061915e-05,10,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5430082367935475,2023-08-24 14:29:34.487325,2023-08-24 14:29:35.760269,0 days 00:00:01.272944,0.8,2,0.8,8.426754428923883e-05,0.24489260881437444,70,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.542689025419876,2023-08-24 14:29:34.890074,2023-08-24 14:29:35.988391,0 days 00:00:01.098317,0.6000000000000001,1,0.4,0.0009025757062745991,0.05490059680462759,100,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5398254995778216,2023-08-24 14:29:35.042664,2023-08-24 14:29:36.502292,0 days 00:00:01.459628,0.5,1,0.9,0.1426647335290679,3.1354783079034964e-05,50,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5351979590358599,2023-08-24 14:29:35.563290,2023-08-24 14:29:37.374442,0 days 00:00:01.811152,0.5,2,1.0,0.7098987370697445,0.7683378991199854,30,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5569636709997478,2023-08-24 14:29:35.809991,2023-08-24 14:29:36.718277,0 days 00:00:00.908286,0.5,2,0.5,3.7088973884304075e-08,0.8717459022494419,100,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5382398859633348,2023-08-24 14:29:35.958354,2023-08-24 14:29:37.301093,0 days 00:00:01.342739,0.5,1,0.5,1.4124934247656148e-08,0.15743712066886095,90,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5535327750107255,2023-08-24 14:29:36.044457,2023-08-24 14:29:36.831615,0 days 00:00:00.787158,0.4,2,0.5,1.637824008180078e-08,0.36988378450613296,90,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5561762436780295,2023-08-24 14:29:36.563402,2023-08-24 14:29:37.571419,0 days 00:00:01.008017,0.4,2,0.5,1.1944007085940062e-08,0.9943960487757669,90,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
