,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.67688439871938,2023-08-24 14:30:14.097820,2023-08-24 14:30:14.301176,0 days 00:00:00.203356,1.0,1,0.4,0.00017937526313942324,2.9874381713874973e-07,60,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.676032814771518,2023-08-24 14:30:14.100234,2023-08-24 14:30:16.555769,0 days 00:00:02.455535,0.5,2,0.5,2.596459745920852e-06,0.03885689857151782,20,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6741500690727049,2023-08-24 14:30:14.102867,2023-08-24 14:30:17.348936,0 days 00:00:03.246069,0.9,2,0.4,5.212024539683712e-08,0.003758463195737835,10,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6723408352478979,2023-08-24 14:30:14.103475,2023-08-24 14:30:14.934018,0 days 00:00:00.830543,0.4,3,0.6000000000000001,0.09195739187962271,5.7847335086790154e-05,60,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6792887753574369,2023-08-24 14:30:14.104634,2023-08-24 14:30:15.296699,0 days 00:00:01.192065,0.8,1,0.5,0.0003636427995114983,6.818561134780583e-08,90,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6780541617736023,2023-08-24 14:30:14.105628,2023-08-24 14:30:15.250647,0 days 00:00:01.145019,0.5,1,0.7000000000000001,0.032124781489380305,0.0005778022198223545,70,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6764177546082755,2023-08-24 14:30:14.106231,2023-08-24 14:30:15.982583,0 days 00:00:01.876352,0.6000000000000001,1,0.7000000000000001,0.0003338483307076765,0.14381603134825524,40,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6724584092284756,2023-08-24 14:30:14.107367,2023-08-24 14:30:16.881733,0 days 00:00:02.774366,0.5,1,0.6000000000000001,0.004356389041027348,0.04114738384777011,20,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6743653633412419,2023-08-24 14:30:14.344876,2023-08-24 14:30:15.776343,0 days 00:00:01.431467,0.7000000000000001,3,0.5,1.2320624606847882e-05,2.807224641443112e-08,30,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6733976526825234,2023-08-24 14:30:14.977308,2023-08-24 14:30:17.560851,0 days 00:00:02.583543,0.8,3,1.0,0.006773922412118184,0.1959164288593753,40,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.673750702516607,2023-08-24 14:30:15.292624,2023-08-24 14:30:16.597067,0 days 00:00:01.304443,0.6000000000000001,2,0.5,9.847369077460873e-06,3.269630684130807e-07,30,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6758054269578921,2023-08-24 14:30:15.340541,2023-08-24 14:30:16.500161,0 days 00:00:01.159620,0.7000000000000001,3,0.6000000000000001,0.0062653116002891,0.001791916483772633,40,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.674946673974069,2023-08-24 14:30:15.819401,2023-08-24 14:30:17.416024,0 days 00:00:01.596623,0.7000000000000001,3,0.8,0.0020893817229285685,0.10140859035482623,70,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6781717011724089,2023-08-24 14:30:16.026609,2023-08-24 14:30:17.066704,0 days 00:00:01.040095,0.5,1,0.7000000000000001,0.0038984840335897094,7.36631656229334e-05,20,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6763687224788294,2023-08-24 14:30:16.545710,2023-08-24 14:30:16.772917,0 days 00:00:00.227207,0.7000000000000001,1,0.6000000000000001,0.0002384593976023837,1.0639698181078655e-08,20,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6769197665348718,2023-08-24 14:30:16.640935,2023-08-24 14:30:17.144908,0 days 00:00:00.503973,1.0,3,0.7000000000000001,0.48300010566835355,7.909940351416043e-08,90,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6722461636283095,2023-08-24 14:30:16.644248,2023-08-24 14:30:19.379958,0 days 00:00:02.735710,0.7000000000000001,1,0.6000000000000001,0.0189914211343596,0.3114719429614008,10,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6792887753574369,2023-08-24 14:30:16.815651,2023-08-24 14:30:18.091538,0 days 00:00:01.275887,0.9,2,0.9,3.0278230350788e-08,1.1743444187338296e-05,100,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6792887753574369,2023-08-24 14:30:16.921854,2023-08-24 14:30:18.716249,0 days 00:00:01.794395,1.0,2,0.9,2.2735810438290573e-08,7.040542550091628e-05,90,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6792887753574369,2023-08-24 14:30:17.111727,2023-08-24 14:30:18.918861,0 days 00:00:01.807134,1.0,2,0.9,3.167884339079253e-08,6.55139343975439e-06,100,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6792887753574369,2023-08-24 14:30:17.203581,2023-08-24 14:30:18.525967,0 days 00:00:01.322386,0.9,2,0.9,4.76940549118186e-08,7.868174816635555e-06,100,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6780556851001857,2023-08-24 14:30:17.393927,2023-08-24 14:30:18.635158,0 days 00:00:01.241231,0.8,1,0.9,0.0021282799726948685,8.453510784968643e-06,100,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6780556851001857,2023-08-24 14:30:17.461603,2023-08-24 14:30:18.985452,0 days 00:00:01.523849,0.8,1,0.9,0.0015616019793275558,5.040541291869487e-06,100,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6780556851001857,2023-08-24 14:30:17.605546,2023-08-24 14:30:18.427670,0 days 00:00:00.822124,0.8,1,0.9,0.594208638909967,6.598469278627056e-06,100,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6792887753574369,2023-08-24 14:30:18.130896,2023-08-24 14:30:19.708343,0 days 00:00:01.577447,0.9,2,0.9,2.250021469344366e-08,4.6576292268738644e-06,100,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6792887753574369,2023-08-24 14:30:18.472428,2023-08-24 14:30:20.147860,0 days 00:00:01.675432,0.9,2,1.0,1.5860416150421548e-08,1.5864683328245723e-06,90,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6777809051001168,2023-08-24 14:30:18.570296,2023-08-24 14:30:20.086343,0 days 00:00:01.516047,0.9,2,1.0,1.1919992422381953e-08,3.0513591088389718e-06,80,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6777809051001168,2023-08-24 14:30:18.679799,2023-08-24 14:30:20.334461,0 days 00:00:01.654662,0.9,2,1.0,1.3747793512861114e-08,5.970697139473799e-07,80,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6777809051001168,2023-08-24 14:30:18.766327,2023-08-24 14:30:20.202940,0 days 00:00:01.436613,0.9,2,1.0,3.075113170212357e-07,1.5050784396331728e-06,80,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6777809051001168,2023-08-24 14:30:18.964094,2023-08-24 14:30:20.604871,0 days 00:00:01.640777,0.9,2,1.0,1.6925993354200144e-07,1.1293575684494134e-06,80,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
