,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6100250133498215,2023-08-24 13:03:35.592527,2023-08-24 13:03:35.805908,0 days 00:00:00.213381,0.9,3,0.6000000000000001,2.57663140501979e-05,1.0475623259715513e-07,80,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6067330123360021,2023-08-24 13:03:35.595018,2023-08-24 13:03:36.323063,0 days 00:00:00.728045,0.4,1,0.5,7.509979989558041e-07,3.440119899249879e-06,90,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6059396278306385,2023-08-24 13:03:35.597326,2023-08-24 13:03:36.945658,0 days 00:00:01.348332,0.8,2,0.5,8.357303749556594e-08,4.071265241141042e-07,90,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6020109071844502,2023-08-24 13:03:35.601359,2023-08-24 13:03:36.854170,0 days 00:00:01.252811,0.6000000000000001,2,0.6000000000000001,1.9783125478010862e-07,6.760495764857357e-07,80,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6040865601762406,2023-08-24 13:03:35.605192,2023-08-24 13:03:37.195257,0 days 00:00:01.590065,1.0,3,0.5,1.4016327692700446e-07,0.3861354100664187,80,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6121600742557228,2023-08-24 13:03:35.609638,2023-08-24 13:03:36.607083,0 days 00:00:00.997445,0.5,2,0.6000000000000001,0.04899683970031816,6.369301964618507e-08,100,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6087237577899035,2023-08-24 13:03:35.613759,2023-08-24 13:03:37.811111,0 days 00:00:02.197352,0.6000000000000001,1,0.5,0.02716048059208242,1.739714936046944e-05,40,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6072895230511628,2023-08-24 13:03:35.616365,2023-08-24 13:03:37.254380,0 days 00:00:01.638015,0.6000000000000001,2,1.0,4.198721697073929e-06,0.03370040201803911,70,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.614059005845659,2023-08-24 13:03:35.851795,2023-08-24 13:03:37.600044,0 days 00:00:01.748249,1.0,3,0.6000000000000001,3.2466717512228665e-05,6.656434694978898e-07,90,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6179987011366803,2023-08-24 13:03:36.361348,2023-08-24 13:03:39.127538,0 days 00:00:02.766190,0.8,3,0.9,0.06051312440016905,2.557812460128356e-07,50,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6101877553533682,2023-08-24 13:03:36.655663,2023-08-24 13:03:38.444266,0 days 00:00:01.788603,0.6000000000000001,2,1.0,2.8061609750138867e-07,0.03245409505211143,60,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6104322799392086,2023-08-24 13:03:36.896578,2023-08-24 13:03:38.898286,0 days 00:00:02.001708,0.7000000000000001,2,1.0,0.0018068385627490063,8.312263647275507e-05,80,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6188024330106723,2023-08-24 13:03:36.989614,2023-08-24 13:03:39.019203,0 days 00:00:02.029589,0.9,2,0.9,0.09008136570588614,0.029329153552902845,80,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5990852520804568,2023-08-24 13:03:37.238108,2023-08-24 13:03:44.037637,0 days 00:00:06.799529,1.0,1,0.8,0.004231491466901171,0.0005355302545537108,10,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.604722301035608,2023-08-24 13:03:37.296951,2023-08-24 13:03:39.177140,0 days 00:00:01.880189,0.8,3,0.5,0.0984737917396136,0.0009489018336799845,80,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6163686909023041,2023-08-24 13:03:37.644338,2023-08-24 13:03:38.835204,0 days 00:00:01.190866,0.5,1,0.4,1.754351882844753e-05,5.210928063822246e-07,70,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.613460027362028,2023-08-24 13:03:37.858750,2023-08-24 13:03:39.946915,0 days 00:00:02.088165,1.0,1,0.8,5.195821284103871e-05,1.048853647019066e-07,50,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6179573518148362,2023-08-24 13:03:38.487317,2023-08-24 13:03:42.939548,0 days 00:00:04.452231,1.0,3,0.8,0.00043389099654851556,1.1143006898760273e-08,10,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6172439864467532,2023-08-24 13:03:38.884582,2023-08-24 13:03:41.755544,0 days 00:00:02.870962,0.8,1,0.8,0.00034431928988981153,0.00013840668083054823,30,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6081152055400202,2023-08-24 13:03:38.961267,2023-08-24 13:03:43.168082,0 days 00:00:04.206815,1.0,3,0.8,0.00011372335884373756,1.1379347993035492e-08,10,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6144069457510192,2023-08-24 13:03:39.080114,2023-08-24 13:03:42.067133,0 days 00:00:02.987019,0.8,1,0.8,0.5183629687435257,0.00030283772486542596,20,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6071883755290357,2023-08-24 13:03:39.227393,2023-08-24 13:03:42.145322,0 days 00:00:02.917929,0.9,3,0.8,0.0015475889274392063,1.7229443261118156e-08,10,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
