,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6578839088046824,2023-08-24 13:04:42.154700,2023-08-24 13:04:47.411002,0 days 00:00:05.256302,0.4,2,1.0,1.2731896283725136e-07,7.733701334809382e-08,10,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6567894722100329,2023-08-24 13:04:42.155684,2023-08-24 13:04:43.182937,0 days 00:00:01.027253,0.7000000000000001,1,0.4,0.027697074046818947,0.004698911510133696,70,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6689257388367879,2023-08-24 13:04:42.157997,2023-08-24 13:04:44.185813,0 days 00:00:02.027816,0.8,3,0.8,3.271683814559264e-08,4.2296765474435706e-08,80,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6726868858065653,2023-08-24 13:04:42.159302,2023-08-24 13:04:45.008004,0 days 00:00:02.848702,0.8,2,0.6000000000000001,0.0069441839314724274,1.933356519424304e-06,40,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6746645360178387,2023-08-24 13:04:42.160152,2023-08-24 13:04:44.494057,0 days 00:00:02.333905,0.9,1,0.5,4.5252946388581226e-08,0.3234560723221467,50,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6648276441883846,2023-08-24 13:04:42.160883,2023-08-24 13:04:43.546893,0 days 00:00:01.386010,1.0,1,0.9,5.935591725871572e-05,1.717658336798222e-06,90,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6777381206051567,2023-08-24 13:04:42.161721,2023-08-24 13:04:43.618216,0 days 00:00:01.456495,0.9,2,0.7000000000000001,0.1568027654049977,0.010690734048527708,100,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6647459051643084,2023-08-24 13:04:42.162641,2023-08-24 13:04:45.498542,0 days 00:00:03.335901,1.0,1,1.0,0.00011766029147603737,6.799523597533383e-05,20,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6698516974421491,2023-08-24 13:04:43.226571,2023-08-24 13:04:44.800264,0 days 00:00:01.573693,0.9,1,0.7000000000000001,7.786156489718126e-06,0.00011174733972557578,100,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6605640945181914,2023-08-24 13:04:43.596367,2023-08-24 13:04:44.862076,0 days 00:00:01.265709,0.6000000000000001,2,0.5,1.571594650751171e-07,0.046352496088535707,100,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
