,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5835017042882211,2023-08-24 13:05:47.357149,2023-08-24 13:05:52.674029,0 days 00:00:05.316880,0.4,3,0.6000000000000001,2.0940479970839936e-08,0.00019556556794384137,10,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5884271103323574,2023-08-24 13:05:47.359407,2023-08-24 13:05:48.548665,0 days 00:00:01.189258,0.7000000000000001,2,0.4,0.361791514810004,0.0010777294934508983,80,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5857169500256878,2023-08-24 13:05:47.361633,2023-08-24 13:05:48.819653,0 days 00:00:01.458020,0.6000000000000001,2,0.9,0.05186401734600195,0.24563300266683094,70,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5879356815380076,2023-08-24 13:05:47.364889,2023-08-24 13:05:49.482813,0 days 00:00:02.117924,1.0,3,0.7000000000000001,5.822887355725166e-06,1.8564216558004582e-08,70,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5955079068875292,2023-08-24 13:05:47.371370,2023-08-24 13:05:47.878504,0 days 00:00:00.507134,0.5,1,0.5,6.405212586750314e-06,1.1787251195604349e-07,60,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5872807631635444,2023-08-24 13:05:47.372859,2023-08-24 13:05:47.972239,0 days 00:00:00.599380,0.6000000000000001,1,0.4,1.3139599561614056e-07,5.342507268326838e-05,30,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6010173713475389,2023-08-24 13:05:47.374563,2023-08-24 13:05:48.319372,0 days 00:00:00.944809,0.5,3,0.7000000000000001,0.001859043429658657,0.0001672156417873752,80,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5797146546688885,2023-08-24 13:05:47.376107,2023-08-24 13:05:48.765591,0 days 00:00:01.389484,0.9,3,0.6000000000000001,0.009996892758020346,3.349755028031328e-08,40,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5797045062044823,2023-08-24 13:05:47.922822,2023-08-24 13:05:53.653650,0 days 00:00:05.730828,1.0,2,0.4,0.23471918646472487,0.000503216704147679,20,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5792885851911921,2023-08-24 13:05:48.012959,2023-08-24 13:05:50.385820,0 days 00:00:02.372861,0.5,2,0.5,1.841011584435936e-07,5.6208213452602966e-05,20,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5873262164846078,2023-08-24 13:05:48.362645,2023-08-24 13:05:50.121708,0 days 00:00:01.759063,1.0,1,0.5,0.7962200911802471,1.5873622407464392e-06,70,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5906519583580405,2023-08-24 13:05:48.597754,2023-08-24 13:05:51.650448,0 days 00:00:03.052694,0.7000000000000001,1,0.7000000000000001,0.00031665039665847833,5.630811880336965e-08,20,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5958281042236266,2023-08-24 13:05:48.813626,2023-08-24 13:05:52.326376,0 days 00:00:03.512750,0.6000000000000001,1,0.9,0.020347115570020474,0.028149414647825118,20,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5888477446033993,2023-08-24 13:05:48.870489,2023-08-24 13:05:51.154439,0 days 00:00:02.283950,0.5,3,1.0,0.009662026547286002,0.22834646878414794,30,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5806628298006546,2023-08-24 13:05:49.522947,2023-08-24 13:05:51.157500,0 days 00:00:01.634553,0.8,1,0.7000000000000001,0.18347505926227584,0.00791847164915619,70,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5758673742626876,2023-08-24 13:05:50.166588,2023-08-24 13:05:54.555098,0 days 00:00:04.388510,0.9,1,0.7000000000000001,4.0631609895775076e-05,1.1796181841346331e-06,10,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5931461758425539,2023-08-24 13:05:50.433959,2023-08-24 13:05:51.793963,0 days 00:00:01.360004,0.5,3,0.7000000000000001,0.0004323459695589057,0.0004569654513347645,50,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6004956724876112,2023-08-24 13:05:51.263665,2023-08-24 13:05:52.452797,0 days 00:00:01.189132,0.4,2,0.8,0.0001718001344520386,1.9400475224357225e-06,100,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6004956724876112,2023-08-24 13:05:51.265744,2023-08-24 13:05:52.112800,0 days 00:00:00.847056,0.4,2,0.8,0.00011634202826019738,3.1019576289971413e-06,100,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.592465031606317,2023-08-24 13:05:51.708522,2023-08-24 13:05:52.898425,0 days 00:00:01.189903,0.4,3,0.8,9.469526651990886e-05,2.364384454266642e-06,100,157,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5930565460743717,2023-08-24 13:05:51.839766,2023-08-24 13:05:52.959238,0 days 00:00:01.119472,0.4,2,0.8,9.966264868058627e-06,9.82671405705806e-07,90,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6079011290829017,2023-08-24 13:05:52.163936,2023-08-24 13:05:53.240292,0 days 00:00:01.076356,0.4,2,0.9,0.00221358989701553,4.1299043374910724e-06,100,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6004956724876112,2023-08-24 13:05:52.373639,2023-08-24 13:05:53.387919,0 days 00:00:01.014280,0.4,2,0.8,0.0013246653678103534,7.719046059950467e-06,100,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
