,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.719449779278915,2023-08-24 13:09:35.939362,2023-08-24 13:09:38.605186,0 days 00:00:02.665824,1.0,1,0.9,5.2379137277391224e-06,4.355552356873879e-06,50,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7112505362505364,2023-08-24 13:09:35.941567,2023-08-24 13:09:36.878302,0 days 00:00:00.936735,0.6000000000000001,1,0.4,0.0013073458936682001,0.0073135804883547595,80,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.704454132342407,2023-08-24 13:09:35.943553,2023-08-24 13:09:38.381800,0 days 00:00:02.438247,0.9,2,1.0,0.1617989161869825,1.196332094055896e-05,50,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7029522511250086,2023-08-24 13:09:35.947304,2023-08-24 13:09:41.361010,0 days 00:00:05.413706,0.4,2,0.6000000000000001,4.0532997968023545e-07,5.988003939992122e-08,10,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7135877011626944,2023-08-24 13:09:35.950505,2023-08-24 13:09:38.328878,0 days 00:00:02.378373,0.7000000000000001,3,0.4,0.1399063829161207,2.6754481297531196e-08,20,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7097887659731232,2023-08-24 13:09:35.951932,2023-08-24 13:09:37.385794,0 days 00:00:01.433862,0.5,1,1.0,4.924861889919618e-07,3.030966101334836e-06,60,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7136624928159327,2023-08-24 13:09:35.953473,2023-08-24 13:09:37.151227,0 days 00:00:01.197754,0.5,3,0.5,0.5765600096804396,1.1867404880233247e-06,60,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.706418664338847,2023-08-24 13:09:35.954444,2023-08-24 13:09:37.893481,0 days 00:00:01.939037,0.6000000000000001,2,0.9,2.0811027393964965e-08,0.03167596215488085,40,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7102356358399295,2023-08-24 13:09:36.927537,2023-08-24 13:09:37.983903,0 days 00:00:01.056366,0.4,3,0.6000000000000001,2.458748370043176e-08,1.690895084741345e-08,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7025535327911663,2023-08-24 13:09:37.199806,2023-08-24 13:09:39.115931,0 days 00:00:01.916125,0.9,2,0.4,4.08754452013643e-06,0.00011811484883270539,70,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.71266059067755,2023-08-24 13:09:37.431859,2023-08-24 13:09:38.850601,0 days 00:00:01.418742,0.7000000000000001,2,0.7000000000000001,0.0006598067822313014,1.6780288342864696e-05,90,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7107545271512493,2023-08-24 13:09:37.938892,2023-08-24 13:09:40.014772,0 days 00:00:02.075880,1.0,3,0.9,0.005207939513756981,0.10520151270542633,90,154,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7083528404544429,2023-08-24 13:09:38.025474,2023-08-24 13:09:39.843748,0 days 00:00:01.818274,0.9,1,0.8,0.00010653651548329034,0.0037126819349278927,90,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7146303470918998,2023-08-24 13:09:38.376629,2023-08-24 13:09:40.615722,0 days 00:00:02.239093,0.9,3,0.5,2.7891370474744348e-08,0.00023781131028081283,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6996585677940179,2023-08-24 13:09:38.429353,2023-08-24 13:09:41.576574,0 days 00:00:03.147221,0.9,2,0.7000000000000001,0.0006888854938889112,0.00041342892549470537,40,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
