,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8172647058823529,2023-08-24 13:10:20.365945,2023-08-24 13:10:22.263697,0 days 00:00:01.897752,1.0,1,1.0,4.26122829678457e-06,0.009027948815581124,20,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8240767016283507,2023-08-24 13:10:20.368033,2023-08-24 13:10:22.192678,0 days 00:00:01.824645,0.5,1,1.0,2.36803066545144e-08,0.8737422704092904,40,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8212162530424525,2023-08-24 13:10:20.370292,2023-08-24 13:10:24.129137,0 days 00:00:03.758845,0.9,3,0.4,0.177946650786114,0.013910067753828519,30,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8207090005439348,2023-08-24 13:10:20.373658,2023-08-24 13:10:21.227395,0 days 00:00:00.853737,0.5,1,0.7000000000000001,1.0359432620781817e-06,1.4605947114995189e-06,80,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8270549958292668,2023-08-24 13:10:20.377270,2023-08-24 13:10:21.994321,0 days 00:00:01.617051,0.9,1,0.5,1.6693509413195977e-05,2.043574423365504e-06,70,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8202206603007477,2023-08-24 13:10:20.381284,2023-08-24 13:10:22.123440,0 days 00:00:01.742156,1.0,2,0.9,0.07446829249977532,0.4444559966771818,80,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8231302326883767,2023-08-24 13:10:20.385890,2023-08-24 13:10:21.683435,0 days 00:00:01.297545,0.4,2,1.0,0.021434687792307762,1.2034335977547795e-07,40,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8225882388091335,2023-08-24 13:10:20.388592,2023-08-24 13:10:21.881717,0 days 00:00:01.493125,0.8,3,1.0,4.969975688242927e-07,0.049115219725084334,90,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8193013316411754,2023-08-24 13:10:21.269239,2023-08-24 13:10:24.846074,0 days 00:00:03.576835,1.0,3,0.6000000000000001,0.0004956155741462953,1.697598906781368e-05,40,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.822132852379192,2023-08-24 13:10:21.729527,2023-08-24 13:10:23.281775,0 days 00:00:01.552248,0.8,3,0.7000000000000001,0.028153985066599403,0.0004158133755469874,100,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
