,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6268426663977937,2023-08-24 12:37:48.386306,2023-08-24 12:37:49.297843,0 days 00:00:00.911537,0.9,1,0.6000000000000001,4.7850300238413965e-08,3.9107387987945796e-07,90,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.620716943161492,2023-08-24 12:37:48.388783,2023-08-24 12:37:49.614082,0 days 00:00:01.225299,0.5,1,0.7000000000000001,3.717332472473175e-08,1.7365037931258985e-07,60,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6153532415945524,2023-08-24 12:37:48.390886,2023-08-24 12:37:53.647805,0 days 00:00:05.256919,0.6000000000000001,1,0.4,1.6983048194708446e-07,0.6670101410373079,10,212,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6234708035713243,2023-08-24 12:37:48.394707,2023-08-24 12:37:53.562391,0 days 00:00:05.167684,0.9,2,0.6000000000000001,0.42624982669126105,0.0023035501509738707,20,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6181656341835915,2023-08-24 12:37:48.405397,2023-08-24 12:37:51.441817,0 days 00:00:03.036420,1.0,1,0.6000000000000001,0.0012263950200407166,1.4727241237566749e-07,40,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6228489939091016,2023-08-24 12:37:48.410713,2023-08-24 12:37:50.619704,0 days 00:00:02.208991,1.0,1,1.0,0.01038973213489532,6.006049360555373e-05,80,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6163590771568128,2023-08-24 12:37:48.415012,2023-08-24 12:37:51.664885,0 days 00:00:03.249873,1.0,1,0.9,0.5163632781299264,1.9907384423375893e-08,50,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6144968901445668,2023-08-24 12:37:48.418876,2023-08-24 12:37:49.391113,0 days 00:00:00.972237,0.7000000000000001,3,0.6000000000000001,0.07553617770782327,0.37025790115255747,100,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6295697832697199,2023-08-24 12:37:49.338453,2023-08-24 12:37:50.338705,0 days 00:00:01.000252,0.5,3,0.5,2.3599442527351933e-05,2.8435073776547373e-05,70,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6250177330117748,2023-08-24 12:37:49.436462,2023-08-24 12:37:50.966776,0 days 00:00:01.530314,0.9,2,0.5,0.14257461624564746,2.290851205476242e-05,100,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6148165416899154,2023-08-24 12:37:49.660238,2023-08-24 12:37:52.124465,0 days 00:00:02.464227,1.0,2,0.6000000000000001,1.739268799970619e-07,1.3159570544423174e-05,10,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6195304838606892,2023-08-24 12:37:50.378330,2023-08-24 12:37:52.000586,0 days 00:00:01.622256,0.6000000000000001,2,0.6000000000000001,0.0007242449167386094,0.39929125313034336,60,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6184199724232637,2023-08-24 12:37:50.664154,2023-08-24 12:37:53.165295,0 days 00:00:02.501141,0.7000000000000001,2,0.4,0.004562203958705202,1.860361089908328e-06,30,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6176220623924376,2023-08-24 12:37:51.010260,2023-08-24 12:37:52.542894,0 days 00:00:01.532634,0.5,1,0.9,3.379248573660847e-08,0.19926601590096565,80,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6125645437292513,2023-08-24 12:37:51.502350,2023-08-24 12:37:53.435903,0 days 00:00:01.933553,0.8,2,0.4,0.012685609543068107,0.16907906214906915,90,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6054516009807704,2023-08-24 12:37:51.718253,2023-08-24 12:37:55.664323,0 days 00:00:03.946070,0.4,3,1.0,0.0008805505639336425,1.254830057105916e-06,10,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.627337598913339,2023-08-24 12:37:52.044612,2023-08-24 12:37:55.595643,0 days 00:00:03.551031,1.0,1,1.0,1.1261054656068795e-07,0.00014448413661376466,50,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6091910508373366,2023-08-24 12:37:52.173770,2023-08-24 12:37:55.226951,0 days 00:00:03.053181,0.4,3,0.4,1.1919895842901822e-05,0.004069634993378614,20,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6231456368704709,2023-08-24 12:37:52.590877,2023-08-24 12:37:52.826223,0 days 00:00:00.235346,0.8,3,0.4,1.08331395985982e-05,1.5577555054171984e-06,80,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6194778982855369,2023-08-24 12:37:52.871583,2023-08-24 12:37:53.233053,0 days 00:00:00.361470,0.4,3,0.4,3.524642449790579e-06,0.0021472014191576314,80,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6205718772492312,2023-08-24 12:37:53.213777,2023-08-24 12:37:53.765052,0 days 00:00:00.551275,0.4,3,0.7000000000000001,5.7113315344932655e-06,0.0010676590713618343,80,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6072587445373976,2023-08-24 12:37:53.288467,2023-08-24 12:37:55.802786,0 days 00:00:02.514319,0.8,3,0.7000000000000001,2.915153539175286e-05,0.00042956835979694177,70,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6080727747739381,2023-08-24 12:37:53.490221,2023-08-24 12:37:54.924834,0 days 00:00:01.434613,0.4,3,0.7000000000000001,4.23256139612702e-05,0.0005923825958963568,70,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6121937187999693,2023-08-24 12:37:53.620258,2023-08-24 12:37:54.587504,0 days 00:00:00.967246,0.4,3,0.8,3.467933205070143e-05,0.0004016286651095293,70,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6126100869500317,2023-08-24 12:37:53.704714,2023-08-24 12:37:54.683799,0 days 00:00:00.979085,0.4,3,0.7000000000000001,4.576915502795362e-05,0.0003932834279915983,70,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6150181425237105,2023-08-24 12:37:53.846832,2023-08-24 12:37:55.291667,0 days 00:00:01.444835,0.6000000000000001,3,0.8,2.676853714420295e-05,4.0064742784484825e-06,70,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6182917770200026,2023-08-24 12:37:54.629491,2023-08-24 12:37:56.696177,0 days 00:00:02.066686,0.6000000000000001,3,0.5,0.00018116954081562293,1.8744039769408874e-06,50,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6211102088058768,2023-08-24 12:37:54.729173,2023-08-24 12:37:56.819164,0 days 00:00:02.089991,0.6000000000000001,2,0.5,1.1378347450703627e-06,4.685636488369841e-06,50,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6138499583566404,2023-08-24 12:37:54.969812,2023-08-24 12:37:56.468575,0 days 00:00:01.498763,0.9,2,0.5,1.1547635975239523e-06,1.4361499886158678e-05,100,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6138499583566404,2023-08-24 12:37:55.271058,2023-08-24 12:37:57.189486,0 days 00:00:01.918428,0.9,2,0.5,1.083683548536144e-06,1.3450857389244326e-05,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6138499583566404,2023-08-24 12:37:55.344793,2023-08-24 12:37:56.564386,0 days 00:00:01.219593,0.9,2,0.5,0.00020589438915939788,3.026303439055505e-05,100,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6260037293374545,2023-08-24 12:37:55.639630,2023-08-24 12:37:58.702286,0 days 00:00:03.062656,0.9,1,0.5,1.1362687899049509e-08,9.672766229774521e-05,50,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6260037293374545,2023-08-24 12:37:55.707120,2023-08-24 12:37:58.370370,0 days 00:00:02.663250,0.9,1,0.5,1.059762527816696e-06,9.298487060758326e-05,50,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6260037293374545,2023-08-24 12:37:55.846398,2023-08-24 12:37:58.642857,0 days 00:00:02.796459,0.9,1,0.5,1.0932771237266067e-08,8.718214464867492e-05,50,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6260037293374545,2023-08-24 12:37:56.514418,2023-08-24 12:37:59.703617,0 days 00:00:03.189199,0.9,1,0.5,1.442660867255825e-08,4.631609514096545e-05,50,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.624503755856165,2023-08-24 12:37:56.608793,2023-08-24 12:37:59.107963,0 days 00:00:02.499170,0.8,1,0.5,1.8346086475436597e-08,6.317372468240482e-06,50,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6191770976263149,2023-08-24 12:37:56.739471,2023-08-24 12:37:58.093328,0 days 00:00:01.353857,0.5,1,0.8,1.9175389714939108e-08,0.000101121397691297,60,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
