,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7194424528158907,2023-08-24 12:44:47.256724,2023-08-24 12:44:48.500110,0 days 00:00:01.243386,0.8,1,0.8,0.06134520357279505,7.047119576497942e-07,70,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7069046035275517,2023-08-24 12:44:47.259168,2023-08-24 12:44:48.212528,0 days 00:00:00.953360,0.4,1,0.4,1.4613456891796367e-07,1.8262389169520658e-08,40,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7238017697398365,2023-08-24 12:44:47.261376,2023-08-24 12:44:49.194461,0 days 00:00:01.933085,1.0,1,0.8,0.0006263958228760878,0.0050766681100119036,30,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7165578178665915,2023-08-24 12:44:47.265074,2023-08-24 12:44:47.918280,0 days 00:00:00.653206,0.4,3,0.4,2.63747166540836e-06,0.00033395387812129655,80,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7088189312357696,2023-08-24 12:44:47.271855,2023-08-24 12:44:48.646015,0 days 00:00:01.374160,0.4,2,0.8,0.0005942263633931906,1.4587452609827098e-06,50,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7068655101533998,2023-08-24 12:44:47.276792,2023-08-24 12:44:49.302548,0 days 00:00:02.025756,0.7000000000000001,1,0.6000000000000001,0.5732757356730932,0.016702729562221602,80,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7107653173638175,2023-08-24 12:44:47.284202,2023-08-24 12:44:49.438759,0 days 00:00:02.154557,0.4,2,0.5,0.8311571957611189,0.00036702550506184845,20,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7199132584060066,2023-08-24 12:44:47.289616,2023-08-24 12:44:48.402104,0 days 00:00:01.112488,0.6000000000000001,2,0.9,0.00017377486128496717,0.0016071372771772133,90,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7228282867849636,2023-08-24 12:44:47.961208,2023-08-24 12:44:49.518238,0 days 00:00:01.557030,0.6000000000000001,3,0.7000000000000001,0.8180656778237463,5.972084870315285e-08,80,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7199012409243879,2023-08-24 12:44:48.255928,2023-08-24 12:44:49.243057,0 days 00:00:00.987129,0.9,1,0.9,0.8180219688194692,4.1457991925964015e-05,40,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7300798203779197,2023-08-24 12:44:48.450251,2023-08-24 12:44:48.856903,0 days 00:00:00.406652,0.7000000000000001,1,0.4,0.10861200264434236,0.08404009353567454,40,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7097630504154749,2023-08-24 12:44:48.543989,2023-08-24 12:44:50.608226,0 days 00:00:02.064237,0.4,2,0.9,0.028613868248837396,2.103759296698405e-08,40,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7189747018896642,2023-08-24 12:44:48.688139,2023-08-24 12:44:51.893821,0 days 00:00:03.205682,0.8,3,0.6000000000000001,0.003952067247377391,0.062266566161695035,10,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7218729074532436,2023-08-24 12:44:48.898400,2023-08-24 12:44:54.752981,0 days 00:00:05.854581,0.6000000000000001,1,1.0,0.01991196226480416,0.00018731667856322138,10,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7271849348140995,2023-08-24 12:44:49.237111,2023-08-24 12:44:56.197757,0 days 00:00:06.960646,0.8,1,0.7000000000000001,2.662356699588258e-08,0.0005541205241799844,10,254,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7266556164756669,2023-08-24 12:44:49.292200,2023-08-24 12:44:51.020293,0 days 00:00:01.728093,0.8,1,0.5,1.42935061581629e-06,3.3016033462218486e-07,70,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7150783301993793,2023-08-24 12:44:49.353713,2023-08-24 12:44:51.747170,0 days 00:00:02.393457,0.7000000000000001,3,0.8,0.00038941845965074644,9.515966384285096e-08,50,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7170432565418268,2023-08-24 12:44:49.486269,2023-08-24 12:44:53.795709,0 days 00:00:04.309440,0.6000000000000001,3,0.6000000000000001,0.04395889102852482,0.8630597063449201,10,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7155920864112818,2023-08-24 12:44:49.577735,2023-08-24 12:44:54.230633,0 days 00:00:04.652898,1.0,1,1.0,0.005264352402438457,0.8486463142552635,10,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7049635372451238,2023-08-24 12:44:50.654715,2023-08-24 12:44:53.990695,0 days 00:00:03.335980,1.0,1,0.6000000000000001,0.002469791996578244,0.13497519504595834,20,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7194526574275562,2023-08-24 12:44:51.078673,2023-08-24 12:44:52.730510,0 days 00:00:01.651837,0.8,1,0.5,7.278728748188273e-06,0.2272507731348423,60,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.722354019172279,2023-08-24 12:44:51.801489,2023-08-24 12:44:56.807602,0 days 00:00:05.006113,0.8,1,0.5,7.478320796308892e-06,0.7706757411723492,10,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7078703214730953,2023-08-24 12:44:51.946214,2023-08-24 12:44:53.367524,0 days 00:00:01.421310,0.6000000000000001,1,0.5,1.1888632971009107e-05,0.8842392641548708,60,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7146303470918998,2023-08-24 12:44:52.788698,2023-08-24 12:44:53.679976,0 days 00:00:00.891278,0.6000000000000001,1,0.5,1.2731130076231587e-08,0.42917413305841495,100,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.722837592585339,2023-08-24 12:44:53.412643,2023-08-24 12:44:54.918367,0 days 00:00:01.505724,1.0,2,0.4,5.152960639515615e-08,2.497003260952449e-05,100,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.7175148553981316,2023-08-24 12:44:53.739817,2023-08-24 12:44:56.067642,0 days 00:00:02.327825,0.9,2,0.4,6.394181641606206e-05,2.8028027783243652e-05,70,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.7175148553981316,2023-08-24 12:44:53.858502,2023-08-24 12:44:56.148113,0 days 00:00:02.289611,0.9,2,0.4,4.075716828453092e-05,3.509316560896666e-05,70,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.7175148553981316,2023-08-24 12:44:54.035483,2023-08-24 12:44:56.395857,0 days 00:00:02.360374,0.9,2,0.4,3.822395274552058e-05,2.409336700790698e-05,70,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.7329072491449746,2023-08-24 12:44:54.274177,2023-08-24 12:44:54.625236,0 days 00:00:00.351059,0.9,2,0.4,3.763865701155134e-05,0.013088322554600762,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.7049459257606314,2023-08-24 12:44:54.686665,2023-08-24 12:44:59.146712,0 days 00:00:04.460047,0.9,2,0.4,3.208634334376936e-05,0.02578714979265342,30,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
